run,point,Vtip_fps,Mtip,collective_deg,CT,CP,Ideal_CP,FM,CT_CP
14,15,769.4,0.6922,-7.00,-0.000027,0.000241,0.000000,0.0004,-0.11
14,16,769.4,0.6922,-5.00,0.001344,0.000185,0.000035,0.1883,7.26
14,17,769.4,0.6922,-3.00,0.002319,0.000214,0.000079,0.3690,10.84
14,18,769.4,0.6921,-1.00,0.003320,0.000277,0.000135,0.4883,11.99
14,19,769.4,0.6917,1.00,0.004732,0.000382,0.000230,0.6025,12.39
14,20,769.0,0.6914,3.00,0.006405,0.000521,0.000362,0.6957,12.29
14,21,769.0,0.6911,5.00,0.008148,0.000703,0.000520,0.7398,11.59
14,22,768.7,0.6911,6.00,0.009022,0.000815,0.000606,0.7435,11.07
14,23,768.7,0.6907,7.00,0.010095,0.000942,0.000717,0.7614,10.72
14,24,768.4,0.6904,8.00,0.010960,0.001076,0.000811,0.7540,10.19
14,25,768.4,0.6903,9.00,0.011985,0.001242,0.000928,0.7470,9.65
14,26,768.0,0.6899,10.00,0.013014,0.001427,0.001050,0.7357,9.12
14,27,767.7,0.6896,11.00,0.013978,0.001615,0.001169,0.7236,8.66
15,3,769.0,0.6907,-7.10,-0.000332,0.000246,0.000004,0.0174,-1.35
15,4,769.0,0.6907,-6.00,0.000491,0.000198,0.000008,0.0389,2.48
15,5,769.0,0.6907,-4.00,0.001698,0.000193,0.000049,0.2564,8.80
15,6,769.0,0.6907,-2.00,0.002772,0.000237,0.000103,0.4354,11.70
15,7,769.0,0.6905,0.00,0.004063,0.000315,0.000183,0.5814,12.90
15,8,768.7,0.6904,2.00,0.005581,0.000426,0.000295,0.6921,13.10
15,9,768.4,0.6902,4.00,0.007391,0.000588,0.000449,0.7641,12.57
15,10,768.4,0.6901,6.00,0.009208,0.000796,0.000625,0.7849,11.57
15,11,768.4,0.6899,7.00,0.010104,0.000913,0.000718,0.7866,11.07
15,12,768.4,0.6898,8.00,0.011063,0.001044,0.000823,0.7881,10.60
15,13,768.0,0.6896,9.00,0.012035,0.001188,0.000934,0.7858,10.13
15,14,768.0,0.6894,10.00,0.013089,0.001358,0.001059,0.7797,9.64
15,15,767.7,0.6893,11.00,0.013929,0.001523,0.001162,0.7632,9.15
15,16,769.0,0.6903,-7.10,-0.000347,0.000248,0.000005,0.0184,-1.40
15,17,769.0,0.6903,-6.50,0.000225,0.000213,0.000002,0.0112,1.06
15,18,769.0,0.6903,-4.50,0.001421,0.000188,0.000038,0.2015,7.56
15,19,769.0,0.6903,-2.50,0.002621,0.000228,0.000095,0.4162,11.50
15,20,769.0,0.6900,-0.50,0.003760,0.000296,0.000163,0.5508,12.70
15,21,769.7,0.6906,1.50,0.005228,0.000408,0.000267,0.6551,12.81
15,22,769.4,0.6904,3.50,0.006935,0.000553,0.000408,0.7385,12.54
15,23,769.4,0.6901,5.50,0.008667,0.000740,0.000571,0.7710,11.71
15,24,769.0,0.6899,6.50,0.009683,0.000868,0.000674,0.7762,11.16
15,25,769.0,0.6899,7.50,0.010562,0.000980,0.000768,0.7832,10.78
15,26,769.0,0.6898,8.50,0.011526,0.001117,0.000875,0.7833,10.32
15,27,768.7,0.6896,9.50,0.012538,0.001274,0.000993,0.7792,9.84
15,28,768.4,0.6894,10.50,0.013507,0.001444,0.001110,0.7687,9.35
15,29,768.4,0.6893,11.50,0.014393,0.001628,0.001221,0.7500,8.84
15,30,768.0,0.6890,12.50,0.015101,0.001812,0.001312,0.7242,8.33
15,31,767.7,0.6887,13.50,0.015746,0.002022,0.001397,0.6910,7.79
15,32,769.7,0.6904,-7.20,-0.000283,0.000261,0.000003,0.0129,-1.08
15,33,769.7,0.6904,-7.00,-0.000373,0.000236,0.000005,0.0216,-1.58
15,34,769.7,0.6905,-5.00,0.001303,0.000195,0.000033,0.1706,6.68
15,35,769.7,0.6905,-3.00,0.002273,0.000218,0.000077,0.3515,10.43
15,36,769.7,0.6904,-1.00,0.003392,0.000281,0.000140,0.4971,12.07
15,37,769.4,0.6904,1.00,0.004735,0.000374,0.000230,0.6160,12.66
15,38,769.4,0.6902,3.00,0.006404,0.000515,0.000362,0.7036,12.43
15,39,769.4,0.6899,5.00,0.008373,0.000710,0.000542,0.7630,11.79
15,40,769.4,0.6898,6.00,0.009291,0.000815,0.000633,0.7770,11.40
15,41,769.0,0.6896,7.00,0.010370,0.000949,0.000747,0.7868,10.93
15,42,768.7,0.6896,8.00,0.011203,0.001066,0.000838,0.7866,10.51
15,43,768.7,0.6893,9.00,0.012309,0.001227,0.000966,0.7870,10.03
15,44,768.4,0.6892,10.00,0.013177,0.001382,0.001070,0.7739,9.53
15,45,771.0,0.6912,11.00,0.014106,0.001565,0.001185,0.7570,9.01
15,46,772.3,0.6923,-7.30,-0.000220,0.000271,0.000002,0.0085,-0.81
15,47,772.3,0.6925,-5.50,0.000935,0.000191,0.000020,0.1058,4.90
15,48,770.3,0.6909,-3.40,0.002131,0.000213,0.000070,0.3266,10.00
15,49,770.3,0.6908,-1.50,0.003133,0.000268,0.000124,0.4627,11.69
15,50,770.3,0.6908,0.50,0.004507,0.000356,0.000214,0.6010,12.66
15,51,770.3,0.6907,2.50,0.006060,0.000482,0.000334,0.6921,12.57
15,52,770.0,0.6905,4.50,0.007821,0.000648,0.000489,0.7548,12.07
15,53,770.0,0.6904,5.50,0.008827,0.000768,0.000586,0.7636,11.49
15,54,769.7,0.6903,6.50,0.009772,0.000883,0.000683,0.7736,11.07
15,55,769.7,0.6902,7.50,0.010722,0.001003,0.000785,0.7827,10.69
15,56,769.4,0.6900,8.50,0.011628,0.001141,0.000887,0.7771,10.19
15,57,769.4,0.6900,9.50,0.012629,0.001289,0.001004,0.7785,9.80
15,58,769.0,0.6899,10.50,0.013406,0.001438,0.001098,0.7633,9.32
15,59,769.0,0.6899,11.50,0.014310,0.001627,0.001210,0.7440,8.80
15,60,768.7,0.6897,12.50,0.015052,0.001821,0.001306,0.7171,8.27
