caseName,modelIdentity,stepScale,sourceArtifactId,sourceArtifactDigest,matrixName,rowIndex,rowName,columnIndex,columnName,value
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,1,u,-0.0014067850366033001
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,2,v,-6.0632990056715107e-15
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,3,w,0.082300142983755598
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,4,p,-1.2126598011343021e-12
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,5,q,-3.412343651223315
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,6,r,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,7,phi,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,8,theta,-9.5546789567866082
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,9,psi,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,1,u,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,2,v,-0.037740780058853153
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,3,w,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,4,p,3.4433815240221914
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,5,q,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,6,r,-19.70134827061393
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,7,phi,9.6602371165669292
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,8,theta,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,9,psi,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,1,u,-0.045463865614624579
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,2,v,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,3,w,-0.53779126569268487
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,4,p,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,5,q,19.70134827061393
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,6,r,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,7,phi,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,8,theta,-1.6863887935627447
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,9,psi,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,4,pdot,1,u,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,4,pdot,2,v,-0.012938955853415224
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,4,pdot,3,w,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,4,pdot,4,p,-1.7692459333507322
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,4,pdot,5,q,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,4,pdot,6,r,-0.27619824818847627
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,4,pdot,7,phi,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,4,pdot,8,theta,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,4,pdot,9,psi,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,5,qdot,1,u,-0.0052875075775588502
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,5,qdot,2,v,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,5,qdot,3,w,0.0052930504544643049
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,5,qdot,4,p,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,5,qdot,5,q,-0.20444056253797072
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,5,qdot,6,r,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,5,qdot,7,phi,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,5,qdot,8,theta,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,5,qdot,9,psi,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,6,rdot,1,u,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,6,rdot,2,v,-0.0036075709361227544
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,6,rdot,3,w,0
B15_V020,M0_MATCHED_PRODUCTION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,6,rdot,4,p,-0.094903625911319595
