item,adopted_model_term,source,source_status,implementation,notes
coordinate_system,body-axis strip forces and moments about local quarter chord,NASA CR-114614 source-verified technical extract,LOCAL_ZIP_VERIFIED_TECHNICAL_EXTRACT_NOT_FACSIMILE,model/wing/wing_integrate_strips.m; model/wing/wing_local_flow.m,Forces are computed per strip and transformed through the existing body-axis wing path.
left_right_wakes,left and right wakes handled independently,NASA CR-114614 source-verified technical extract,LOCAL_ZIP_VERIFIED_TECHNICAL_EXTRACT_NOT_FACSIMILE,model/wing/wing_wake_coverage.m,coverage.left and coverage.right are computed separately before capped total coverage.
wake_centerline,straight rotor-axis wake projection from hub to wing plane,NASA CR-114614 source-verified technical extract; CR-176970 strip-method context,LOCAL_ZIP_VERIFIED_INPUTS,model/wing/wing_wake_coverage.m,Free-wake curvature is not claimed.
wake_radius,rotor radius times fullAngleWakeContraction,NASA CR-114614 source-verified technical extract; CR-176970 rotor diameter context,REFERENCE_DERIVED,params_nominal.m; model/wing/wing_wake_coverage.m,Default contraction is 1.0 until a source-specific contraction curve is validated.
disk_wing_distance,projection distance from rotor hub wake line to selected wing plane,NASA CR-114614 source-verified technical extract,REFERENCE_DERIVED,model/wing/wing_wake_coverage.m,Reported as diskWingDistance in diagnostics.
immersed_area,true strip span-overlap fraction of circular wake footprint,NASA CR-114614 source-verified technical extract; CR-176970 one-foot-strip method,REFERENCE_DERIVED,model/wing/wing_wake_coverage.m; model/wing/wing_integrate_strips.m,Area coverage is capped at each strip total area to avoid double counting.
local_aoa,computed from local velocity vector in each free or wake strip portion,NASA CR-114614 source-verified technical extract,REFERENCE_DERIVED,model/wing/wing_local_flow.m,Same aerodynamic database law is used in free and wake portions.
local_dynamic_pressure,q=0.5*rho*|Vlocal|^2,NASA CR-114614 source-verified technical extract,REFERENCE_DERIVED,model/wing/wing_local_flow.m; model/wing/wing_integrate_strips.m,No speed-dependent branch selection is used.
local_reynolds_mach,Re and Mach computed from local speed,NASA CR-114614 source-verified technical extract; project environment constants,DERIVED,model/wing/wing_local_flow.m,Re/Mach are passed to wing_full_angle_lookup.
coefficient_law,CL/CD/Cm=f(alpha,Re,Mach,flapDeg),NASA CR-114614 source-verified technical extract; formal database metadata,DERIVED,model/wing/wing_full_angle_lookup.m; data/wing_full_angle/full_angle_selected/wing_full_angle_database.csv,Free and wake portions differ only by local flow and covered area.
model_301_empirical_constants,not copied,NASA CR-114614 source-verified technical extract,REJECTED_FOR_GENERIC_MODEL,docs/wing_full_angle/CR114614_WAKE_EXTRACTION.md,Existing rotor induced velocity is used instead of copying Model 301 Ki constants.
