Re,Mach,flap_deg,alpha_deg,CL,CD,Cm,source
600000.0,0.0,0,-25.0,-1.0727,0.15408,-0.0328,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-24.0,-1.0794,0.13947,-0.0425,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-23.0,-1.0873,0.1248,-0.0514,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-22.0,-1.0878,0.11175,-0.0583,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-21.0,-1.1008,0.09693,-0.0653,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-20.0,-1.1102,0.08327,-0.071,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-19.0,-1.1224,0.06968,-0.0759,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-18.0,-1.1263,0.05745,-0.0797,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-17.0,-1.1335,0.04613,-0.0816,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-16.0,-1.1358,0.03725,-0.08,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-15.0,-1.1459,0.03123,-0.0721,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-14.0,-1.122,0.02643,-0.0674,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-13.0,-1.0254,0.0221,-0.0731,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-12.0,-0.9079,0.01892,-0.0799,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-11.0,-0.8108,0.0167,-0.0801,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-10.0,-0.7375,0.01484,-0.0744,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-9.0,-0.6621,0.01362,-0.0681,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-8.0,-0.5762,0.01265,-0.0634,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-7.0,-0.4804,0.01189,-0.0603,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-6.0,-0.3827,0.01124,-0.0574,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-5.0,-0.2819,0.01077,-0.055,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-4.0,-0.1796,0.01044,-0.0528,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-3.0,-0.0781,0.01016,-0.0505,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-2.0,0.0237,0.00997,-0.0482,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-1.0,0.1248,0.00986,-0.0458,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,-0.0,0.2259,0.00979,-0.0434,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,1.0,0.3264,0.00982,-0.0409,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,2.0,0.4273,0.00992,-0.0384,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,3.0,0.5251,0.01016,-0.0354,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,4.0,0.619,0.01044,-0.0316,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,5.0,0.7062,0.01085,-0.0265,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,6.0,0.7887,0.01166,-0.0207,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,7.0,0.883,0.0128,-0.0177,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,8.0,1.0217,0.01444,-0.0251,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,9.0,1.0974,0.01595,-0.0212,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,10.0,1.1383,0.01773,-0.0109,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,11.0,1.1948,0.02036,-0.0051,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,12.0,1.2452,0.02395,-0.0,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,13.0,1.2925,0.02832,0.0039,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,14.0,1.3256,0.03433,0.0074,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,15.0,1.3541,0.04133,0.0098,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,16.0,1.3698,0.05005,0.0112,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,17.0,1.3742,0.06044,0.0116,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,18.0,1.3689,0.07238,0.0109,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,21.0,1.3427,0.11184,0.0021,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,22.0,1.3387,0.1249,-0.0029,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,23.0,1.3366,0.13794,-0.009,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,24.0,1.3387,0.1504,-0.0159,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.0,0,25.0,1.3427,0.16264,-0.0237,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-25.0,-1.0469,0.16005,-0.0302,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-24.0,-1.0709,0.14223,-0.0422,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-23.0,-1.0642,0.12978,-0.05,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-22.0,-1.0708,0.11557,-0.0577,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-21.0,-1.0834,0.10063,-0.0651,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-20.0,-1.0909,0.0871,-0.0708,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-19.0,-1.1032,0.07328,-0.076,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-18.0,-1.1113,0.06043,-0.0801,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-17.0,-1.1201,0.04865,-0.0825,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-16.0,-1.1227,0.03929,-0.0815,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-15.0,-1.1295,0.0329,-0.0747,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-13.0,-1.022,0.02291,-0.0749,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-12.0,-0.9087,0.01933,-0.0814,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-11.0,-0.8118,0.01692,-0.0818,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-10.0,-0.7371,0.01505,-0.0762,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-9.0,-0.6619,0.01372,-0.0697,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-8.0,-0.577,0.01277,-0.0646,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-7.0,-0.4824,0.01196,-0.0611,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-6.0,-0.3841,0.01131,-0.0582,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-5.0,-0.2828,0.01085,-0.0557,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-4.0,-0.1809,0.01049,-0.0532,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-3.0,-0.0789,0.01021,-0.0508,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-2.0,0.0234,0.01002,-0.0484,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-1.0,0.1254,0.00992,-0.046,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,-0.0,0.226,0.00984,-0.0433,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,1.0,0.3275,0.00986,-0.0408,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,2.0,0.4284,0.00998,-0.0382,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,3.0,0.5257,0.01024,-0.0349,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,4.0,0.6197,0.01049,-0.031,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,5.0,0.7072,0.01094,-0.0258,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,6.0,0.7909,0.01175,-0.02,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,7.0,0.8838,0.01297,-0.0166,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,8.0,1.0238,0.01466,-0.0242,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,9.0,1.0955,0.01618,-0.0193,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,10.0,1.1363,0.01817,-0.0092,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,11.0,1.194,0.02089,-0.0036,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,12.0,1.2425,0.02475,0.0015,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,13.0,1.2889,0.02937,0.0054,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,14.0,1.32,0.03574,0.0089,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,15.0,1.347,0.04308,0.011,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,16.0,1.3587,0.05239,0.0123,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,17.0,1.3589,0.0634,0.0126,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,18.0,1.3561,0.07525,0.0116,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,19.0,1.3488,0.08805,0.0096,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,20.0,1.3396,0.10141,0.0064,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,21.0,1.3314,0.11497,0.0022,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,22.0,1.3262,0.12832,-0.0032,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,23.0,1.3273,0.14105,-0.0094,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,24.0,1.3281,0.15395,-0.0168,XFOIL_CLEAN_SURROGATE_GEOMETRY
600000.0,0.1,0,25.0,1.334,0.16611,-0.0248,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-25.0,-1.0861,0.15361,-0.0321,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-24.0,-1.0908,0.13923,-0.0415,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-23.0,-1.103,0.12424,-0.0502,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-22.0,-1.1232,0.10836,-0.0583,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-21.0,-1.1553,0.09135,-0.0658,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-20.0,-1.1947,0.07407,-0.0726,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-19.0,-1.2207,0.05911,-0.0775,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-18.0,-1.2412,0.04574,-0.0807,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-17.0,-1.2343,0.03661,-0.081,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-16.0,-1.2385,0.0296,-0.0755,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-15.0,-1.2135,0.02454,-0.0711,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-14.0,-1.1136,0.02059,-0.0768,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-13.0,-1.0104,0.01768,-0.0805,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-12.0,-0.932,0.01545,-0.0775,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-11.0,-0.8608,0.01382,-0.0715,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-10.0,-0.7798,0.01261,-0.0665,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-9.0,-0.6955,0.0117,-0.0616,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-8.0,-0.5997,0.01094,-0.0587,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-7.0,-0.5007,0.01031,-0.0562,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-6.0,-0.3979,0.00983,-0.0543,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-5.0,-0.2947,0.00943,-0.0524,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-4.0,-0.1903,0.00913,-0.0506,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-3.0,-0.0852,0.00894,-0.049,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-2.0,0.02,0.00883,-0.0473,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-1.0,0.1248,0.00874,-0.0456,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,-0.0,0.2295,0.00865,-0.044,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,1.0,0.3335,0.00864,-0.0421,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,2.0,0.4359,0.00878,-0.0401,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,3.0,0.5388,0.00889,-0.0381,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,4.0,0.6359,0.00913,-0.0351,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,5.0,0.727,0.00953,-0.031,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,6.0,0.8195,0.01013,-0.0274,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,7.0,0.9041,0.01097,-0.0223,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,8.0,0.9943,0.01228,-0.0191,XFOIL_CLEAN_SURROGATE_GEOMETRY
1000000.0,0.0,0,9.0,1.1223,0.01399,-0.0248,XFOIL_CLEAN_SURROGATE_GEOMETRY
