  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64A223 SURROGATE - 23 pct thickness, 2 pct 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -25.000  -1.0861   0.15361   0.15019  -0.0321   1.0001   0.0497
 -24.000  -1.0908   0.13923   0.13560  -0.0415   1.0001   0.0524
 -23.000  -1.1030   0.12424   0.12052  -0.0502   1.0001   0.0555
 -22.000  -1.1232   0.10836   0.10441  -0.0583   1.0001   0.0586
 -21.000  -1.1553   0.09135   0.08721  -0.0658   1.0001   0.0617
 -20.000  -1.1947   0.07407   0.06965  -0.0726   1.0001   0.0647
 -19.000  -1.2207   0.05911   0.05442  -0.0775   1.0001   0.0681
 -18.000  -1.2412   0.04574   0.04082  -0.0807   1.0001   0.0718
 -17.000  -1.2343   0.03661   0.03146  -0.0810   1.0001   0.0759
 -16.000  -1.2385   0.02960   0.02431  -0.0755   1.0001   0.0806
 -15.000  -1.2135   0.02454   0.01914  -0.0711   0.9973   0.0861
 -14.000  -1.1136   0.02059   0.01513  -0.0768   0.9916   0.0946
 -13.000  -1.0104   0.01768   0.01217  -0.0805   0.9803   0.1044
 -12.000  -0.9320   0.01545   0.00990  -0.0775   0.9552   0.1152
 -11.000  -0.8608   0.01382   0.00821  -0.0715   0.9231   0.1275
 -10.000  -0.7798   0.01261   0.00692  -0.0665   0.8890   0.1419
  -9.000  -0.6955   0.01170   0.00596  -0.0616   0.8542   0.1588
  -8.000  -0.5997   0.01094   0.00515  -0.0587   0.8190   0.1787
  -7.000  -0.5007   0.01031   0.00446  -0.0562   0.7796   0.2017
  -6.000  -0.3979   0.00983   0.00393  -0.0543   0.7391   0.2267
  -5.000  -0.2947   0.00943   0.00350  -0.0524   0.6972   0.2558
  -4.000  -0.1903   0.00913   0.00318  -0.0506   0.6552   0.2873
  -3.000  -0.0852   0.00894   0.00296  -0.0490   0.6140   0.3213
  -2.000   0.0200   0.00883   0.00282  -0.0473   0.5750   0.3589
  -1.000   0.1248   0.00874   0.00276  -0.0456   0.5390   0.4033
  -0.000   0.2295   0.00865   0.00277  -0.0440   0.5079   0.4606
   1.000   0.3335   0.00864   0.00288  -0.0421   0.4790   0.5246
   2.000   0.4359   0.00878   0.00309  -0.0401   0.4508   0.5863
   3.000   0.5388   0.00889   0.00336  -0.0381   0.4257   0.6494
   4.000   0.6359   0.00913   0.00372  -0.0351   0.3982   0.7135
   5.000   0.7270   0.00953   0.00425  -0.0310   0.3695   0.7829
   6.000   0.8195   0.01013   0.00498  -0.0274   0.3401   0.8565
   7.000   0.9041   0.01097   0.00594  -0.0223   0.3115   0.9272
   8.000   0.9943   0.01228   0.00717  -0.0191   0.2813   0.9814
   9.000   1.1223   0.01399   0.00874  -0.0248   0.2496   0.9977
  10.000   1.1760   0.01548   0.01016  -0.0164   0.2262   0.9999
  11.000   1.2347   0.01777   0.01235  -0.0102   0.2023   0.9999
  12.000   1.2939   0.02069   0.01522  -0.0054   0.1806   0.9999
  13.000   1.3458   0.02449   0.01901  -0.0011   0.1614   0.9999
  14.000   1.3891   0.02939   0.02391   0.0026   0.1441   0.9999
  15.000   1.4212   0.03571   0.03028   0.0057   0.1295   0.9999
  16.000   1.4465   0.04317   0.03784   0.0077   0.1171   0.9999
  17.000   1.4572   0.05249   0.04728   0.0089   0.1063   0.9999
  18.000   1.4577   0.06335   0.05829   0.0091   0.0973   0.9999
  19.000   1.4476   0.07585   0.07098   0.0081   0.0894   0.9999
  20.000   1.4317   0.08947   0.08480   0.0060   0.0826   0.9999
  21.000   1.4130   0.10385   0.09937   0.0025   0.0764   0.9999
  22.000   1.3936   0.11870   0.11442  -0.0023   0.0709   0.9999
  23.000   1.3758   0.13365   0.12954  -0.0086   0.0657   0.9999
  24.000   1.3623   0.14828   0.14431  -0.0161   0.0609   0.9999
  25.000   1.3622   0.16112   0.15732  -0.0239   0.0567   0.9999
