curve_id,pdf_file,pdf_page,original_page,figure,configuration,flap_chord_definition,flap_deg,Re,Mach,moment_reference,coefficient,alpha_deg,value,pixel_x,pixel_y,source_class,digitizer,uncertainty_alpha_deg,uncertainty_value,notes
TM88373_Figure6a_flap_00_CL,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CL,-75.0,-0.5429089063500606,566.6193865276664,800.5007864197952,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.035,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CL,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CL,-80.0,-0.4295887846099997,656.0856054530874,779.3425474905744,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.035,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CL,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CL,-85.0,-0.31641739779521655,745.5518243785084,758.2120791729433,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.035,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CL,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CL,-90.0,-0.19092486443593387,835.0180433039295,734.7811035979298,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.035,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CL,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CL,-95.0,-0.06148085227733471,924.4842622293504,710.6123390823832,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.035,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CL,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CL,-100.0,0.062115737209616884,1013.9504811547715,687.5353591864354,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.035,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CL,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CL,-105.0,0.16856403231242648,1103.4167000801926,667.6601735017624,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.035,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CD,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CD,-75.0,1.5870910936499394,566.6193865276664,402.80399411827153,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.04,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CD,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CD,-80.0,1.6304112153899997,656.0856054530874,394.71560282337316,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.04,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CD,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CD,-85.0,1.6535826022047837,745.5518243785084,390.38922432129925,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.04,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CD,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CD,-90.0,1.6590751355640658,835.0180433039295,389.3637018336957,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.04,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CD,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CD,-95.0,1.6385191477226655,924.4842622293504,393.2017536774112,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.04,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CD,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CD,-100.0,1.5821157372096173,1013.9504811547715,403.732953412578,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.04,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_CD,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,CD,-105.0,1.528564032312427,1103.4167000801926,413.73170517778476,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.04,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_Cm,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,Cm,-75.0,0.4270910936499394,566.6193865276664,619.3900406298994,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.025,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_Cm,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,Cm,-80.0,0.45041121538999995,656.0856054530874,615.035891516236,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.025,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_Cm,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,Cm,-85.0,0.46358260220478387,745.5518243785084,612.5766341047796,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.025,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_Cm,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,Cm,-90.0,0.47907513556406595,835.0180433039295,609.6839905265585,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.025,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_Cm,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,Cm,-95.0,0.49851914772266515,924.4842622293504,606.0535580078042,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.025,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_Cm,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,Cm,-100.0,0.5221157372096169,1013.9504811547715,601.6477890180312,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.025,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_00_Cm,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,0.0,1000000.0,0.0,quarter chord,Cm,-105.0,0.5485640323124262,1103.4167000801926,596.7095720582981,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.025,No smoothing; visible scan jumps retained.
TM88373_Figure6a_flap_30_CL,NASA_TM_88373.pdf,32,28,Figure 6a,"basic leading edge, 30% chord plain flap, configuration b",30% chord by report overall-flap-length definition,30.0,1000000.0,0.0,quarter chord,CL,-75.0,-0.4205898008922226,1489.2883921411387,777.6623282612159,TM88373_DIGITIZED_GRAPH,pass2_independent_repeat_graph_pick,0.75,0.035,No smoothing; visible scan jumps retained.
