curve_id,coefficient,alpha_deg,flap_deg,pass1_value,pass2_value,difference
TM88373_Figure6a_flap_00_CL,CL,-75.0,0.0,-0.55,-0.5429089063500606,0.007091093649939428
TM88373_Figure6a_flap_00_CL,CL,-80.0,0.0,-0.43,-0.4295887846099997,0.00041121539000027463
TM88373_Figure6a_flap_00_CL,CL,-85.0,0.0,-0.31,-0.31641739779521655,-0.006417397795216551
TM88373_Figure6a_flap_00_CL,CL,-90.0,0.0,-0.18,-0.19092486443593387,-0.010924864435933879
TM88373_Figure6a_flap_00_CL,CL,-95.0,0.0,-0.05,-0.06148085227733471,-0.01148085227733471
TM88373_Figure6a_flap_00_CL,CL,-100.0,0.0,0.07,0.062115737209616884,-0.007884262790383123
TM88373_Figure6a_flap_00_CL,CL,-105.0,0.0,0.17,0.16856403231242648,-0.001435967687573536
TM88373_Figure6a_flap_00_CD,CD,-75.0,0.0,1.58,1.5870910936499394,0.007091093649939317
TM88373_Figure6a_flap_00_CD,CD,-80.0,0.0,1.63,1.6304112153899997,0.00041121538999977503
TM88373_Figure6a_flap_00_CD,CD,-85.0,0.0,1.66,1.6535826022047837,-0.0064173977952162176
TM88373_Figure6a_flap_00_CD,CD,-90.0,0.0,1.67,1.6590751355640658,-0.0109248644359341
TM88373_Figure6a_flap_00_CD,CD,-95.0,0.0,1.65,1.6385191477226655,-0.011480852277334419
TM88373_Figure6a_flap_00_CD,CD,-100.0,0.0,1.59,1.5821157372096173,-0.00788426279038279
TM88373_Figure6a_flap_00_CD,CD,-105.0,0.0,1.53,1.528564032312427,-0.0014359676875730365
TM88373_Figure6a_flap_00_Cm,Cm,-75.0,0.0,0.42,0.4270910936499394,0.007091093649939428
TM88373_Figure6a_flap_00_Cm,Cm,-80.0,0.0,0.45,0.45041121538999995,0.00041121538999994156
TM88373_Figure6a_flap_00_Cm,Cm,-85.0,0.0,0.47,0.46358260220478387,-0.0064173977952161065
TM88373_Figure6a_flap_00_Cm,Cm,-90.0,0.0,0.49,0.47907513556406595,-0.010924864435934045
TM88373_Figure6a_flap_00_Cm,Cm,-95.0,0.0,0.51,0.49851914772266515,-0.011480852277334863
TM88373_Figure6a_flap_00_Cm,Cm,-100.0,0.0,0.53,0.5221157372096169,-0.007884262790383123
TM88373_Figure6a_flap_00_Cm,Cm,-105.0,0.0,0.55,0.5485640323124262,-0.0014359676875738137
TM88373_Figure6a_flap_30_CL,CL,-75.0,30.0,-0.43,-0.4205898008922226,0.009410199107777406
TM88373_Figure6a_flap_30_CL,CL,-80.0,30.0,-0.4,-0.3882243319381343,0.011775668061865696
TM88373_Figure6a_flap_30_CL,CL,-85.0,30.0,-0.34,-0.3301180739762854,0.009881926023714627
TM88373_Figure6a_flap_30_CL,CL,-90.0,30.0,-0.27,-0.2655860682541889,0.004413931745811117
TM88373_Figure6a_flap_30_CL,CL,-95.0,30.0,-0.18,-0.18265056359784795,-0.0026505635978479603
TM88373_Figure6a_flap_30_CL,CL,-100.0,30.0,-0.09,-0.09875636092520149,-0.00875636092520149
TM88373_Figure6a_flap_30_CL,CL,-105.0,30.0,-0.02,-0.03169501830697465,-0.011695018306974652
TM88373_Figure6a_flap_30_CD,CD,-75.0,30.0,1.22,1.229410199107777,0.009410199107777073
TM88373_Figure6a_flap_30_CD,CD,-80.0,30.0,1.29,1.3017756680618657,0.011775668061865696
TM88373_Figure6a_flap_30_CD,CD,-85.0,30.0,1.36,1.3698819260237145,0.009881926023714405
TM88373_Figure6a_flap_30_CD,CD,-90.0,30.0,1.4,1.4044139317458113,0.004413931745811395
TM88373_Figure6a_flap_30_CD,CD,-95.0,30.0,1.41,1.4073494364021517,-0.00265056359784821
TM88373_Figure6a_flap_30_CD,CD,-100.0,30.0,1.4,1.3912436390747986,-0.008756360925201268
TM88373_Figure6a_flap_30_CD,CD,-105.0,30.0,1.38,1.3683049816930257,-0.01169501830697417
TM88373_Figure6a_flap_30_Cm,Cm,-75.0,30.0,0.2,0.20941019910777683,0.009410199107776823
TM88373_Figure6a_flap_30_Cm,Cm,-80.0,30.0,0.22,0.23177566806186561,0.011775668061865613
TM88373_Figure6a_flap_30_Cm,Cm,-85.0,30.0,0.25,0.2598819260237148,0.009881926023714793
TM88373_Figure6a_flap_30_Cm,Cm,-90.0,30.0,0.29,0.294413931745811,0.004413931745811006
TM88373_Figure6a_flap_30_Cm,Cm,-95.0,30.0,0.32,0.3173494364021519,-0.002650563597848099
TM88373_Figure6a_flap_30_Cm,Cm,-100.0,30.0,0.35,0.3412436390747983,-0.008756360925201656
TM88373_Figure6a_flap_30_Cm,Cm,-105.0,30.0,0.38,0.36830498169302534,-0.01169501830697467
TM88373_Figure6a_flap_45_CL,CL,-75.0,45.0,-0.1,-0.09836014480447622,0.0016398551955237872
TM88373_Figure6a_flap_45_CL,CL,-80.0,45.0,-0.09,-0.08196411845125018,0.008035881548749818
TM88373_Figure6a_flap_45_CL,CL,-85.0,45.0,-0.08,-0.06847463759887755,0.011525362401122452
TM88373_Figure6a_flap_45_CL,CL,-90.0,45.0,-0.06,-0.04915383320464878,0.01084616679535122
TM88373_Figure6a_flap_45_CL,CL,-95.0,45.0,-0.04,-0.03375604299490046,0.00624395700509954
TM88373_Figure6a_flap_45_CL,CL,-100.0,45.0,-0.02,-0.020616666504990448,-0.0006166665049904471
TM88373_Figure6a_flap_45_CL,CL,-105.0,45.0,0.02,0.012745755738485435,-0.007254244261514565
TM88373_Figure6a_flap_45_CD,CD,-75.0,45.0,1.14,1.1416398551955236,0.0016398551955236762
TM88373_Figure6a_flap_45_CD,CD,-80.0,45.0,1.21,1.218035881548749,0.008035881548749124
TM88373_Figure6a_flap_45_CD,CD,-85.0,45.0,1.29,1.3015253624011225,0.011525362401122452
TM88373_Figure6a_flap_45_CD,CD,-90.0,45.0,1.36,1.3708461667953504,0.010846166795350332
TM88373_Figure6a_flap_45_CD,CD,-95.0,45.0,1.4,1.4062439570051002,0.006243957005100276
TM88373_Figure6a_flap_45_CD,CD,-100.0,45.0,1.42,1.4193833334950103,-0.0006166665049895936
TM88373_Figure6a_flap_45_CD,CD,-105.0,45.0,1.43,1.4227457557384846,-0.00725424426151533
TM88373_Figure6a_flap_45_Cm,Cm,-75.0,45.0,0.11,0.11163985519552358,0.001639855195523579
TM88373_Figure6a_flap_45_Cm,Cm,-80.0,45.0,0.15,0.15803588154874995,0.008035881548749957
TM88373_Figure6a_flap_45_Cm,Cm,-85.0,45.0,0.2,0.21152536240112177,0.011525362401121758
TM88373_Figure6a_flap_45_Cm,Cm,-90.0,45.0,0.25,0.2608461667953509,0.010846166795350887
TM88373_Figure6a_flap_45_Cm,Cm,-95.0,45.0,0.31,0.3162439570050996,0.00624395700509961
TM88373_Figure6a_flap_45_Cm,Cm,-100.0,45.0,0.36,0.35938333349500995,-0.0006166665049900377
TM88373_Figure6a_flap_45_Cm,Cm,-105.0,45.0,0.4,0.39274575573848464,-0.007254244261515386
TM88373_Figure6a_flap_60_CL,CL,-75.0,60.0,-0.02,-0.027091093649938808,-0.007091093649938807
TM88373_Figure6a_flap_60_CL,CL,-80.0,60.0,0.05,0.04958878461000052,-0.0004112153899994836
