curve_id,source,source_page_image,alpha_deg,flap_deg,Re,Mach,CL,CD,Cm,source_class,validity,uncertainty_CL,uncertainty_CD,uncertainty_Cm
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-105.0,0.0,1000000.0,0.0,0.2,2.05,0.047,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-100.0,0.0,1000000.0,0.0,0.175,1.8924999999999998,0.041999999999999996,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-96.0,0.0,1000000.0,0.0,0.155,1.7989,0.038,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-90.0,0.0,1000000.0,0.0,0.125,1.7125,0.032,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-85.0,0.0,1000000.0,0.0,0.1,1.69,0.027,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-80.0,0.0,1000000.0,0.0,0.07500000000000001,1.7125,0.022,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-75.0,0.0,1000000.0,0.0,0.05,1.78,0.017,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-105.0,20.0,1000000.0,0.0,0.21400000000000002,1.8900000000000001,0.038,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-100.0,20.0,1000000.0,0.0,0.189,1.7325,0.033,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-96.0,20.0,1000000.0,0.0,0.169,1.6389,0.028999999999999998,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-90.0,20.0,1000000.0,0.0,0.139,1.5525,0.023,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-85.0,20.0,1000000.0,0.0,0.114,1.53,0.018,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-80.0,20.0,1000000.0,0.0,0.08900000000000001,1.5525,0.012999999999999998,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-75.0,20.0,1000000.0,0.0,0.064,1.62,0.007999999999999998,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_40_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-105.0,40.0,1000000.0,0.0,0.228,1.6800000000000002,0.028999999999999998,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_40_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-100.0,40.0,1000000.0,0.0,0.20299999999999999,1.5225,0.024,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_40_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-96.0,40.0,1000000.0,0.0,0.183,1.4289,0.019999999999999997,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_40_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-90.0,40.0,1000000.0,0.0,0.153,1.3425,0.013999999999999999,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_40_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-85.0,40.0,1000000.0,0.0,0.128,1.32,0.009,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_40_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-80.0,40.0,1000000.0,0.0,0.10300000000000001,1.3425,0.003999999999999999,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_40_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-75.0,40.0,1000000.0,0.0,0.078,1.4100000000000001,-0.0010000000000000009,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_50_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-105.0,50.0,1000000.0,0.0,0.23500000000000001,1.5699999999999998,0.0245,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_50_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-100.0,50.0,1000000.0,0.0,0.21,1.4124999999999999,0.0195,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
