curve_id,source,source_page_image,alpha_deg,flap_deg,Re,Mach,CL,CD,Cm,source_class,validity,uncertainty_CL,uncertainty_CD,uncertainty_Cm
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-105.0,0.0,1000000.0,0.0,0.19227259338968747,2.0474118095489744,0.049,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-100.0,0.0,1000000.0,0.0,0.16712153797590232,1.8907635182233304,0.04336808057330267,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-96.0,0.0,1000000.0,0.0,0.1470438248370538,1.7978547153673234,0.038831646763271034,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-90.0,0.0,1000000.0,0.0,0.11699999999999999,1.7125,0.032,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-85.0,0.0,1000000.0,0.0,0.09203044241526603,1.6908715574274766,0.02630540728933228,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-80.0,0.0,1000000.0,0.0,0.06712153797590234,1.7142364817766693,0.020631919426697322,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_00_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-75.0,0.0,1000000.0,0.0,0.04227259338968745,1.7825881904510252,0.015000000000000001,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-105.0,20.0,1000000.0,0.0,0.20603044241526605,1.8842642356364896,0.04,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-100.0,20.0,1000000.0,0.0,0.18112153797590233,1.7275,0.03436808057330268,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
TM88373_plain_flap_20_text_constrained,NASA TM-88373 Figure 6 text/Table 1 context; CR-176970 Table 4 CD cross-check,data/wing_full_angle/tm88373_digitized/source_pages/figure6_text_page.png,-96.0,20.0,1000000.0,0.0,0.16123763418979203,1.6345162885321092,0.029831646763271037,TM88373_DIGITIZED_TEXT_CONSTRAINED,USED_NEAR_NEGATIVE_90_ONLY; NOT_GRAPHICAL_FACSIMILE_DIGITIZATION,0.06,0.08,0.03
