  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64A223 SURROGATE - 23 pct thickness, 2 pct 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -25.000  -1.0696   0.15792   0.15456  -0.0306   1.0001   0.0489
 -24.000  -1.0748   0.14331   0.13979  -0.0404   1.0001   0.0518
 -23.000  -1.0815   0.12891   0.12528  -0.0491   1.0001   0.0548
 -22.000  -1.0965   0.11343   0.10956  -0.0573   1.0001   0.0577
 -21.000  -1.1290   0.09623   0.09220  -0.0652   1.0001   0.0611
 -20.000  -1.1634   0.07934   0.07503  -0.0721   1.0001   0.0641
 -19.000  -1.1984   0.06310   0.05855  -0.0777   1.0001   0.0675
 -18.000  -1.2217   0.04912   0.04430  -0.0815   1.0001   0.0711
 -17.000  -1.2180   0.03923   0.03418  -0.0823   1.0001   0.0750
 -16.000  -1.2281   0.03109   0.02589  -0.0778   1.0001   0.0797
 -15.000  -1.2120   0.02565   0.02031  -0.0725   0.9978   0.0849
 -14.000  -1.1150   0.02126   0.01585  -0.0783   0.9918   0.0934
 -13.000  -1.0127   0.01807   0.01262  -0.0821   0.9807   0.1033
 -12.000  -0.9309   0.01581   0.01029  -0.0796   0.9563   0.1136
 -11.000  -0.8615   0.01404   0.00845  -0.0733   0.9233   0.1260
 -10.000  -0.7813   0.01274   0.00708  -0.0681   0.8887   0.1405
  -9.000  -0.6970   0.01183   0.00609  -0.0630   0.8534   0.1568
  -8.000  -0.6021   0.01102   0.00523  -0.0597   0.8178   0.1771
  -7.000  -0.5026   0.01039   0.00453  -0.0570   0.7782   0.1997
  -6.000  -0.3997   0.00991   0.00399  -0.0549   0.7371   0.2246
  -5.000  -0.2964   0.00948   0.00355  -0.0528   0.6950   0.2539
  -4.000  -0.1915   0.00919   0.00322  -0.0510   0.6529   0.2851
  -3.000  -0.0857   0.00900   0.00300  -0.0493   0.6118   0.3188
  -2.000   0.0200   0.00888   0.00286  -0.0476   0.5730   0.3563
  -0.000   0.2301   0.00869   0.00281  -0.0440   0.5061   0.4575
   1.000   0.3341   0.00869   0.00292  -0.0420   0.4771   0.5215
   2.000   0.4375   0.00881   0.00313  -0.0400   0.4497   0.5837
   3.000   0.5402   0.00893   0.00340  -0.0378   0.4241   0.6469
   4.000   0.6357   0.00919   0.00377  -0.0342   0.3962   0.7109
   5.000   0.7290   0.00961   0.00432  -0.0304   0.3677   0.7808
   6.000   0.8210   0.01025   0.00510  -0.0266   0.3377   0.8551
   7.000   0.9063   0.01110   0.00607  -0.0215   0.3093   0.9269
   8.000   0.9975   0.01242   0.00734  -0.0183   0.2796   0.9818
   9.000   1.1259   0.01422   0.00899  -0.0239   0.2477   0.9982
  10.000   1.1756   0.01582   0.01051  -0.0147   0.2240   0.9999
  11.000   1.2354   0.01821   0.01283  -0.0087   0.2004   0.9999
  12.000   1.2920   0.02141   0.01597  -0.0037   0.1783   0.9999
  13.000   1.3442   0.02537   0.01993   0.0005   0.1594   0.9999
  14.000   1.3837   0.03075   0.02531   0.0043   0.1421   0.9999
  15.000   1.4172   0.03716   0.03180   0.0071   0.1280   0.9999
  16.000   1.4372   0.04530   0.04004   0.0091   0.1155   0.9999
  17.000   1.4451   0.05512   0.04998   0.0101   0.1049   0.9999
  18.000   1.4408   0.06670   0.06173   0.0100   0.0960   0.9999
  19.000   1.4298   0.07949   0.07469   0.0088   0.0881   0.9999
  20.000   1.4123   0.09349   0.08891   0.0063   0.0814   0.9999
  21.000   1.3935   0.10808   0.10369   0.0025   0.0753   0.9999
  22.000   1.3764   0.12281   0.11862  -0.0027   0.0698   0.9999
  23.000   1.3625   0.13743   0.13341  -0.0092   0.0647   0.9999
  24.000   1.3528   0.15168   0.14780  -0.0168   0.0600   0.9999
  25.000   1.3467   0.16565   0.16190  -0.0255   0.0556   0.9999
