Re,Mach,flap_deg,sweep,alpha_deg,CL,CD,Cm,source,accepted
600000.0,0.0,0.0,positive,0.0,0.0724,0.00981,-0.0152,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,1.0,0.1612,0.00979,-0.0111,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,2.0,0.2602,0.01,-0.0093,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,3.0,0.3579,0.01018,-0.0072,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,4.0,0.4644,0.01047,-0.0072,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,5.0,0.5691,0.01074,-0.0069,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,6.0,0.6591,0.01098,-0.0037,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,7.0,0.7617,0.01133,-0.0037,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,8.0,0.857,0.01179,-0.0025,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,9.0,0.9353,0.01255,0.0014,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,10.0,0.9954,0.014,0.0073,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,11.0,0.9871,0.01906,0.0195,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,13.0,1.0293,0.03565,0.022,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,14.0,1.0409,0.04295,0.0262,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,positive,15.0,1.0556,0.05062,0.0289,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
