  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64A223 STANDARD - PDAS/NASA TM-X-3069 6A ge
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0674   0.00739   0.00222  -0.0140   0.5524   0.5433
   1.000   0.1702   0.00743   0.00228  -0.0129   0.5421   0.5545
   2.000   0.2758   0.00760   0.00244  -0.0124   0.5318   0.5655
   3.000   0.3909   0.00769   0.00262  -0.0142   0.5223   0.5816
   4.000   0.5006   0.00785   0.00285  -0.0148   0.5099   0.5978
   5.000   0.6040   0.00811   0.00317  -0.0143   0.4952   0.6154
   6.000   0.7038   0.00843   0.00357  -0.0132   0.4780   0.6353
   7.000   0.8023   0.00879   0.00406  -0.0121   0.4613   0.6567
   8.000   0.8952   0.00934   0.00471  -0.0102   0.4354   0.6787
   9.000   0.9338   0.01162   0.00664  -0.0001   0.3352   0.7022
  10.000   0.9638   0.01483   0.00964   0.0094   0.2567   0.7277
  11.000   0.9739   0.01979   0.01437   0.0189   0.1779   0.7614
  12.000   0.9986   0.02484   0.01945   0.0247   0.1319   0.8102
  13.000   1.0718   0.03192   0.02682   0.0181   0.0863   1.0000
  14.000   1.1039   0.03729   0.03224   0.0218   0.0755   1.0000
  15.000   1.1274   0.04375   0.03867   0.0251   0.0586   1.0000
  16.000   1.1554   0.05030   0.04527   0.0271   0.0489   1.0000
  17.000   1.1806   0.05740   0.05243   0.0284   0.0408   1.0000
  18.000   1.1958   0.06580   0.06084   0.0291   0.0293   1.0000
  19.000   1.2136   0.07437   0.06954   0.0289   0.0251   1.0000
  20.000   1.2145   0.08512   0.08035   0.0279   0.0172   1.0000
  21.000   1.2186   0.09606   0.09149   0.0257   0.0164   1.0000
  22.000   1.2200   0.10775   0.10339   0.0224   0.0146   1.0000
  23.000   1.2071   0.12166   0.11755   0.0175   0.0137   1.0000
  24.000   1.1904   0.13658   0.13273   0.0110   0.0132   1.0000
  25.000   1.1727   0.15202   0.14845   0.0030   0.0130   1.0000
