  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64A223 STANDARD - PDAS/NASA TM-X-3069 6A ge
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     1.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0667   0.00741   0.00224  -0.0139   0.5518   0.5426
  -1.000  -0.0290   0.00733   0.00220  -0.0168   0.5647   0.5326
  -2.000  -0.1245   0.00731   0.00223  -0.0198   0.5781   0.5222
  -4.000  -0.2946   0.00737   0.00239  -0.0306   0.6106   0.4883
  -5.000  -0.3748   0.00745   0.00256  -0.0370   0.6293   0.4715
  -6.000  -0.4642   0.00757   0.00280  -0.0412   0.6491   0.4515
  -7.000  -0.5439   0.00803   0.00320  -0.0471   0.6695   0.3918
  -8.000  -0.5744   0.00987   0.00454  -0.0611   0.6913   0.2609
  -9.000  -0.6079   0.01206   0.00646  -0.0722   0.7165   0.1709
 -10.000  -0.6488   0.01484   0.00916  -0.0794   0.7451   0.1186
 -11.000  -0.6969   0.01802   0.01239  -0.0839   0.7799   0.0892
 -12.000  -0.7426   0.02162   0.01615  -0.0876   0.8297   0.0698
 -13.000  -0.7858   0.02546   0.02029  -0.0911   0.9063   0.0553
 -14.000  -0.8561   0.03022   0.02524  -0.0877   0.9580   0.0438
 -15.000  -0.9463   0.03641   0.03152  -0.0784   0.9823   0.0355
 -16.000  -1.0044   0.04384   0.03896  -0.0735   0.9989   0.0259
 -17.000  -1.0359   0.05112   0.04634  -0.0725   1.0000   0.0220
 -18.000  -1.0536   0.05826   0.05363  -0.0742   1.0000   0.0210
 -19.000  -1.0588   0.06738   0.06291  -0.0744   1.0000   0.0191
 -20.000  -1.0685   0.07677   0.07248  -0.0732   1.0000   0.0179
 -21.000  -1.0570   0.08930   0.08520  -0.0703   1.0000   0.0166
 -22.000  -1.0273   0.10507   0.10129  -0.0649   1.0000   0.0164
 -23.000  -1.0157   0.11912   0.11560  -0.0589   1.0000   0.0155
 -24.000  -0.9764   0.13779   0.13457  -0.0497   1.0000   0.0154
 -25.000  -0.9393   0.15685   0.15392  -0.0391   1.0000   0.0153
