case,Re,Mach,sweep,status,accepted_points,input,polar,log,error
LOAD_PANE,,,,PASS,,validation/wing_full_angle/xfoil_standard/load_pane_probe/xfoil.inp,,validation/wing_full_angle/xfoil_standard/load_pane_probe/xfoil.log,
clean,600000.0,0.0,positive,RAN,25,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.00_clean_positive/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.00_clean_positive/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.00_clean_positive/xfoil.log,
clean,600000.0,0.0,negative,RAN,25,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.00_clean_negative/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.00_clean_negative/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.00_clean_negative/xfoil.log,
clean,600000.0,0.1,positive,RAN,26,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.10_clean_positive/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.10_clean_positive/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.10_clean_positive/xfoil.log,
clean,600000.0,0.1,negative,RAN,26,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.10_clean_negative/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.10_clean_negative/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re0600000_M0.10_clean_negative/xfoil.log,
clean,1000000.0,0.0,positive,RAN,26,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.00_clean_positive/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.00_clean_positive/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.00_clean_positive/xfoil.log,
clean,1000000.0,0.0,negative,RAN,25,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.00_clean_negative/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.00_clean_negative/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.00_clean_negative/xfoil.log,
clean,1000000.0,0.1,positive,RAN,25,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.10_clean_positive/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.10_clean_positive/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.10_clean_positive/xfoil.log,
clean,1000000.0,0.1,negative,RAN,26,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.10_clean_negative/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.10_clean_negative/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re1000000_M0.10_clean_negative/xfoil.log,
clean,1400000.0,0.0,positive,RAN,26,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.00_clean_positive/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.00_clean_positive/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.00_clean_positive/xfoil.log,
clean,1400000.0,0.0,negative,RAN,25,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.00_clean_negative/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.00_clean_negative/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.00_clean_negative/xfoil.log,
clean,1400000.0,0.1,positive,RAN,25,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.10_clean_positive/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.10_clean_positive/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.10_clean_positive/xfoil.log,
clean,1400000.0,0.1,negative,RAN,25,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.10_clean_negative/xfoil.inp,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.10_clean_negative/polar.txt,data/wing_full_angle/xfoil_standard/raw/Re1400000_M0.10_clean_negative/xfoil.log,
