dataset,run,point,theta75_deg,Vtip_fps,Mtip,CT,CP,FM,rpm_in_repository_source_record,rpm_repository_output,rpm_disposition,rho_in_source_record,rho_repository_input,rho_disposition,source_locator
OARF_RUN14,14,15,-7,769.4,UNAVAILABLE_IN_REPO_CARRIER,-0.000027,0.000241,0.0004,UNAVAILABLE,587.778303431541,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,16,-5,769.4,UNAVAILABLE_IN_REPO_CARRIER,0.001344,0.000185,0.1883,UNAVAILABLE,587.778303431541,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,17,-3,769.4,UNAVAILABLE_IN_REPO_CARRIER,0.002319,0.000214,0.3690,UNAVAILABLE,587.778303431541,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,18,-1,769.4,UNAVAILABLE_IN_REPO_CARRIER,0.003320,0.000277,0.4883,UNAVAILABLE,587.778303431541,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,19,1,769.4,UNAVAILABLE_IN_REPO_CARRIER,0.004732,0.000382,0.6025,UNAVAILABLE,587.778303431541,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,20,3,769.0,UNAVAILABLE_IN_REPO_CARRIER,0.006405,0.000521,0.6957,UNAVAILABLE,587.472725940804,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,21,5,769.0,UNAVAILABLE_IN_REPO_CARRIER,0.008148,0.000703,0.7398,UNAVAILABLE,587.472725940804,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,22,6,768.7,UNAVAILABLE_IN_REPO_CARRIER,0.009022,0.000815,0.7435,UNAVAILABLE,587.243542822752,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,23,7,768.7,UNAVAILABLE_IN_REPO_CARRIER,0.010095,0.000942,0.7614,UNAVAILABLE,587.243542822752,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,24,8,768.4,UNAVAILABLE_IN_REPO_CARRIER,0.010960,0.001076,0.7540,UNAVAILABLE,587.014359704699,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,25,9,768.4,UNAVAILABLE_IN_REPO_CARRIER,0.011985,0.001242,0.7470,UNAVAILABLE,587.014359704699,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,26,10,768.0,UNAVAILABLE_IN_REPO_CARRIER,0.013014,0.001427,0.7357,UNAVAILABLE,586.708782213963,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
OARF_RUN14,14,27,11,767.7,UNAVAILABLE_IN_REPO_CARRIER,0.013978,0.001615,0.7236,UNAVAILABLE,586.479599095911,DERIVED_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A2
WADC,1,1,-3.7,596.9,0.5301,0.002520,0.000215,0.4162,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
