run,point,tm_pdf_page,tm_printed_page,tm_rpm,tm_Vtip_mps,tm_Mtip,tm_theta75_deg,tm_CT,tm_CP,harris_pdf_page,harris_printed_page,harris_Vtip_fps,harris_Mtip,harris_theta75_deg,harris_CT,harris_CP,run_point_match,theta75_comparison,Mtip_comparison,CT_comparison,Vtip_comparison,CP_comparison
14,15,12,10,587.6,234.5,0.6922,-7.0,-0.000027,UNAVAILABLE,74,66,769.4,0.6922,-7.00,-0.000027,0.000241,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,16,12,10,587.8,234.5,0.6922,-5.0,0.001344,UNAVAILABLE,74,66,769.4,0.6922,-5.00,0.001344,0.000185,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,17,12,10,587.9,234.5,0.6922,-3.0,0.002319,UNAVAILABLE,74,66,769.4,0.6922,-3.00,0.002319,0.000214,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,18,12,10,587.6,234.5,0.6921,-1.0,0.003320,UNAVAILABLE,74,66,769.4,0.6921,-1.00,0.003320,0.000277,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,19,12,10,587.7,234.5,0.6917,1.0,0.004732,UNAVAILABLE,74,66,769.4,0.6917,1.00,0.004732,0.000382,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,20,13,11,587.5,234.4,0.6914,3.0,0.006405,UNAVAILABLE,74,66,769.0,0.6914,3.00,0.006405,0.000521,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,21,13,11,587.4,234.4,0.6911,5.0,0.008148,UNAVAILABLE,74,66,769.0,0.6911,5.00,0.008148,0.000703,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,22,13,11,587.3,234.3,0.6911,6.0,0.009022,UNAVAILABLE,74,66,768.7,0.6911,6.00,0.009022,0.000815,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,23,13,11,587.2,234.3,0.6907,7.0,0.010095,UNAVAILABLE,74,66,768.7,0.6907,7.00,0.010095,0.000942,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,24,13,11,587.1,234.2,0.6904,8.0,0.010960,UNAVAILABLE,74,66,768.4,0.6904,8.00,0.010960,0.001076,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,25,14,12,586.9,234.2,0.6903,9.0,0.011985,UNAVAILABLE,74,66,768.4,0.6903,9.00,0.011985,0.001242,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,26,14,12,586.8,234.1,0.6899,10.0,0.013014,UNAVAILABLE,74,66,768.0,0.6899,10.00,0.013014,0.001427,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
14,27,14,12,586.6,234.0,0.6896,11.0,0.013978,UNAVAILABLE,74,66,767.7,0.6896,11.00,0.013978,0.001615,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
15,7,15,13,587.4,234.4,0.6905,0.0,0.004063,UNAVAILABLE,74,66,769.0,0.6905,0.00,0.004063,0.000315,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
15,8,15,13,587.3,234.3,0.6904,2.0,0.005581,UNAVAILABLE,74,66,768.7,0.6904,2.00,0.005581,0.000426,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
15,9,15,13,587.2,234.3,0.6902,4.0,0.007391,UNAVAILABLE,74,66,768.4,0.6902,4.00,0.007391,0.000588,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
15,10,16,14,587.1,234.2,0.6901,6.0,0.009208,UNAVAILABLE,74,66,768.4,0.6901,6.00,0.009208,0.000796,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
15,11,16,14,587.0,234.2,0.6899,7.0,0.010104,UNAVAILABLE,74,66,768.4,0.6899,7.00,0.010104,0.000913,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
15,12,16,14,586.9,234.2,0.6898,8.0,0.011063,UNAVAILABLE,74,66,768.4,0.6898,8.00,0.011063,0.001044,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
15,13,16,14,586.8,234.1,0.6896,9.0,0.012035,UNAVAILABLE,74,66,768.0,0.6896,9.00,0.012035,0.001188,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
15,14,16,14,586.7,234.1,0.6894,10.0,0.013089,UNAVAILABLE,74,66,768.0,0.6894,10.00,0.013089,0.001358,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD
15,15,17,15,586.5,234.0,0.6893,11.0,0.013929,UNAVAILABLE,74,66,767.7,0.6893,11.00,0.013929,0.001523,EXACT,SAME_REPORTED_VALUE,EXACT,EXACT,UNAVAILABLE_LITERAL_UNIT_MISMATCH,UNAVAILABLE_TM_TABLE_HAS_NO_CP_FIELD

