category,item,nasa_definition,current_definition,classification,evidence,notes,collective_deg,pitch_025R_deg,pitch_050R_deg,pitch_075R_deg,pitch_090R_deg
DEFINITION,collective_reference_station,"Blade collective pitch angle at 0.75R (COLL)","Additive pitch command referenced to zero twist at rootCut=0.18R",CONFIRMED_MISMATCH,"NASA-TM-86854 PDF12 printed10 Table 2; model/rotor_model_bemt.m thetaBlade expression","NASA Figure 25 abscissa cannot be equated degree-for-degree to the current command without a radial-reference mapping.",NaN,NaN,NaN,NaN,NaN
DEFINITION,collective_measurement,"Collective actuator position; control-system geometric nonlinearity error estimated below +/-1 deg","rotorCtrl.collective in rad, used directly",PARTIAL_MATCH,"NASA-TM-86854 PDF9 printed7 Control and Loads Plots","Both are collective-like commands, but the measurement and station definitions differ.",NaN,NaN,NaN,NaN,NaN
DEFINITION,collective_zero_meaning,"Zero means 0 deg at 0.75R; the -47 deg nonlinear twist distribution remains present","Zero command leaves theta=twist, from 0 deg at 0.18R to -6 deg at the tip",CONFIRMED_MISMATCH,"NASA-TM-86854 PDF11 printed9 Table 1, PDF12 printed10 Table 2, PDF21 printed19 Fig.5; params_nominal.m","Neither zero means that every local blade section has zero pitch.",NaN,NaN,NaN,NaN,NaN
DEFINITION,blade_pitch_formula,"Local nonlinear ATB twist plus a 0.75R collective setting","thetaBlade=collective+twistTip*(r-r0)/(R-r0)+theta1s*sin(psi)",CONFIRMED_MISMATCH,"NASA-TM-86854 PDF21 printed19 Fig.5; model/rotor_model_bemt.m","The current hover comparison has theta1s=0.",NaN,NaN,NaN,NaN,NaN
DEFINITION,left_right_collective_sign,"Single isolated test rotor; no left/right mapping is used","total_forces_moments assigns left=collective-diffCollective and right=collective+diffCollective",NOT_USED_IN_CURRENT_COMPARISON,"model/total_forces_moments.m","The external hover calculation calls one left rotor with cyclicLong=0.",NaN,NaN,NaN,NaN,NaN
CURRENT_PITCH_DISTRIBUTION,current_collective_0_deg,"NOT_APPLICABLE","theta(0.25R)=-0.512195122 deg; theta(0.50R)=-2.34146341 deg; theta(0.75R)=-4.17073171 deg; theta(0.90R)=-5.26829268 deg",NOT_USED_IN_CURRENT_COMPARISON,"params_nominal.m; model/rotor_model_bemt.m","Static evaluation of the committed linear-twist formula.",0,-0.51219512195122,-2.34146341463415,-4.17073170731707,-5.26829268292683
CURRENT_PITCH_DISTRIBUTION,current_collective_4_deg,"NOT_APPLICABLE","theta(0.25R)=3.48780488 deg; theta(0.50R)=1.65853659 deg; theta(0.75R)=-0.170731707 deg; theta(0.90R)=-1.26829268 deg",NOT_USED_IN_CURRENT_COMPARISON,"params_nominal.m; model/rotor_model_bemt.m","Static evaluation of the committed linear-twist formula.",4,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683
CURRENT_PITCH_DISTRIBUTION,current_collective_8_deg,"NOT_APPLICABLE","theta(0.25R)=7.48780488 deg; theta(0.50R)=5.65853659 deg; theta(0.75R)=3.82926829 deg; theta(0.90R)=2.73170732 deg",NOT_USED_IN_CURRENT_COMPARISON,"params_nominal.m; model/rotor_model_bemt.m","Static evaluation of the committed linear-twist formula.",8,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317
CURRENT_PITCH_DISTRIBUTION,current_collective_10_deg,"NOT_APPLICABLE","theta(0.25R)=9.48780488 deg; theta(0.50R)=7.65853659 deg; theta(0.75R)=5.82926829 deg; theta(0.90R)=4.73170732 deg",NOT_USED_IN_CURRENT_COMPARISON,"params_nominal.m; model/rotor_model_bemt.m","Static evaluation of the committed linear-twist formula.",10,9.48780487804878,7.65853658536585,5.82926829268293,4.73170731707317
CURRENT_PITCH_DISTRIBUTION,current_collective_12_deg,"NOT_APPLICABLE","theta(0.25R)=11.4878049 deg; theta(0.50R)=9.65853659 deg; theta(0.75R)=7.82926829 deg; theta(0.90R)=6.73170732 deg",NOT_USED_IN_CURRENT_COMPARISON,"params_nominal.m; model/rotor_model_bemt.m","Static evaluation of the committed linear-twist formula.",12,11.4878048780488,9.65853658536585,7.82926829268293,6.73170731707317
