序号,原始文件,LaTeX文件,正文位置,来源类型
1,figures/图18_结论适用边界.png,figure_01.png,正文首次讨论位置,既有计算或方法图
2,figures/图01_科学主线与模型层级.png,figure_02.png,正文首次讨论位置,既有计算或方法图
3,figures/图15_参数来源分类.png,figure_03.png,正文首次讨论位置,既有计算或方法图
4,figures/图05_代表点模型层级特征根.png,figure_04.png,正文首次讨论位置,既有计算或方法图
5,figures/图10_短舱角速度直接反作用力矩.png,figure_05.png,正文首次讨论位置,既有计算或方法图
6,figures/图02_模型层级共同子块比较.png,figure_06.png,正文首次讨论位置,既有计算或方法图
7,figures/图03_短舱状态导数范数.png,figure_07.png,正文首次讨论位置,既有计算或方法图
8,figures/外部数据筛选与防止循环论证.png,figure_08.png,正文首次讨论位置,既有计算或方法图
9,figures/旋翼悬停推力系数外部关联.png,figure_09.png,正文首次讨论位置,既有计算或方法图
10,figures/图06_三点短舱阶跃刚体角速度.png,figure_10.png,正文首次讨论位置,既有计算或方法图
11,figures/图04_差动短舱横侧向导数.png,figure_11.png,正文首次讨论位置,既有计算或方法图
12,figures/图07_差动短舱阶跃力矩.png,figure_12.png,正文首次讨论位置,既有计算或方法图
13,figures/图16_归档异步短舱事件载荷.png,figure_13.png,正文首次讨论位置,既有计算或方法图
14,figures/图08_动态配平偏离.png,figure_14.png,正文首次讨论位置,既有计算或方法图
15,figures/图09_新增计算时间步收敛.png,figure_15.png,正文首次讨论位置,既有计算或方法图
16,figures/图11_四类参数方案配平状态.png,figure_16.png,正文首次讨论位置,既有计算或方法图
17,figures/图12_联合优化方案配平可行区域.png,figure_17.png,正文首次讨论位置,既有计算或方法图
18,figures/图13_联合优化方案控制需求.png,figure_18.png,正文首次讨论位置,既有计算或方法图
19,figures/图14_联合优化方案控制余度.png,figure_19.png,正文首次讨论位置,既有计算或方法图
20,figures/03_75度俯仰力矩分解.png,figure_20.png,正文首次讨论位置,既有计算或方法图
21,figures/16_加密转换走廊.png,figure_21.png,正文首次讨论位置,既有计算或方法图
22,figures/18_优化前后俯仰力矩分解.png,figure_22.png,正文首次讨论位置,既有计算或方法图
23,figures/05_归一化参数敏感性.png,figure_23.png,正文首次讨论位置,既有计算或方法图
24,figures/07_参数SVD.png,figure_24.png,正文首次讨论位置,既有计算或方法图
