序号,BibTeX键,使用目的,引用章节,核查状态
1,sheng2022,倾转旋翼历史与XV-15构型,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
2,berger2019,倾转旋翼历史与XV-15构型,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
3,dreier2007,倾转旋翼历史与XV-15构型,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
4,maisel2000,倾转旋翼历史与XV-15构型,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
5,nasa62407,倾转旋翼历史与XV-15构型,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
6,dugan1980,倾转旋翼历史与XV-15构型,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
7,felker1987,倾转旋翼历史与XV-15构型,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
8,tischler1984,倾转旋翼历史与XV-15构型,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
9,nasa100025,公开型号资料与试验,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
10,nasa81177,公开型号资料与试验,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
11,nasa166537,公开型号资料与试验,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
12,johnson2017,公开型号资料与试验,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
13,johnson1980,公开型号资料与试验,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
14,leishman2006,公开型号资料与试验,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
15,bramwell2001,公开型号资料与试验,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
16,padfield2018,公开型号资料与试验,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
17,pitt1981,旋翼理论与诱导流,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
18,peters1995,旋翼理论与诱导流,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
19,glauert1935,旋翼理论与诱导流,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
20,mccormick1995,旋翼理论与诱导流,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
21,etkin1996,旋翼理论与诱导流,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
22,stevens2015,旋翼理论与诱导流,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
23,cook2012,旋翼理论与诱导流,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
24,nelson1998,旋翼理论与诱导流,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
25,anderson1999,飞行动力学、配平与辨识,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
26,drela2014,飞行动力学、配平与辨识,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
27,tischler2012,飞行动力学、配平与辨识,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
28,jategaonkar2015,飞行动力学、配平与辨识,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
29,klein2006,飞行动力学、配平与辨识,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
30,golub2013,飞行动力学、配平与辨识,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
31,kelley1999,飞行动力学、配平与辨识,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
32,press2007,飞行动力学、配平与辨识,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
33,roache1998,数值分析与可信度方法,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
34,oberkampf2010,数值分析与可信度方法,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
35,nasastd7009,数值分析与可信度方法,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
36,asmevv20,数值分析与可信度方法,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
37,jcgm100,数值分析与可信度方法,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
38,saltelli2008,数值分析与可信度方法,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
39,coleman2009,数值分析与可信度方法,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
40,aiaag077,数值分析与可信度方法,第一、三、四、六或七章,已核对书目信息；NASA报告号按原件
