parameterId,parameterSet,parameterName,codePath,currentValue,unitSI,sourceClass,claimClass,roleClass,originalSource,sourceLocation,originalValueUnit,conversion,xv15PublicValue,xv15DifferencePercent,optimizable,lowerBound,upperBound,sensitivityIncluded,finalModel,manualReview,note
PAR-0001,PARAMS_NOMINAL_GENERIC_BASELINE,env.rho,"params_nominal.env.rho",1.225,kg/m^3,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1.225 kg/m^3,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0002,PARAMS_NOMINAL_GENERIC_BASELINE,env.g,"params_nominal.env.g",9.80665,m/s^2,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",9.80665 m/s^2,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0003,PARAMS_NOMINAL_GENERIC_BASELINE,mass.m,"params_nominal.mass.m",6000,kg,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,MASS,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",6000 kg,none (current code value),"=5896.70081",1.75181331609734,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0004,PARAMS_NOMINAL_GENERIC_BASELINE,mass.mNac,"params_nominal.mass.mNac",900,kg,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,MASS,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",900 kg,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0005,PARAMS_NOMINAL_GENERIC_BASELINE,mass.RH_mass,"params_nominal.mass.RH_mass",0.75,kg,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,MASS,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.75 kg,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0006,PARAMS_NOMINAL_GENERIC_BASELINE,mass.RH,"params_nominal.mass.RH",0.75,kg,DERIVED,GENERIC_ASSUMED,MASS,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.75 kg,none (current code value),"",NaN,0,,,0,1,1,"Derived from declared generic assumptions in params_nominal.m."
PAR-0007,PARAMS_NOMINAL_GENERIC_BASELINE,mass.I0,"params_nominal.mass.I0",[18000 0 -800;0 30000 0;-800 0 45000],kg m^2,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,MASS,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",[18000 0 -800;0 30000 0;-800 0 45000] kg m^2,none (current code value),"(1,1)=57486.6810093; (2,2)=19388.1966611; (3,3)=67112.9884424",51.3810765607932,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0008,PARAMS_NOMINAL_GENERIC_BASELINE,mass.KI,"params_nominal.mass.KI",[300 0 0;0 500 0;0 0 400],kg m^2,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,MASS,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",[300 0 0;0 500 0;0 0 400] kg m^2,none (current code value),"(1,1)=1639.96697591; (2,2)=949.454565002; (3,3)=-690.512410911",88.5106176696215,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0009,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.R,"params_nominal.rotor.R",3.8,m,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",3.8 m,none (current code value),"=3.81",0.262467191601056,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0010,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.Nb,"params_nominal.rotor.Nb",3,1,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",3 1,none (current code value),"=3",0,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
