fact_id,category,condition,quantity,value,unit,source,status
F001,trim,B15_V020,dynamicResidualNorm,4.53853288117929e-10,1,TRIM_POINT_EVIDENCE.csv,FROZEN
F002,trim,B45_V035,dynamicResidualNorm,1.36071406314251e-09,1,TRIM_POINT_EVIDENCE.csv,FROZEN
F003,trim,B75_V080,dynamicResidualNorm,3.82867010258166e-09,1,TRIM_POINT_EVIDENCE.csv,FROZEN
F004,trim,B75_V040,dynamicResidualNorm,3.40378749031027,1,TRIM_POINT_EVIDENCE.csv,FROZEN_FAILED
F005,trim,B75_V040,elevator,-20.0000000142666,deg,TRIM_POINT_EVIDENCE.csv,FROZEN_BOUND
F006,trim,B75_V060,elevator,-15.8305318515912,deg,TRIM_POINT_EVIDENCE.csv,FROZEN
F007,trim,B75_V060,minimumMarginFraction,0.104236703710219,1,TRIM_POINT_EVIDENCE.csv,FROZEN
F008,trim,nine_point_grid,credibleCount,8,count,TRIM_POINT_EVIDENCE.csv,FROZEN
F009,trim,nine_point_grid,failedCount,1,count,TRIM_POINT_EVIDENCE.csv,FROZEN
F010,A_block,B15_V020,A9_minus_A13_Frobenius,0.0174091114652746,1/s,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F011,A_block,B45_V035,A9_minus_A13_Frobenius,0.00791224214934307,1/s,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F012,A_block,B75_V080,A9_minus_A13_Frobenius,0.200597768413529,1/s,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F013,B_block,B15_V020,B9_minus_B13_Frobenius,1.11722834025166e-14,mixed,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F014,B_block,B45_V035,B9_minus_B13_Frobenius,6.07506824066723e-12,mixed,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F015,B_block,B75_V080,B9_minus_B13_Frobenius,6.50495918607563e-12,mixed,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F016,symdiff,B15_V020,crossBlockNorm,3.02031815120635e-11,mixed,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F017,symdiff,B45_V035,crossBlockNorm,7.89922041154545e-12,mixed,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F018,symdiff,B75_V080,crossBlockNorm,8.94566853952113e-12,mixed,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F019,time_step,all_six_cases,maximumAdjacentPeakChange,0.0152475219559386,1,MODEL_HIERARCHY_RESPONSE_METRICS.csv,FROZEN
F020,external_rotor,current_formal,MAE_CT_over_sigma,0.0633426836259624,1,ROTOR_HOVER_EXTERNAL_COMPARISON_METRICS.csv,FROZEN_FIRST_DIGITIZATION
F021,external_rotor,nuaa_reference,MAE_CT_over_sigma,0.0642882292598174,1,ROTOR_HOVER_EXTERNAL_COMPARISON_METRICS.csv,FROZEN_FIRST_DIGITIZATION
F022,external_rotor,current_formal,RMSE_CT_over_sigma,0.0634480862710512,1,ROTOR_HOVER_EXTERNAL_COMPARISON_METRICS.csv,FROZEN_FIRST_DIGITIZATION
F023,external_rotor,nuaa_reference,RMSE_CT_over_sigma,0.0643282013810395,1,ROTOR_HOVER_EXTERNAL_COMPARISON_METRICS.csv,FROZEN_FIRST_DIGITIZATION
F024,external_rotor,current_formal,validCount,7,count,ROTOR_HOVER_EXTERNAL_COMPARISON_METRICS.csv,FROZEN
F025,external_rotor,nuaa_reference,validCount,7,count,ROTOR_HOVER_EXTERNAL_COMPARISON_METRICS.csv,FROZEN
F026,external_rotor,current_formal,failureCount,3,count,ROTOR_HOVER_EXTERNAL_COMPARISON_METRICS.csv,FROZEN
F027,external_rotor,nuaa_reference,failureCount,5,count,ROTOR_HOVER_EXTERNAL_COMPARISON_METRICS.csv,FROZEN
F028,model,all,defaultRotorPolarInertia,0,kg_m2,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN_ASSUMED
F029,inertia,B15_V020,minimumEigenvalue,17897.7543077407,kg_m2,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
F030,inertia,B75_V080,minimumEigenvalue,17583.5028140496,kg_m2,MODEL_HIERARCHY_POINT_SUMMARY.csv,FROZEN
