collective_deg,first_CT_over_sigma,second_CT_over_sigma,second_minus_first,absolute_difference,within_declared_uncertainty
0,0.028000,0.027100,-0.000900,0.000900,1
2,0.040000,0.039300,-0.000700,0.000700,1
4,0.053000,0.053900,0.000900,0.000900,1
6,0.069000,0.068300,-0.000700,0.000700,1
8,0.084000,0.084100,0.000100,0.000100,1
10,0.100000,0.099100,-0.000900,0.000900,1
12,0.119000,0.119500,0.000500,0.000500,1
14,0.141000,0.140400,-0.000600,0.000600,1
16,0.162000,0.160800,-0.001200,0.001200,1
18,0.181000,0.180000,-0.001000,0.001000,1
20,0.197000,0.196400,-0.000600,0.000600,1
22,0.208000,0.208500,0.000500,0.000500,1
