collective_deg,CT_over_sigma,collective_uncertainty_deg,CT_over_sigma_uncertainty,adoption_rule,source
0,0.027550,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
2,0.039650,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
4,0.053450,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
6,0.068650,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
8,0.084050,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
10,0.099550,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
12,0.119250,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
14,0.140700,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
16,0.161400,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
18,0.180500,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
20,0.196700,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
22,0.208250,1,0.003,MEAN_OF_TWO_INDEPENDENT_DIGITIZATIONS,NASA-TM-86854 PDF54 printed52 Fig.25
