collective_deg,CT_over_sigma,collective_uncertainty_deg,CT_over_sigma_uncertainty,source
0,0.028,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
2,0.040,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
4,0.053,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
6,0.069,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
8,0.084,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
10,0.100,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
12,0.119,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
14,0.141,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
16,0.162,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
18,0.181,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
20,0.197,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
22,0.208,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 first digitization
