collective_deg,CT_over_sigma,collective_uncertainty_deg,CT_over_sigma_uncertainty,source
0,0.0271,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
2,0.0393,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
4,0.0539,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
6,0.0683,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
8,0.0841,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
10,0.0991,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
12,0.1195,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
14,0.1404,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
16,0.1608,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
18,0.1800,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
20,0.1964,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
22,0.2085,1,0.003,NASA-TM-86854 PDF54 printed52 Fig.25 independent pixel-calibrated review
