pointId,inputIndex,inputState,component,forceDerivativeDifferenceNorm,momentDerivativeDifferenceNorm,rollAccelerationDerivativeDifference,pitchAccelerationDerivativeDifference,yawAccelerationDerivativeDifference,angularAccelerationDerivativeDifferenceNorm,differenceStep,stencil
B15_V020,1,u,rotorLeft,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,1,u,rotorRight,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,1,u,wing,1.13686837721616e-12,5.72857867687912e-13,-5.65642054038598e-19,2.37885550109784e-18,-1.26714144370707e-17,1.29051791256225e-17,0.05,CENTRAL_DIFFERENCE
B15_V020,1,u,fuselage,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,1,u,horizontalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,1,u,verticalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,2,v,rotorLeft,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,2,v,rotorRight,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,2,v,wing,1.13686837721616e-12,5.72857867687912e-13,-5.65642054038598e-19,-2.37885550109784e-18,-1.26714144370707e-17,1.29051791256225e-17,0.05,CENTRAL_DIFFERENCE
B15_V020,2,v,fuselage,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,2,v,horizontalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,2,v,verticalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,3,w,rotorLeft,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,3,w,rotorRight,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,3,w,wing,1.13686837721616e-12,5.6843418860808e-13,5.65642054038598e-19,0,1.26714144370707e-17,1.26840330640258e-17,0.05,CENTRAL_DIFFERENCE
B15_V020,3,w,fuselage,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,3,w,horizontalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,3,w,verticalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B15_V020,4,p,rotorLeft,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,4,p,rotorRight,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,4,p,wing,1.89701094109334e-09,81.2412848990498,-0.00450457847491312,1.18942775054892e-16,0.000105322333866518,0.00450580958659614,0.001,CENTRAL_DIFFERENCE
B15_V020,4,p,fuselage,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,4,p,horizontalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,4,p,verticalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,5,q,rotorLeft,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,5,q,rotorRight,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,5,q,wing,1.13686837721616e-10,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,5,q,fuselage,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,5,q,horizontalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,5,q,verticalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,6,r,rotorLeft,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,6,r,rotorRight,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,6,r,wing,7.34361904619618e-10,303.196604294357,0.0168113158106902,-1.18942775054892e-16,-0.000393068305681508,0.016815910382126,0.001,CENTRAL_DIFFERENCE
B15_V020,6,r,fuselage,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,6,r,horizontalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,6,r,verticalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B15_V020,7,phi,rotorLeft,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,7,phi,rotorRight,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,7,phi,wing,2.27373675443232e-09,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,7,phi,fuselage,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,7,phi,horizontalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,7,phi,verticalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,8,theta,rotorLeft,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
