文件,中文标题,数据来源
图01_科学主线与模型层级.png,科学主线与模型层级,本研究结构化整理
图02_模型层级共同子块比较.png,准静态与动态短舱层共同子块比较,新增三点分层计算
图03_短舱状态导数范数.png,短舱状态导数范数,新增三点数值线性化
图04_差动短舱横侧向导数.png,差动短舱横侧向导数,新增三点数值线性化
图05_代表点模型层级特征根.png,代表点模型层级特征根,新增三点数值线性化
图06_三点短舱阶跃刚体角速度.png,三点短舱阶跃刚体角速度,新增三点非线性响应
图07_差动短舱阶跃力矩.png,差动短舱阶跃力矩,新增三点非线性响应
图08_动态配平偏离.png,短舱运动引起的动态配平偏离,新增三点非线性响应
图09_新增计算时间步收敛.png,新增计算时间步收敛,新增自适应时间步检查
图10_短舱角速度直接反作用力矩.png,短舱角速度直接反作用力矩,新增直接通道分解
图11_四类参数方案配平状态.png,四类参数方案配平状态,冻结的参数优化归档
图12_联合优化方案配平可行区域.png,联合优化方案配平可行区域,冻结的加密配平归档
图13_联合优化方案控制需求.png,联合优化方案控制需求,冻结的九点配平归档
图14_联合优化方案控制余度.png,联合优化方案控制余度,冻结的控制余度归档
图15_参数来源分类.png,参数来源分类,参数来源主表
图16_归档异步短舱事件载荷.png,归档异步短舱事件载荷,经修正的13状态研究归档
图17_归档时间步收敛.png,归档时间步收敛,经修正的13状态研究归档
图18_结论适用边界.png,结论适用边界,模型能力与限制审计
