variant,pointId,betaMDeg,speedMps,mode,status,thetaDeg,collectiveDeg,cyclicLongDeg,elevatorDeg,dynamicResidualNorm,conditionNumber,minimumMarginFraction,atLimit,finiteReal,elapsedSeconds,failureReason,setClass
GENERIC_TRIM_OPTIMIZED_C2,B15_V010,15,10,helicopter_longitudinal,CREDIBLE,14.5231839295445,15.9272275588324,-2.89562122009832,0.0,6.70816203075082e-10,78.0082540502266,0.227531822269034,0,1,16.7915489,,FORMAL_MULTISEED_ANCHOR
GENERIC_TRIM_OPTIMIZED_C2,B15_V020,15,20,helicopter_longitudinal,CREDIBLE,12.720031974663,14.5222579331863,-5.74926137869942,0.0,4.53853288117929e-10,59.9619960861285,0.207460827616948,0,1,14.865039,,FORMAL_MULTISEED_ANCHOR
GENERIC_TRIM_OPTIMIZED_C2,B15_V030,15,30,helicopter_longitudinal,CREDIBLE,10.9457653818322,13.2054915332114,-7.20640804580642,0.0,1.0506084026889802e-09,59.1505899672955,0.188649879045877,0,1,20.2430141,,FORMAL_MULTISEED_ANCHOR
GENERIC_TRIM_OPTIMIZED_C2,B45_V025,45,25,conversion_longitudinal,CREDIBLE,32.7799323609103,14.0083772087256,-18.642502693069,-10.6528586817537,1.01083378367279e-09,74.3970242298648,0.0317152519869959,0,1,18.100494,,FORMAL_MULTISEED_ANCHOR
GENERIC_TRIM_OPTIMIZED_C2,B45_V035,45,35,conversion_longitudinal,CREDIBLE,26.6718766414106,13.7610439236605,-21.4997739978424,-12.2855851416242,1.36071406314251e-09,74.090113319561,0.118973190836992,0,1,21.7454515,,FORMAL_MULTISEED_ANCHOR
GENERIC_TRIM_OPTIMIZED_C2,B45_V045,45,45,conversion_longitudinal,CREDIBLE,21.2959697734218,14.3143742219223,-19.4450618446676,-11.1114639112386,6.44218637261203e-10,84.4015046042177,0.195771860379689,0,1,23.9877342,,FORMAL_MULTISEED_ANCHOR
GENERIC_TRIM_OPTIMIZED_C2,B75_V040,75,40,airplane_longitudinal,FAILED,28.4652630549459,17.9252909339166,0.0,-20.0000000142666,3.40378749031027,150.09569717996,-3.56665255104909e-10,1,1,26.0908964,solver or full dynamic-equilibrium residual failed,FORMAL_MULTISEED_ANCHOR
GENERIC_TRIM_OPTIMIZED_C2,B75_V060,75,60,airplane_longitudinal,CREDIBLE,20.9078275782761,22.194758890556,0.0,-15.8305318515912,8.77357061223055e-10,100.415342761305,0.104236703710219,0,1,27.8676684,,FORMAL_MULTISEED_ANCHOR
GENERIC_TRIM_OPTIMIZED_C2,B75_V080,75,80,airplane_longitudinal,CREDIBLE,7.85124564843277,29.5104132907331,0.0,-0.495072895373845,3.82867010258166e-09,23.831424643802,0.387839347879532,0,1,25.2592547,,FORMAL_MULTISEED_ANCHOR
MODEL_C2_DENSE_POST_FREEZE,B00_V000,0,0,helicopter_longitudinal,CREDIBLE,-0.21958241105115,16.7695826651934,-0.42618493572272,0.0,1.88624129640609e-10,85.3187700542182,0.23956546664562,0,1,7.6227873,,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B00_V010,0,10,helicopter_longitudinal,CREDIBLE,1.86263545009528,16.178446779444,-0.371708151272472,0.0,1.15298003848757e-09,76.661780224155,0.231120668277771,0,1,5.0850836,,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B30_V015,30,15,conversion_longitudinal,CREDIBLE,25.8508997166369,15.0560464240507,-8.32755042371553,-1.58620008070772,1.80408437444133e-09,82.4219924084486,0.130701432619473,0,1,3.522048,,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B30_V025,30,25,conversion_longitudinal,CREDIBLE,21.1752585001316,13.8327096119601,-14.4975689070751,-2.76144169658573,8.223009433125911e-10,62.6533219179453,0.197496307140977,0,1,6.7054163,,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B30_V035,30,35,conversion_longitudinal,CREDIBLE,17.0338937048224,13.3461123233093,-16.9704498181985,-3.23246663203781,1.15586324394278e-09,66.4466877187792,0.190658747475847,0,1,8.3707129,,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B30_V045,30,45,conversion_longitudinal,CREDIBLE,13.9047786691419,13.3989884403466,-15.8831859528759,-3.02536875292875,1.19645362717886e-08,73.1159245078204,0.191414120576381,0,1,9.7010986,,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B60_V030,60,30,conversion_longitudinal,FAILED,35.0478097150687,15.1397555669217,-11.6663237085625,-19.9994120718214,1.84777921886734,92.0329646561508,-0.0006829959295527,1,1,27.2362586,solver or full dynamic-equilibrium residual failed,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B60_V045,60,45,conversion_longitudinal,FAILED,27.3051547703257,16.2995116086727,-11.6666666666667,-20.0,1.09354836753915,119.829181897378,0.0,1,1,23.75952,solver or full dynamic-equilibrium residual failed,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B60_V060,60,60,conversion_longitudinal,CREDIBLE,17.6482976471439,19.8027080987238,-6.62146925554399,-11.3510901523611,7.60856683501924e-10,97.7798868231301,0.216222746190972,0,1,12.4819339,,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B60_V075,60,75,conversion_longitudinal,CREDIBLE,8.82226235866747,25.4661025168178,-0.822588029305041,-1.41015090738007,4.4594853209961415e-09,38.6093886509832,0.363801464525968,0,1,11.6535711,,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B90_V050,90,50,airplane_longitudinal,FAILED,25.4589041820737,21.4895013191823,0.0,-20.0000000122418,2.44923946774399,160.760866240297,-3.06045693669145e-10,1,1,12.6754538,solver or full dynamic-equilibrium residual failed,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B90_V070,90,70,airplane_longitudinal,CREDIBLE,12.5598660364864,27.6762246398701,0.0,-6.18794945024802,1.5004349953210102e-09,42.6697709320601,0.320573342335909,0,1,12.2087218,,POST_FREEZE_DENSE_EXTRA
MODEL_C2_DENSE_POST_FREEZE,B90_V090,90,90,airplane_longitudinal,CREDIBLE,5.93795276471246,33.5863504724841,0.0,1.67154275730823,3.64638128160222e-09,18.595025133858,0.415172103361251,0,1,12.4413316,,POST_FREEZE_DENSE_EXTRA
