pointId,controlName,stateName,dtSeconds,peakAbsoluteError,rmsError,nonlinearPeak,linearPeak,peakTimeDifferenceSeconds,directionAgreement,status
B15_V020,elevator,u,0.01,8.95000313860805e-06,3.75542852683655e-06,0.0019063418951859,0.00191529189832451,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,elevator,v,0.01,1.01787752332621e-16,5.54090182860583e-17,8.97473716894046e-17,-1.20403806432162e-17,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,elevator,w,0.01,2.2978576688093e-05,1.04927888432689e-05,-0.00790209319275359,-0.00792507176944168,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,elevator,p,0.01,3.15755301373848e-16,1.11957921067531e-16,-7.43662302244033e-17,-3.90121531598252e-16,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,elevator,q,0.01,3.87692506303907e-06,2.2194433793185e-06,-0.00138587546306204,-0.00138975238812508,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,elevator,r,0.01,7.68813796982976e-17,2.36953266979851e-17,-2.13968106614569e-17,-9.67432322560498e-17,-0.04,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,elevator,phi,0.01,4.48866655344658e-17,1.57226508294886e-17,-9.23831455977815e-18,-5.41249800942439e-17,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,elevator,theta,0.01,1.07500000104399e-06,4.60753126535033e-07,-0.000362537893991266,-0.00036361289399231,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,elevator,psi,0.01,6.0284610157978e-18,1.52627098963083e-18,-5.51786605082813e-18,-1.15463270666259e-17,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,aileron,u,0.01,2.35299467021832e-07,1.27853805758374e-07,-2.35299467021832e-07,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,aileron,v,0.01,1.68998034641953e-10,6.59408682028275e-11,0.000560821100937697,0.000560820931939663,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,aileron,w,0.01,9.05247631521888e-07,5.08786566397974e-07,9.05247631521888e-07,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,aileron,p,0.01,1.68660059063439e-10,1.10406572325011e-10,0.000349207175605423,0.000349207006945364,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,aileron,q,0.01,2.52788305076635e-09,8.45435502087443e-10,-2.52788305492177e-09,-4.15542707033002e-18,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,aileron,r,0.01,3.46368785043139e-11,2.00049936827687e-11,-1.2123717639325e-05,-1.21237522762035e-05,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,aileron,phi,0.01,5.7345630143351e-11,2.58962815335123e-11,0.000105099944181202,0.000105099886835572,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,aileron,theta,0.01,1.40885220156761e-10,8.79207623644098e-11,1.40885220156761e-10,0,0.43,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,aileron,psi,0.01,9.8961002324838e-12,4.27966530049634e-12,-1.39070594424046e-06,-1.3907158403407e-06,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,rudder,u,0.01,1.0662451543908e-07,4.47443403437725e-08,-1.0662451543908e-07,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,rudder,v,0.01,2.21165577171667e-11,8.10267323047265e-12,0.00151030387551385,0.0015103038533973,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,rudder,w,0.01,3.85397038726865e-08,1.66082570518581e-08,-3.85397038726865e-08,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,rudder,p,0.01,3.89938700030967e-12,1.53148962151019e-12,4.54299858932904e-06,4.54299961616559e-06,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,rudder,q,0.01,6.57282288456057e-09,3.29991250166366e-09,-6.57282288460583e-09,-4.52560849563116e-20,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,rudder,r,0.01,2.805855591273e-12,1.01150698213317e-12,-0.000224744865573641,-0.000224744862767785,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,rudder,phi,0.01,6.0638979087872e-13,2.07465914159009e-13,-8.26629247300724e-06,-8.26629186661745e-06,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,rudder,theta,0.01,1.74658662532856e-09,6.8453134539437e-10,-1.74658662532856e-09,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,rudder,psi,0.01,3.53324804852097e-13,1.13313989183816e-13,-5.79318962789452e-05,-5.79318959256204e-05,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCollective,u,0.01,0.000763826412288893,0.0002969311555512,0.000763826412292445,3.5527136788005e-15,0.36,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCollective,v,0.01,0.000307858033255781,9.36624950982197e-05,-0.271652425943219,-0.271960283976475,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCollective,w,0.01,0.00958801705904788,0.0030547638936448,-0.00958801705913714,-8.92619311798626e-14,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCollective,p,0.01,5.98193845771089e-05,3.34305246879931e-05,-0.221273318992222,-0.221333138376799,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCollective,q,0.01,0.000315928460800585,0.000123737954917981,0.000315928460802749,2.16470135457322e-15,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCollective,r,0.01,3.90301323798664e-06,1.34456848273578e-06,-0.0127264165627454,-0.0127303195759834,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCollective,phi,0.01,1.68688953616769e-05,7.29103632700973e-06,-0.0674240325981535,-0.0674409014935152,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCollective,theta,0.01,9.41194743885321e-05,3.35766032829216e-05,-9.4119474388199e-05,3.33066907387547e-16,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCollective,psi,0.01,1.43966701821215e-06,4.40923893530539e-07,-0.00437060336101322,-0.00437204302803143,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCyclic,u,0.01,0.000177023907870222,6.13859910611951e-05,-0.00017702390788088,-1.06581410364015e-14,0.14,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCyclic,v,0.01,3.53694627301671e-06,1.42477640330993e-06,0.0809998276871084,0.0810033646333815,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCyclic,w,0.01,2.29039595343039e-05,1.10179596083382e-05,-2.29039594863423e-05,4.79616346638068e-14,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCyclic,p,0.01,4.85745011716537e-07,2.63477780215321e-07,0.00389201541438068,0.00389152966936896,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCyclic,q,0.01,7.38499047707491e-06,2.48771032827228e-06,-7.38499047738515e-06,-3.10235453018327e-16,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCyclic,r,0.01,8.05999192134838e-07,4.19999338611104e-07,-0.0152654984698695,-0.0152663044690616,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCyclic,phi,0.01,1.57750198356865e-07,6.59126845752897e-08,0.00056163903433655,0.000561481284138193,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCyclic,theta,0.01,6.85595537397443e-07,3.31896040876709e-07,6.85595537341932e-07,-5.55111512312578e-17,0.04,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,diffCyclic,psi,0.01,1.99952442040373e-07,8.26558993020016e-08,-0.00391152236480137,-0.00391172231724341,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,cyclicLong,u,0.01,4.92883253109255e-05,2.43245381718368e-05,0.0267148740623995,0.0267641623877104,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,cyclicLong,v,0.01,6.21879824070355e-14,2.54758989166655e-14,1.45000145812232e-16,6.23329825528477e-14,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,cyclicLong,w,0.01,4.45371840300801e-05,2.39708914185215e-05,-0.0110528478616563,-0.0110973850456864,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,cyclicLong,p,0.01,6.30809061842805e-14,3.86262367540657e-14,6.4366439575705e-17,6.31034562186394e-14,-0.43,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,cyclicLong,q,0.01,4.66309119330358e-06,2.46770126505901e-06,-0.00321097152956391,-0.00321563462075721,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,cyclicLong,r,0.01,7.47660471262084e-15,4.53097098747283e-15,-1.04989011322037e-17,7.4663027138877e-15,-0.03,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,cyclicLong,phi,0.01,1.95302775130264e-14,8.61845901604761e-15,1.64071482870578e-17,1.95466846613135e-14,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,cyclicLong,theta,0.01,1.17319679848737e-06,4.90903129424661e-07,-0.000835090079538109,-0.000836263276336596,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B15_V020,cyclicLong,psi,0.01,2.27270785268893e-15,9.99063729271522e-16,-2.59003265704314e-18,2.27011782003188e-15,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,elevator,u,0.01,5.90605577244219e-05,2.45676048475503e-05,0.0145273397679091,0.0145864003256335,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,elevator,v,0.01,9.22662947843292e-16,2.7988009020268e-16,6.62737114153124e-17,9.88936659258604e-16,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,elevator,w,0.01,7.43088818584425e-05,3.53951174836271e-05,-0.0345626934655812,-0.0346370023474396,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,elevator,p,0.01,8.04198802798283e-16,2.93870070207317e-16,-7.21013006599465e-17,7.78374101525446e-16,-0.16,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,elevator,q,0.01,7.91450913929055e-06,4.94735909301759e-06,-0.00379022779024558,-0.00379814229938487,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,elevator,r,0.01,1.50780794443497e-16,6.6554229308411e-17,-4.69708934544665e-17,1.0380990098903e-16,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,elevator,phi,0.01,1.23370219656661e-16,4.20823156713103e-17,-3.01174349980034e-17,9.3252784658658e-17,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,elevator,theta,0.01,2.44734359156062e-06,1.07982763076624e-06,-0.00102525690476418,-0.00102770424835574,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,elevator,psi,0.01,3.14604567735088e-17,1.21184449956229e-17,-1.57219870685978e-17,1.57384697049109e-17,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,aileron,u,0.01,4.65560042073321e-07,2.59815925921522e-07,-4.65560042073321e-07,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,aileron,v,0.01,3.60789383893785e-09,1.51768428330919e-09,0.00133716216303537,0.00133715855514153,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,aileron,w,0.01,1.95798313029627e-06,1.07887506568398e-06,1.95798313029627e-06,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,aileron,p,0.01,1.0302686098999e-09,6.29376718896882e-10,0.000369619433551492,0.000369618403282882,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,aileron,q,0.01,1.29809027507704e-08,9.30702435485594e-09,1.29809027403059e-08,-1.67550827895542e-17,-0.08,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,aileron,r,0.01,8.85338627852405e-11,6.3704908263214e-11,1.5970347754542e-05,1.59702657442621e-05,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,aileron,phi,0.01,3.24920574305701e-10,1.43621318793664e-10,0.000109607855150638,0.000109607530230064,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,aileron,theta,0.01,4.4634334006588e-09,2.09881770218034e-09,4.4634334006588e-09,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,aileron,psi,0.01,3.54096141785224e-11,1.64505724036871e-11,6.76429912706937e-06,6.76426371745519e-06,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,rudder,u,0.01,6.35475380761363e-07,2.27454429273564e-07,-6.35475380761363e-07,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,rudder,v,0.01,3.24853356020727e-11,8.705496437046e-12,0.00690713340441515,0.00690713343690048,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,rudder,w,0.01,7.20209795801452e-07,2.74409096386027e-07,-7.20209795801452e-07,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,rudder,p,0.01,7.70311502844116e-12,2.75631817068e-12,0.00017362384748998,0.000173623855193095,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,rudder,q,0.01,7.8783347625038e-08,3.56076081696568e-08,-7.87833476221291e-08,2.90882308195475e-18,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,rudder,r,0.01,1.80315528133801e-12,1.02826255176306e-12,-0.000630853106048313,-0.000630853107851468,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,rudder,phi,0.01,8.54958953026147e-13,2.63077903835382e-13,-2.9141816374811e-05,-2.914181722977e-05,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,rudder,theta,0.01,1.84455401508465e-08,6.97777651432869e-09,-1.84455401508465e-08,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,rudder,psi,0.01,1.41192333974645e-12,4.81575973997499e-13,-0.000178467209707983,-0.000178467211119906,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCollective,u,0.01,0.000106075194153732,6.86934587585561e-05,-0.000106075194132416,2.1316282072803e-14,0.03,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCollective,v,0.01,0.00020939572634765,6.55557515248141e-05,-0.455661916204727,-0.455871311931075,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCollective,w,0.01,0.00671435510864882,0.00201510430534937,-0.00671435510860263,4.61852778244065e-14,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCollective,p,0.01,2.4386437797369e-05,1.6873001283307e-05,-0.232719411455277,-0.232743797893074,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCollective,q,0.01,0.00215892463241129,0.000836863711295122,0.00215892463242268,1.13889313875726e-14,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCollective,r,0.01,1.65661612888113e-05,6.21055941015951e-06,-0.0573451309328599,-0.0573616970941487,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCollective,phi,0.01,1.21918482928057e-05,5.24370517122621e-06,-0.0753066421006713,-0.0753188339489641,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCollective,theta,0.01,0.000327324777218196,0.000111110321358584,-0.000327324777216698,1.49880108324396e-15,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCollective,psi,0.01,3.94914501264387e-06,1.4350958443483e-06,-0.0183805109257796,-0.0183844600707923,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCyclic,u,0.01,5.6555094907651e-05,1.92731365457134e-05,-5.65550949360727e-05,-2.8421709430404e-14,0.07,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCyclic,v,0.01,1.3761340442231e-05,5.30681312930428e-06,0.182483375974068,0.18249713731451,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCyclic,w,0.01,0.000922808974262779,0.000308995288684521,-0.000922808974239686,2.30926389122033e-14,0.05,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCyclic,p,0.01,1.20680083090866e-06,6.85941217295969e-07,0.0272198491331203,0.0272210559339512,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCyclic,q,0.01,4.42404652596256e-05,1.66341674819018e-05,-4.42404652603348e-05,-7.09242781283049e-16,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCyclic,r,0.01,8.83805729517961e-07,4.2575576403301e-07,-0.00958952265162486,-0.00959040645735437,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCyclic,phi,0.01,2.64595770366888e-07,1.1691286022447e-07,0.00673945878518061,0.00673972338095098,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCyclic,theta,0.01,2.28585632910949e-06,6.8960746550523e-07,2.28585632905398e-06,5.55111512312578e-17,0.22,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,diffCyclic,psi,0.01,2.00478548893334e-07,8.19216708465491e-08,-0.0024904985075726,-0.00249069898612149,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,cyclicLong,u,0.01,2.0084694291711e-05,1.2991744891292e-05,0.0242213898428574,0.0242015919995922,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,cyclicLong,v,0.01,2.85787382319884e-14,1.18800719566652e-14,-3.60423668261515e-16,2.82183145637268e-14,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,cyclicLong,w,0.01,4.33479302319739e-05,2.398750616954e-05,0.00446209122232055,0.00448166805694505,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,cyclicLong,p,0.01,1.73410811679091e-15,7.500157941747e-16,-1.37986270428624e-16,1.61258476181209e-15,-0.04,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,cyclicLong,q,0.01,1.74028383374478e-06,8.58188672307977e-07,-0.00312580510274983,-0.00312754538658357,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,cyclicLong,r,0.01,2.91471136847427e-15,1.6157669293717e-15,-3.19064282276427e-17,-2.94535465829711e-15,-0.08,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,cyclicLong,phi,0.01,3.06502209242943e-17,1.69375464472456e-17,-4.23629995067449e-17,-5.39397399728772e-17,0.12,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,cyclicLong,theta,0.01,4.01940344618712e-07,1.65074494757583e-07,-0.000828021975155413,-0.000828423915500032,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B45_V035,cyclicLong,psi,0.01,8.34775201439007e-16,3.53732697467901e-16,-7.94708069607748e-18,-8.42722282135085e-16,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,elevator,u,0.01,0.000690641159010852,0.000252227438376568,0.0432071509294758,0.0438977920884867,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,elevator,v,0.01,1.12961886346418e-14,3.7402693184031e-15,8.80838551962533e-16,1.21770271866043e-14,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,elevator,w,0.01,0.000184933364000273,0.000116435704999457,-0.329889763517203,-0.329734879505821,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,elevator,p,0.01,4.94058531440053e-15,1.89079651917401e-15,-2.12326496753889e-17,4.9477079997044e-15,-0.16,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,elevator,q,0.01,9.05365091684318e-06,6.27092006380348e-06,-0.0129091922503719,-0.0129049154622631,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,elevator,r,0.01,2.55568791619061e-16,1.09323381511787e-16,-2.88906649109208e-17,-2.76969084906113e-16,-0.14,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,elevator,phi,0.01,6.99123830111296e-16,2.31476594708335e-16,-5.35017465438473e-18,6.93895837469934e-16,-0.0599999999999999,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,elevator,theta,0.01,3.27142113801249e-06,1.75259950387164e-06,-0.00449939797407256,-0.00449612655293455,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,elevator,psi,0.01,4.17714139986249e-17,1.43474503702029e-17,-1.23465687042387e-17,-5.41179827028637e-17,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,u,0.01,4.57253007368763e-06,2.16842782497388e-06,-4.57253007368763e-06,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,v,0.01,5.55724646508771e-08,1.90395344520082e-08,0.0344339915692329,0.0344340471416976,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,w,0.01,3.01204446682135e-05,8.8574036152389e-06,-3.01204446842007e-05,-1.59872115546023e-14,0.08,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,p,0.01,2.72388604120183e-09,1.79884504354361e-09,0.00917432301172288,0.00917432413750022,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,q,0.01,1.7868616940348e-07,8.62775186108844e-08,-1.78686168962497e-07,4.65232230676168e-16,-0.02,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,r,0.01,1.41517775904994e-09,8.85474600143618e-10,-0.000210461616846805,-0.000210463032024564,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,phi,0.01,8.47210857891911e-10,4.14851653336604e-10,0.00262218939315291,0.00262219024036377,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,theta,0.01,3.74970439698252e-08,1.35460680566618e-08,3.7497044053092e-08,8.32667268468867e-17,0.05,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,aileron,psi,0.01,4.46606396558701e-10,1.944578806349e-10,-1.65167394246876e-05,-1.65171860310842e-05,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,u,0.01,2.45987047975404e-05,8.6078656845641e-06,-2.45987047975404e-05,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,v,0.01,8.6471487192874e-09,2.62275483415754e-09,0.0637207888987302,0.063720797545879,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,w,0.01,1.02503251202535e-05,3.48700415399325e-06,-1.02503251202535e-05,0,0.6,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,p,0.01,9.29295748425957e-11,3.2863056673048e-11,0.000736505792780629,0.000736505885710204,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,q,0.01,2.97194741330782e-07,1.25354294316165e-07,-2.97194741342233e-07,-1.14510428745394e-17,0,0,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,r,0.01,1.28379439023885e-10,5.08074832055263e-11,-0.00242135486913367,-0.00242135499751311,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
B75_V080,rudder,phi,0.01,9.34901814167791e-13,4.47604125685551e-13,7.40732448254301e-05,7.40732439132432e-05,0,1,LOCAL_SMALL_DISTURBANCE_COMPARISON
