pointId,controlName,stepAmplitudeRad,stepAmplitudeDeg,stepSelectionBasis,dtSeconds,durationSeconds,stepStartSeconds,initialPdotRadPerSecond2,initialQdotRadPerSecond2,initialRdotRadPerSecond2,pPeakRadPerSecond,pPeakTimeSeconds,qPeakRadPerSecond,qPeakTimeSeconds,rPeakRadPerSecond,rPeakTimeSeconds,phiPeakRad,phiPeakTimeSeconds,thetaPeakRad,thetaPeakTimeSeconds,psiPeakRad,psiPeakTimeSeconds,primaryStateName,primaryPeak,primaryPeakTimeSeconds,peakBasedRiseTimeSeconds,endpointOvershootPercent,validDomainDurationSeconds,firstInvalidIndex,firstInvalidReason,maximumLinearNonlinearStateError,rmsLinearNonlinearStateError,physicalConvergedAtEveryStep,validAtEveryStep,finiteReal,effectivenessPerRad,relativeToB45V35
B15_V020,elevator,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,0,-0.00302572628341549,0,7.43662302244033e-17,0.6,0.00138587546306204,0.6,2.13968106614569e-17,0.56,9.23831455977815e-18,0.6,0.000362537893991266,0.6,5.51786605082813e-18,0.6,q,0.00138587546306204,0.6,0.4,4.64032281035088,0.5,NaN,NONE,2.2978576688093e-05,3.7909260593513e-06,1,1,1,0.158809629928387,0.365644372781152
B15_V020,aileron,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,0.0011820856006195,7.84169578259005e-09,2.5964656525486e-05,0.000349207175605423,0.6,2.52788305492177e-09,0.6,1.2123717639325e-05,0.6,0.000105099944181202,0.6,1.40885220156761e-10,0.43,1.39070594424046e-06,0.6,p,0.000349207175605423,0.6,0.39,2.74278831888824,0.5,NaN,NONE,9.05247631521888e-07,1.74868555686877e-07,1,1,1,0.0400161946757491,0.944774933098247
B15_V020,rudder,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,3.43595766616472e-05,-1.03340354926038e-08,-0.000450526873416657,4.54299858932904e-06,0.38,6.57282288460583e-09,0.6,0.000224744865573641,0.6,8.26629247300724e-06,0.6,1.74658662532856e-09,0.6,5.79318962789452e-05,0.6,r,0.000224744865573641,0.6,0.4,5.10171305286019,0.5,NaN,NONE,1.0662451543908e-07,1.59486964631359e-08,1,1,1,0.0257538645292093,0.356255463306586
B15_V020,diffCollective,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,-0.747006785318914,-0.000124666527161292,-0.0571918761122435,0.221273318992222,0.6,0.000315928460802749,0.6,0.0127264165627454,0.6,0.0674240325981535,0.6,9.4119474388199e-05,0.6,0.00437060336101322,0.6,p,0.221273318992222,0.6,0.39,2.76107432874124,0.5,NaN,NONE,0.00958801705904788,0.00102448547797778,1,1,1,25.3560545942125,0.950815910063201
B15_V020,diffCyclic,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,0.0147528063467291,9.68292326900232e-06,-0.0299545067776478,0.00389201541438068,0.6,7.38499047738515e-06,0.6,0.0152654984698695,0.6,0.00056163903433655,0.6,6.85595537341932e-07,0.6,0.00391152236480137,0.6,r,0.0152654984698695,0.6,0.4,5.18023048578631,0.5,NaN,NONE,0.000177023907870222,2.08119121189435e-05,1,1,1,1.74929726897387,1.59189346794888
B15_V020,cyclicLong,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,-3.25769994648343e-15,-0.00688734061539756,-2.1884870968435e-16,6.4366439575705e-17,0.17,0.00321097152956391,0.6,1.04989011322037e-17,0.57,1.64071482870578e-17,0.6,0.000835090079538109,0.6,2.59003265704314e-18,0.6,q,0.00321097152956391,0.6,0.4,4.72553609041142,0.5,NaN,NONE,4.92883253109255e-05,1.1414500174426e-05,1,1,1,0.367950233561357,1.02724623705399
B45_V035,elevator,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,0,-0.00900096287247128,0,7.21013006599465e-17,0.44,0.00379022779024558,0.6,4.69708934544665e-17,0.6,3.01174349980034e-17,0.6,0.00102525690476418,0.6,1.57219870685978e-17,0.6,q,0.00379022779024558,0.6,0.4,4.08358503300696,0.5,NaN,NONE,7.43088818584425e-05,1.44607666130448e-05,1,1,1,0.434328111548536,1
B45_V035,aileron,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,0.00111180412091411,6.37404315505547e-08,0.00011862515819805,0.000369619433551492,0.6,1.29809027403059e-08,0.52,1.5970347754542e-05,0.41,0.000109607855150638,0.6,4.4634334006588e-09,0.6,6.76429912706937e-06,0.6,p,0.000369619433551492,0.6,0.4,3.27013958325201,0.5,NaN,NONE,1.95798313029627e-06,3.69920332698184e-07,1,1,1,0.0423552671370333,1
B45_V035,rudder,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,0.000129179395969184,-8.28865485603776e-08,-0.00140232947428018,0.00017362384748998,0.6,7.87833476221291e-08,0.6,0.000630853106048313,0.6,2.9141816374811e-05,0.6,1.84455401508465e-08,0.6,0.000178467209707983,0.6,r,0.000630853106048313,0.6,0.4,4.5884855704184,0.5,NaN,NONE,7.20209795801452e-07,1.19421038898767e-07,1,1,1,0.0722904409385745,1
B45_V035,diffCollective,0.00872664625997165,0.5,0.5 deg and below five percent of the channel half-range,0.01,0.6,0.1,-0.731228811216594,-0.000161370783693937,-0.187599378885932,0.232719411455277,0.6,0.00215892463242268,0.6,0.0573451309328599,0.6,0.0753066421006713,0.6,0.000327324777216698,0.6,0.0183805109257796,0.6,p,0.232719411455277,0.6,0.39,3.05238471110459,0.5,NaN,NONE,0.00671435510864882,0.000728979569080513,1,1,1,26.6676801743117,1
