pointId,controlName,dtSeconds,primaryStateName,primaryPeak,relativeChangeFromFinest,finiteReal,physicalConvergedAtEveryStep,status
B15_V020,elevator,0.02,q,0.00139808883610734,0.00881274932043005,1,1,CONVERGED_WITHIN_2_PERCENT
B15_V020,elevator,0.01,q,0.00138587546306204,0,1,1,FINEST_STEP
B15_V020,aileron,0.02,p,0.000350961028965212,0.00502238637206941,1,1,CONVERGED_WITHIN_2_PERCENT
B15_V020,aileron,0.01,p,0.000349207175605423,0,1,1,FINEST_STEP
B15_V020,rudder,0.02,r,0.000226925393831843,0.00970223836988066,1,1,CONVERGED_WITHIN_2_PERCENT
B15_V020,rudder,0.01,r,0.000224744865573641,0,1,1,FINEST_STEP
B15_V020,diffCollective,0.02,p,0.222392711731771,0.00505886902518593,1,1,CONVERGED_WITHIN_2_PERCENT
B15_V020,diffCollective,0.01,p,0.221273318992222,0,1,1,FINEST_STEP
B15_V020,diffCyclic,0.02,r,0.0154159303091411,0.00985436797682009,1,1,CONVERGED_WITHIN_2_PERCENT
B15_V020,diffCyclic,0.01,r,0.0152654984698695,0,1,1,FINEST_STEP
B15_V020,cyclicLong,0.02,q,0.00323980111006977,0.00897846033215141,1,1,CONVERGED_WITHIN_2_PERCENT
B15_V020,cyclicLong,0.01,q,0.00321097152956391,0,1,1,FINEST_STEP
B45_V035,elevator,0.02,q,0.00381952773900923,0.00773039257404412,1,1,CONVERGED_WITHIN_2_PERCENT
B45_V035,elevator,0.01,q,0.00379022779024558,0,1,1,FINEST_STEP
B45_V035,aileron,0.02,p,0.000371870711804168,0.00609080055949738,1,1,CONVERGED_WITHIN_2_PERCENT
B45_V035,aileron,0.01,p,0.000369619433551492,0,1,1,FINEST_STEP
B45_V035,rudder,0.02,r,0.000636350735354382,0.0087145949720472,1,1,CONVERGED_WITHIN_2_PERCENT
B45_V035,rudder,0.01,r,0.000630853106048313,0,1,1,FINEST_STEP
B45_V035,diffCollective,0.02,p,0.234034298469438,0.00565009599301763,1,1,CONVERGED_WITHIN_2_PERCENT
B45_V035,diffCollective,0.01,p,0.232719411455277,0,1,1,FINEST_STEP
B45_V035,diffCyclic,0.02,r,0.00969266156400939,0.0107553750203674,1,1,CONVERGED_WITHIN_2_PERCENT
B45_V035,diffCyclic,0.01,r,0.00958952265162486,0,1,1,FINEST_STEP
B45_V035,cyclicLong,0.02,q,0.00315187045986496,0.00833876593655944,1,1,CONVERGED_WITHIN_2_PERCENT
B45_V035,cyclicLong,0.01,q,0.00312580510274983,0,1,1,FINEST_STEP
B75_V080,elevator,0.02,q,0.0129091819321592,7.99291886179929e-07,1,1,CONVERGED_WITHIN_2_PERCENT
B75_V080,elevator,0.01,q,0.0129091922503719,0,1,1,FINEST_STEP
B75_V080,aileron,0.02,p,0.00923310903415594,0.00640766870295941,1,1,CONVERGED_WITHIN_2_PERCENT
B75_V080,aileron,0.01,p,0.00917432301172288,0,1,1,FINEST_STEP
B75_V080,rudder,0.02,r,0.00243234609225783,0.00453928635751706,1,1,CONVERGED_WITHIN_2_PERCENT
B75_V080,rudder,0.01,r,0.00242135486913367,0,1,1,FINEST_STEP
B75_V080,diffCollective,0.02,p,0.0735380353907466,0.00546198554186528,1,1,CONVERGED_WITHIN_2_PERCENT
B75_V080,diffCollective,0.01,p,0.0731385536680588,0,1,1,FINEST_STEP
B75_V080,diffCyclic,0.02,r,0.000146029181150947,0.00465105807293117,1,1,CONVERGED_WITHIN_2_PERCENT
B75_V080,diffCyclic,0.01,r,0.000145353135277688,0,1,1,FINEST_STEP
B75_V080,cyclicLong,0.02,q,1.3298091509673e-06,0.0604127233180596,1,1,REFINEMENT_SENSITIVE
B75_V080,cyclicLong,0.01,q,1.26002818138702e-06,0.00476817617791373,1,1,CONVERGED_WITHIN_2_PERCENT
B75_V080,cyclicLong,0.005,q,1.25404865645736e-06,0,1,1,FINEST_STEP
