pointId,betaMDeg,speedMps,perturbationKind,perturbationName,stepLevel,step,stepUnit,coefficientName,dimensionalDerivative,dimensionalUnit,coefficientDerivative,coefficientUnit,plusFxN,plusFyN,plusFzN,plusMxNm,plusMyNm,plusMzNm,minusFxN,minusFyN,minusFzN,minusMxNm,minusMyNm,minusMzNm,relativeStepVariation,valid,status
B15_V020,15,20,BODY_RATE,p,1,0.01,rad/s,CX_p,0,N/(rad/s),0,1/(normalized_rate),10133.2639492393,-7.00498269162359,-57960.746341281,-417.257083950955,-0.00258539219613141,-92.1239365324092,10133.2639492393,7.00498269162314,-57960.746341281,417.257083950925,-0.00258539219567666,92.1239365324201,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,BODY_RATE,p,1,0.01,rad/s,CY_p,-700.498269162337,N/(rad/s),-0.635372579739081,1/(normalized_rate),10133.2639492393,-7.00498269162359,-57960.746341281,-417.257083950955,-0.00258539219613141,-92.1239365324092,10133.2639492393,7.00498269162314,-57960.746341281,417.257083950925,-0.00258539219567666,92.1239365324201,1.07321980017719e-06,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,BODY_RATE,p,1,0.01,rad/s,CZ_p,0,N/(rad/s),0,1/(normalized_rate),10133.2639492393,-7.00498269162359,-57960.746341281,-417.257083950955,-0.00258539219613141,-92.1239365324092,10133.2639492393,7.00498269162314,-57960.746341281,417.257083950925,-0.00258539219567666,92.1239365324201,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,BODY_RATE,p,1,0.01,rad/s,Cl_p,-41725.708395094,N*m/(rad/s),-3.78464475238948,1/(normalized_rate),10133.2639492393,-7.00498269162359,-57960.746341281,-417.257083950955,-0.00258539219613141,-92.1239365324092,10133.2639492393,7.00498269162314,-57960.746341281,417.257083950925,-0.00258539219567666,92.1239365324201,2.24370007385331e-07,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,BODY_RATE,p,1,0.01,rad/s,Cm_p,-2.27373675443232e-11,N*m/(rad/s),-1.3748975083491e-14,1/(normalized_rate),10133.2639492393,-7.00498269162359,-57960.746341281,-417.257083950955,-0.00258539219613141,-92.1239365324092,10133.2639492393,7.00498269162314,-57960.746341281,417.257083950925,-0.00258539219567666,92.1239365324201,0.013748975083491,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,BODY_RATE,p,1,0.01,rad/s,Cn_p,-9212.39365324146,N*m/(rad/s),-0.835591261064985,1/(normalized_rate),10133.2639492393,-7.00498269162359,-57960.746341281,-417.257083950955,-0.00258539219613141,-92.1239365324092,10133.2639492393,7.00498269162314,-57960.746341281,417.257083950925,-0.00258539219567666,92.1239365324201,2.99842447325508e-07,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,BODY_RATE,p,2,0.001,rad/s,CX_p,0,N/(rad/s),0,1/(normalized_rate),10133.2557511004,-0.700499020951983,-57960.7706369717,-41.7256990330695,-2.2979774302101e-05,-9.21239089097563,10133.2557511004,0.700499020951529,-57960.7706369717,41.7256990331277,-2.29797720283642e-05,9.21239089097563,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,BODY_RATE,p,2,0.001,rad/s,CY_p,-700.499020951756,N/(rad/s),-0.635373261634246,1/(normalized_rate),10133.2557511004,-0.700499020951983,-57960.7706369717,-41.7256990330695,-2.2979774302101e-05,-9.21239089097563,10133.2557511004,0.700499020951529,-57960.7706369717,41.7256990331277,-2.29797720283642e-05,9.21239089097563,1.07321980017719e-06,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,BODY_RATE,p,2,0.001,rad/s,CZ_p,0,N/(rad/s),0,1/(normalized_rate),10133.2557511004,-0.700499020951983,-57960.7706369717,-41.7256990330695,-2.2979774302101e-05,-9.21239089097563,10133.2557511004,0.700499020951529,-57960.7706369717,41.7256990331277,-2.29797720283642e-05,9.21239089097563,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,BODY_RATE,p,2,0.001,rad/s,Cl_p,-41725.6990330986,N*m/(rad/s),-3.7846439032289,1/(normalized_rate),10133.2557511004,-0.700499020951983,-57960.7706369717,-41.7256990330695,-2.2979774302101e-05,-9.21239089097563,10133.2557511004,0.700499020951529,-57960.7706369717,41.7256990331277,-2.29797720283642e-05,9.21239089097563,2.24370007385331e-07,1,VALID_CENTRAL_DIFFERENCE
