pointId,modelKind,modeIndex,classification,classificationConfidence,dominantGroup,dominantGroupScore,secondGroupScore,longitudinalRigidBodyScore,lateralDirectionalRigidBodyScore,symmetricNacelleScore,differentialNacelleScore,actuatorRateScore,pathologicalEigenvectors,modeTrackingStatus
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,HEADING_KINEMATIC_INTEGRATOR,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,0,0,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,LATERAL_DIRECTIONAL_APERIODIC_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.10523497469568e-25,1.10523497469568e-25,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,LATERAL_DIRECTIONAL_OSCILLATORY_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,4.59781402685008e-25,4.59781402685008e-25,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,LATERAL_DIRECTIONAL_OSCILLATORY_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,4.59781402685007e-25,4.59781402685007e-25,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,LONGITUDINAL_OSCILLATORY_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,1.16802511826138e-24,1,1.16802511826138e-24,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,NINE_STATE_PHYSICAL_CONTROL,6,LONGITUDINAL_OSCILLATORY_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,1.16802511826138e-24,1,1.16802511826138e-24,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,NINE_STATE_PHYSICAL_CONTROL,7,LATERAL_DIRECTIONAL_APERIODIC_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,5.2965265837205e-21,5.2965265837205e-21,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,NINE_STATE_PHYSICAL_CONTROL,8,LONGITUDINAL_APERIODIC_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,2.96777581052953e-23,1,2.96777581052953e-23,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,NINE_STATE_PHYSICAL_CONTROL,9,LONGITUDINAL_APERIODIC_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,1.43354111333981e-21,1,1.43354111333981e-21,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_TORQUE,1,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,0,0,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
