pointId,modelKind,modeIndex,stateIndex,stateName,rightEigenvectorReal,rightEigenvectorImag,leftEigenvectorReal,leftEigenvectorImag,participationRawReal,participationRawImag,participationMagnitude,normalizedMagnitude
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,1,u,0,0,1.21981368725186e-10,-5.82778704830496e-27,0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,2,v,0,0,0.000255732271133097,1.1578247668134e-17,0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,3,w,0,0,-7.0966047315468e-10,-9.79819749120646e-26,-0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,4,p,0,0,-1.73375029856044,1.60828073112463e-15,0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,5,q,0,0,1.28737924396724e-08,5.74811422665085e-25,0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,6,r,0,0,-2.72345289085367,-5.58923201095461e-15,-0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,7,phi,0,0,-4.72893769205557,2.46350488802478e-15,0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,8,theta,0,0,1.81645624959273e-08,7.25687854446818e-25,0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,1,9,psi,1,0,1,0,1,0,1,1
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,1,u,-3.05984755041952e-14,0,1.53381225656241e-14,-6.00311859552171e-29,-4.69323167604593e-28,-1.83686277293849e-42,4.69323167604593e-28,4.68955794117838e-28
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,2,v,0.750061101353254,0,0.00935206249123244,-5.27595415264768e-18,0.00701461829209826,3.9572879824242e-18,0.00701461829209826,0.00700912743854978
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,3,w,6.24130795982181e-13,0,2.94190175590334e-14,-3.95684862803672e-28,1.83613148461333e-26,2.46959108379756e-40,1.83613148461333e-26,1.8346942105297e-26
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,4,p,0.603546391289953,0,1.62860654921134,-2.48916696908771e-15,0.982939605607688,1.50232774151104e-15,0.982939605607688,0.982170187059643
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,5,q,1.86981424035945e-14,0,2.50893495209546e-12,2.31414593687318e-27,4.69124230156364e-26,-4.32702302703543e-41,4.69124230156364e-26,4.68757012392465e-26
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,6,r,0.0612050610543723,0,-0.00639968463020664,2.00548194654751e-15,-0.000391693088520525,-1.22745644981882e-16,0.000391693088520525,0.000391386481760833
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,7,phi,-0.262090030195524,0,-0.0398239840750454,-4.1917324801808e-15,0.0104374691887347,-1.09861129230214e-15,0.0104374691887347,0.0104292990200462
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,8,theta,-7.97834333460459e-15,0,-5.62360093300911e-12,9.53948148679428e-27,4.48670190203494e-26,7.61092585357491e-41,4.48670190203494e-26,4.48318983309065e-26
B15_V020,NINE_STATE_PHYSICAL_CONTROL,2,9,psi,-0.0265114007750954,0,0,0,-0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,1,u,-9.45284962707477e-14,-1.02568202927785e-13,-3.89558003140033e-14,1.73582768413702e-13,-1.41216393907169e-26,2.04041445084816e-26,2.48143066033377e-26,2.41065134059038e-26
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,2,v,0.998954667030853,0,0.482147228685587,0.0363672653072875,0.481643224291459,-0.0363292494058641,0.483011397244688,0.469234176437446
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,3,w,-4.44983080505073e-14,1.09612808528736e-13,-8.51506809312983e-13,8.407449132626e-13,1.30047023506876e-25,-5.59243267078825e-26,1.4156185446909e-25,1.37524001660587e-25
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,4,p,-0.00585709176336021,0.000238287167123685,-1.26957084762296,5.87162307639489,0.00883512538390691,0.0340881127175654,0.0352144695997938,0.0342100263795016
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,5,q,-2.89577563735997e-15,-2.9496072042968e-15,-5.80219781197892e-12,-3.09771736089257e-11,1.08172357512712e-25,-7.2588740184029e-26,1.3027042692554e-25,1.26554646207642e-25
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,6,r,-0.00198998766303356,-0.0192834138779795,-1.23617762909301,-19.8722766799114,0.385665314147664,-0.0157078605809131,0.385985066318174,0.374975385144399
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,7,phi,-0.00461722361457669,0.0128436122166886,-1.83244417619334,8.98466332581393,0.123856336176971,0.0179489972692126,0.125150143883869,0.121580412038654
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,8,theta,-5.05359343635081e-15,6.3505943322305e-15,-5.68435988792649e-13,-2.17564120051386e-11,-1.35293502387557e-25,-1.13557967276375e-25,1.76634491875834e-25,1.71596241410875e-25
B15_V020,NINE_STATE_PHYSICAL_CONTROL,3,9,psi,-0.0376643999764531,0.00863230308927689,0,0,-0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,1,u,-9.45284962707477e-14,1.02568202927785e-13,-3.89558003140033e-14,-1.73582768413701e-13,-1.41216393907169e-26,-2.04041445084816e-26,2.48143066033377e-26,2.41065134059038e-26
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,2,v,0.998954667030853,0,0.482147228685587,-0.0363672653072875,0.481643224291459,0.036329249405864,0.483011397244688,0.469234176437446
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,3,w,-4.44983080505073e-14,-1.09612808528736e-13,-8.51506809312974e-13,-8.40744913262599e-13,1.30047023506875e-25,5.59243267078815e-26,1.41561854469089e-25,1.37524001660586e-25
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,4,p,-0.00585709176336021,-0.000238287167123685,-1.26957084762298,-5.87162307639489,0.00883512538390697,-0.0340881127175654,0.0352144695997938,0.0342100263795016
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,5,q,-2.89577563735997e-15,2.9496072042968e-15,-5.80219781197888e-12,3.09771736089257e-11,1.08172357512712e-25,7.25887401840291e-26,1.3027042692554e-25,1.26554646207642e-25
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,6,r,-0.00198998766303356,0.0192834138779795,-1.23617762909298,19.8722766799114,0.385665314147663,0.0157078605809138,0.385985066318174,0.374975385144399
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,7,phi,-0.00461722361457669,-0.0128436122166886,-1.83244417619336,-8.98466332581393,0.123856336176971,-0.0179489972692124,0.125150143883869,0.121580412038654
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,8,theta,-5.05359343635081e-15,-6.3505943322305e-15,-5.68435988792544e-13,2.17564120051386e-11,-1.35293502387557e-25,1.13557967276374e-25,1.76634491875834e-25,1.71596241410875e-25
B15_V020,NINE_STATE_PHYSICAL_CONTROL,4,9,psi,-0.0376643999764531,-0.00863230308927689,0,0,0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,1,u,0.279047490636822,0.18146427209525,0.0656789268175608,-0.00249059955486356,0.0178755848808558,0.0126133742029117,0.0218776996874753,0.0215990488189736
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,2,v,1.07419510683358e-12,-3.73867172185918e-14,1.41036700520848e-14,5.07636027008015e-14,1.3252208899173e-26,-5.50573035504264e-26,5.66297423175412e-26,5.59084632477472e-26
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,3,w,0.941568891365542,0,0.48103688628462,-0.00419482474001897,0.452929367724942,0.00394971647993241,0.452946588913072,0.447177519852407
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,4,p,7.4324506580967e-14,-1.33395349955217e-13,-1.64911144556097e-12,8.47453033745183e-13,-2.35615688495394e-25,1.56997269812106e-25,2.83130527131239e-25,2.79524363393209e-25
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,5,q,0.00383443507236611,0.0320741002915554,0.27244889918413,14.4249022182894,0.463710448059753,-0.0465727976645049,0.466043351118837,0.460107471826048
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,6,r,-6.20377493470321e-14,-5.25761342516304e-14,1.01555819003719e-12,-7.32054850353959e-13,-2.45143303490861e-26,-9.88091590542763e-26,1.01804726341548e-25,1.00508064634974e-25
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,7,phi,-1.92580192519545e-13,2.0071149654203e-14,-2.38902632174129e-12,2.99324925919231e-12,5.2015710280878e-25,5.28490013762741e-25,7.41528897784412e-25,7.32084226985449e-25
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,8,theta,0.0321427670973808,-0.0239714508610719,0.861730567891782,-1.57629984972542,0.0654845993344472,0.0300097069816592,0.0720334315656149,0.0711159595025711
B15_V020,NINE_STATE_PHYSICAL_CONTROL,5,9,psi,-1.84640602908103e-14,1.00809080856391e-13,0,0,-0,0,0,0
B15_V020,NINE_STATE_PHYSICAL_CONTROL,6,1,u,0.279047490636822,-0.18146427209525,0.0656789268175608,0.00249059955486356,0.0178755848808558,-0.0126133742029117,0.0218776996874753,0.0215990488189735
B15_V020,NINE_STATE_PHYSICAL_CONTROL,6,2,v,1.07419510683358e-12,3.73867172185918e-14,1.41036700520846e-14,-5.07636027008015e-14,1.32522088991728e-26,5.50573035504264e-26,5.66297423175411e-26,5.59084632477471e-26
B15_V020,NINE_STATE_PHYSICAL_CONTROL,6,3,w,0.941568891365542,0,0.48103688628462,0.00419482474001896,0.452929367724942,-0.0039497164799324,0.452946588913072,0.447177519852407
B15_V020,NINE_STATE_PHYSICAL_CONTROL,6,4,p,7.4324506580967e-14,1.33395349955217e-13,-1.64911144556097e-12,-8.4745303374518e-13,-2.35615688495394e-25,-1.56997269812106e-25,2.8313052713124e-25,2.7952436339321e-25
