pointId,betaMDeg,speedMps,perturbationKind,perturbationName,stepLevel,step,stepUnit,coefficientName,dimensionalDerivative,dimensionalUnit,coefficientDerivative,coefficientUnit,plusFxN,plusFyN,plusFzN,plusMxNm,plusMyNm,plusMzNm,minusFxN,minusFyN,minusFzN,minusMxNm,minusMyNm,minusMzNm,relativeStepVariation,valid,status
B15_V020,15,20,FLOW_ANGLE,alpha,1,0.001,rad,CX_alpha,10646.9451875482,N/(rad),2.41427328515833,1/rad,10143.9118114928,-6.82121026329696e-13,-58007.643322739,0,-13.3639955361438,0,10122.6179211177,1.13686837721616e-12,-57913.8222785793,0,13.3861920816906,-3.63797880709171e-12,2.02800499437213e-06,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,FLOW_ANGLE,alpha,1,0.001,rad,CY_alpha,-9.09494701772928e-10,N/(rad),-2.06234626252365e-13,1/rad,10143.9118114928,-6.82121026329696e-13,-58007.643322739,0,-13.3639955361438,0,10122.6179211177,1.13686837721616e-12,-57913.8222785793,0,13.3861920816906,-3.63797880709171e-12,0.134052507064037,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,FLOW_ANGLE,alpha,1,0.001,rad,CZ_alpha,-46910.5220798592,N/(rad),-10.6373065940724,1/rad,10143.9118114928,-6.82121026329696e-13,-58007.643322739,0,-13.3639955361438,0,10122.6179211177,1.13686837721616e-12,-57913.8222785793,0,13.3861920816906,-3.63797880709171e-12,2.12894803860576e-07,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,FLOW_ANGLE,alpha,1,0.001,rad,Cl_alpha,0,N*m/(rad),0,1/rad,10143.9118114928,-6.82121026329696e-13,-58007.643322739,0,-13.3639955361438,0,10122.6179211177,1.13686837721616e-12,-57913.8222785793,0,13.3861920816906,-3.63797880709171e-12,0.0329975402003783,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,FLOW_ANGLE,alpha,1,0.001,rad,Cm_alpha,-13375.0938089172,N*m/(rad),-2.02193406030494,1/rad,10143.9118114928,-6.82121026329696e-13,-58007.643322739,0,-13.3639955361438,0,10122.6179211177,1.13686837721616e-12,-57913.8222785793,0,13.3861920816906,-3.63797880709171e-12,1.58285405503709e-06,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,FLOW_ANGLE,alpha,1,0.001,rad,Cn_alpha,1.81898940354586e-09,N*m/(rad),4.12469252504729e-14,1/rad,10143.9118114928,-6.82121026329696e-13,-58007.643322739,0,-13.3639955361438,0,10122.6179211177,1.13686837721616e-12,-57913.8222785793,0,13.3861920816906,-3.63797880709171e-12,0.00135341473478114,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,FLOW_ANGLE,alpha,2,0.0001,rad,CX_alpha,10646.96677965,N/(rad),2.41427818132654,1/rad,10134.3204569491,-2.27373675443232e-13,-57965.4615547715,-2.91038304567337e-11,-1.33739764086862,0,10132.1910635932,2.27373675443232e-13,-57956.0794483581,0,1.33762535508582,-5.6843418860808e-14,2.02800499437213e-06,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,FLOW_ANGLE,alpha,2,0.0001,rad,CY_alpha,-2.27373675443232e-09,N/(rad),-5.15586565630912e-13,1/rad,10134.3204569491,-2.27373675443232e-13,-57965.4615547715,-2.91038304567337e-11,-1.33739764086862,0,10132.1910635932,2.27373675443232e-13,-57956.0794483581,0,1.33762535508582,-5.6843418860808e-14,0.134052507064037,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,FLOW_ANGLE,alpha,2,0.0001,rad,CZ_alpha,-46910.5320668677,N/(rad),-10.6373088587002,1/rad,10134.3204569491,-2.27373675443232e-13,-57965.4615547715,-2.91038304567337e-11,-1.33739764086862,0,10132.1910635932,2.27373675443232e-13,-57956.0794483581,0,1.33762535508582,-5.6843418860808e-14,2.12894803860576e-07,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,FLOW_ANGLE,alpha,2,0.0001,rad,Cl_alpha,-1.45519152283669e-07,N*m/(rad),-3.29975402003783e-12,1/rad,10134.3204569491,-2.27373675443232e-13,-57965.4615547715,-2.91038304567337e-11,-1.33739764086862,0,10132.1910635932,2.27373675443232e-13,-57956.0794483581,0,1.33762535508582,-5.6843418860808e-14,0.0329975402003783,1,VALID_CENTRAL_DIFFERENCE
