timeSeconds,uNonlinear,vNonlinear,wNonlinear,pNonlinear,qNonlinear,rNonlinear,phiNonlinear,thetaNonlinear,psiNonlinear,uLinear,vLinear,wLinear,pLinear,qLinear,rLinear,phiLinear,thetaLinear,psiLinear,validDomain,physicalConverged,guardReason
0,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.01,19.701179262703,3.63138389502789e-19,3.44434836491602,8.14352298365187e-18,9.6997991548512e-13,5.43884678680855e-19,8.23920767650964e-20,0.173080279537653,5.52204427306954e-21,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.02,19.7011792627038,1.34322789027551e-19,3.44434836492059,2.44491511478668e-17,1.93598444466127e-12,2.06241288983141e-18,3.29601035796259e-19,0.173080279537667,2.22800957980478e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.03,19.7011792627045,-1.43160796292829e-19,3.44434836492533,2.44292911261797e-17,2.89798635260653e-12,1.6567108137631e-18,5.77689276827307e-19,0.173080279537691,4.32159358428922e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.04,19.7011792627051,-1.23163973954853e-18,3.44434836493025,2.44631726024696e-17,3.85596023730714e-12,2.45436982612286e-18,8.26635551699973e-19,0.173080279537725,6.82016763938334e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.05,19.7011792627058,-2.61282447319208e-18,3.44434836493532,3.22182587854227e-17,4.80987989864333e-12,1.41454037370295e-18,9.89863707467226e-19,0.173080279537769,7.52941223346229e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.06,19.7011792627064,-3.25974641739064e-19,3.44434836494056,3.22168069623024e-17,5.75972069642983e-12,1.4206922641674e-18,1.2321015683191e-18,0.173080279537821,8.40663953644601e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.07,19.7011792627069,8.10939772260041e-19,3.44434836494596,4.01337367639169e-17,6.70545814599902e-12,1.20679804804865e-18,1.63914691535315e-18,0.173080279537884,1.04073911000323e-19,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.08,19.7011792627075,1.14842597596659e-19,3.44434836495153,2.35617017973307e-17,7.64706685306844e-12,9.05025487106456e-19,1.87954711976397e-18,0.173080279537956,1.13383514060591e-19,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.09,19.701179262708,1.22505041633985e-18,3.44434836495725,4.79744750488745e-17,8.58452359287182e-12,2.15015985107959e-18,2.200019676404e-18,0.173080279538037,1.32208566193019e-19,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.1,19.7014033068681,2.27916717997806e-18,3.44439573813735,4.81232037850687e-17,-3.44366935592269e-05,1.29830870413048e-18,2.68172534561824e-18,0.173080279538127,1.45801771940018e-19,19.7014037180338,8.26754014342788e-17,3.44439536134242,1.07943712755517e-15,-3.44867929391449e-05,1.22820060430542e-16,0,0.173080279537648,0,1,1,NONE
0.11,19.701853848524,3.75814170413662e-18,3.44447639830878,5.63909779495499e-17,-0.000103139109639135,1.8639550714072e-18,3.24890340061662e-18,0.173079591229928,1.64655730965687e-19,19.7018550813143,2.71833167860466e-16,3.44447525125298,3.1883142892483e-15,-0.000103288443699507,3.63182023086358e-16,2.18901887739253e-17,0.173079590229941,2.48019289929869e-18,1,1,NONE
0.12,19.7023069032714,6.55945901172918e-18,3.44454309806902,4.82610450990844e-17,-0.000171667151214318,1.71964388162445e-18,3.73452033639492e-18,0.173078216762693,1.82040814304021e-19,19.7023089571553,4.86628626911329e-16,3.44454116479809,5.24856194121331e-15,-0.000171914812054377,5.98403025245185e-16,6.50389743702697e-17,0.173078213775477,7.37409207138761e-18,1,1,NONE
0.13,19.7027625186857,8.62099741822926e-18,3.44459593793811,4.0014969353476e-17,-0.000240018152437889,3.83599456923747e-19,4.13536545302888e-18,0.173076157893579,1.85983302049018e-19,19.7027653932762,7.28478374041517e-16,3.44459320331999,7.26123875414736e-15,-0.000240363266481778,8.28589280890495e-16,1.28956523526756e-16,0.17307615194032,1.46300536208102e-17,1,1,NONE
0.14,19.7032207421442,1.13491759697361e-17,3.44463501848799,5.64611643799445e-17,-0.000308189480007363,2.25443839808703e-18,4.61700650445852e-18,0.173073416406238,1.91138066931479e-19,19.7032244372266,9.98765820800513e-16,3.44463146820307,9.22737899951416e-15,-0.000308631208397514,1.0538445622229e-15,2.13163649771913e-16,0.173073406516685,2.41974993581778e-17,1,1,NONE
