timeSeconds,uNonlinear,vNonlinear,wNonlinear,pNonlinear,qNonlinear,rNonlinear,phiNonlinear,thetaNonlinear,psiNonlinear,uLinear,vLinear,wLinear,pLinear,qLinear,rLinear,phiLinear,thetaLinear,psiLinear,validDomain,physicalConverged,guardReason
0,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.01,19.701179262703,3.63138389502789e-19,3.44434836491602,8.14352298365187e-18,9.6997991548512e-13,5.43884678680855e-19,8.23920767650964e-20,0.173080279537653,5.52204427306954e-21,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.02,19.7011792627038,1.34322789027551e-19,3.44434836492059,2.44491511478668e-17,1.93598444466127e-12,2.06241288983141e-18,3.29601035796259e-19,0.173080279537667,2.22800957980478e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.03,19.7011792627045,-1.43160796292829e-19,3.44434836492533,2.44292911261797e-17,2.89798635260653e-12,1.6567108137631e-18,5.77689276827307e-19,0.173080279537691,4.32159358428922e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.04,19.7011792627051,-1.23163973954853e-18,3.44434836493025,2.44631726024696e-17,3.85596023730714e-12,2.45436982612286e-18,8.26635551699973e-19,0.173080279537725,6.82016763938334e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.05,19.7011792627058,-2.61282447319208e-18,3.44434836493532,3.22182587854227e-17,4.80987989864333e-12,1.41454037370295e-18,9.89863707467226e-19,0.173080279537769,7.52941223346229e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.06,19.7011792627064,-3.25974641739064e-19,3.44434836494056,3.22168069623024e-17,5.75972069642983e-12,1.4206922641674e-18,1.2321015683191e-18,0.173080279537821,8.40663953644601e-20,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.07,19.7011792627069,8.10939772260041e-19,3.44434836494596,4.01337367639169e-17,6.70545814599902e-12,1.20679804804865e-18,1.63914691535315e-18,0.173080279537884,1.04073911000323e-19,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.08,19.7011792627075,1.14842597596659e-19,3.44434836495153,2.35617017973307e-17,7.64706685306844e-12,9.05025487106456e-19,1.87954711976397e-18,0.173080279537956,1.13383514060591e-19,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.09,19.701179262708,1.22505041633985e-18,3.44434836495725,4.79744750488745e-17,8.58452359287182e-12,2.15015985107959e-18,2.200019676404e-18,0.173080279538037,1.32208566193019e-19,19.7011792627023,0,3.44434836491161,0,0,0,0,0.173080279537648,0,1,1,NONE
0.1,19.7011792622281,3.99098622290527e-06,3.44434836487916,1.71797883356496e-07,-4.21523726265721e-11,-2.25263436708685e-06,2.68172534561824e-18,0.173080279538127,1.45801771940018e-19,19.7011792627023,3.9909862228937e-06,3.44434836491161,1.71797883308234e-07,0,-2.25263436708329e-06,0,0.173080279537648,0,1,1,NONE
0.11,19.7011792612611,1.2869106229214e-05,3.44434836469652,5.00654013099773e-07,-1.45248077505819e-10,-6.75745427329547e-06,-4.4773912609764e-09,0.173080279537192,-4.57349629442091e-08,19.7011792627023,1.2869106224512e-05,3.44434836491161,5.00654014663774e-07,-2.03506057016279e-23,-6.75745427313319e-06,-4.47739126006256e-09,0.173080279537648,-4.5734962943978e-08,1,1,NONE
0.12,19.7011792602862,2.26416790936323e-05,3.44434836449315,8.1505194747004e-07,-2.4908129609072e-10,-1.12616860576553e-05,-1.36143610980393e-08,0.173080279535221,-1.37198697505138e-07,19.7011792627023,2.26416790787836e-05,3.44434836491161,8.15051952399378e-07,-6.25070579855013e-23,-1.12616860570301e-05,-1.36143610685987e-08,0.173080279537648,-1.37198697501735e-07,1,1,NONE
0.13,19.7011792593022,3.3307309910728e-05,3.44434836426889,1.1152099768292e-06,-3.53694569387294e-10,-1.5765219237449e-05,-2.75532628185071e-08,0.173080279532207,-2.74384670753434e-07,19.7011792627023,3.33073098796493e-05,3.44434836491161,1.11520998702076e-06,-1.2764845727551e-22,-1.57652192359278e-05,-2.75532627171122e-08,0.173080279537648,-2.74384670740404e-07,1,1,NONE
0.14,19.7011792583078,4.48645761371865e-05,3.44434836402358,1.40134166415073e-06,-4.59128575278241e-10,-2.02679439956512e-05,-4.64340981824411e-08,0.173080279528138,-4.5728523157826e-07,19.7011792627023,4.48645760831502e-05,3.44434836491161,1.40134168157395e-06,-2.16958651439471e-22,-2.02679439926757e-05,-4.64340979457552e-08,0.173080279537648,-4.5728523154423e-07,1,1,NONE
