timeSeconds,uNonlinear,vNonlinear,wNonlinear,pNonlinear,qNonlinear,rNonlinear,phiNonlinear,thetaNonlinear,psiNonlinear,uLinear,vLinear,wLinear,pLinear,qLinear,rLinear,phiLinear,thetaLinear,psiLinear,validDomain,physicalConverged,guardReason
0,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.01,32.5081027705836,-5.74532814018212e-19,12.9700907574871,2.22364863758012e-19,2.2051113366865e-12,-7.46544947390181e-19,8.42907181899798e-22,0.379626967628791,4.92084426372041e-22,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.02,32.5081027705886,-6.56277450005093e-19,12.9700907574851,-1.62437721076237e-17,4.40004140526438e-12,-2.60819768560976e-18,-8.34186457853085e-20,0.379626967628824,-1.76087619107422e-20,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.03,32.5081027705933,-4.14915817438456e-18,12.9700907574839,-2.47616514975068e-17,6.58458121128894e-12,-2.81594478383238e-18,-3.43290900044933e-19,0.379626967628879,-5.65586846857868e-20,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.04,32.5081027705977,-3.94482590890024e-18,12.9700907574834,-2.9082946977556e-17,8.75852346423758e-12,-3.63079686036483e-18,-6.02657729148646e-19,0.379626967628955,-8.66128637590837e-20,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.05,32.5081027706018,-6.07014359162261e-18,12.9700907574835,-3.69030142629469e-17,1.09216662589415e-11,-5.39869873694208e-18,-8.64762853642866e-19,0.379626967629054,-1.2494283840538e-19,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.06,32.5081027706056,-8.31310870625051e-18,12.9700907574844,-3.25093158562951e-17,1.30738100109257e-11,-4.56101627571709e-18,-1.21719081576225e-18,0.379626967629174,-1.91505827550594e-19,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.07,32.5081027706091,-1.3145834853482e-17,12.9700907574859,-4.08550946032463e-17,1.52147579243879e-11,-3.83858493276568e-18,-1.64282945539378e-18,0.379626967629315,-2.41709939183633e-19,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.08,32.5081027706124,-1.97900523774798e-17,12.9700907574881,-4.48659857585015e-17,1.73443176601218e-11,-6.35853603159189e-18,-2.15824182664369e-18,0.379626967629478,-3.11110058135446e-19,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.09,32.5081027706153,-2.43236169049418e-17,12.970090757491,-4.08067995213143e-17,1.94622987556355e-11,-3.04332365100165e-18,-2.62637929775718e-18,0.379626967629662,-3.62251825396925e-19,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,1,1,NONE
0.1,32.5081027653013,-2.95096457338839e-17,12.9700907784035,5.5590206045543e-06,3.4027067418415e-10,5.9312579098811e-07,-3.00658813880198e-18,0.379626967629867,-3.9430228897435e-19,32.5081027705783,0,12.9700907574897,5.55900310651029e-06,0,5.93123357013418e-07,0,0.37962696762878,0,1,1,NONE
0.11,32.5081027547014,1.05196991755942e-06,12.9700908202287,1.64758436335345e-05,9.62036019331836e-10,1.72468600441393e-06,1.15352949959282e-07,0.379626967636423,1.26237516674597e-08,32.5081027705783,1.05196697257402e-06,12.9700907574897,1.64757919403603e-05,-8.69751748232461e-23,1.72467888800121e-06,1.15352582778392e-07,0.37962696762878,1.26236997589824e-08,1,1,NONE
0.12,32.5081027441344,3.15730859588761e-06,12.9700908620513,2.71962898186514e-05,1.56630472294504e-09,2.803156981047e-06,3.43290168841358e-07,0.379626967649103,3.71412801605152e-08,32.5081027705783,3.15729976802298e-06,12.9700907574897,2.71962047100792e-05,-1.58711918945215e-21,2.80314536181029e-06,3.43289078146245e-07,0.37962696762878,3.71411269061482e-08,1,1,NONE
0.13,32.5081027336018,6.31696990811825e-06,12.9700909038662,3.77241205309785e-05,2.15330582407533e-09,3.82978841043123e-06,6.81657592505438e-07,0.379626967667727,7.29877861182782e-08,32.5081027705783,6.31695226282282e-06,12.9700907574897,3.7724002770106e-05,-5.52514107884962e-21,3.82977246340909e-06,6.8165543038431e-07,0.37962696762878,7.29874839853258e-08,1,1,NONE
