timeSeconds,uNonlinear,vNonlinear,wNonlinear,pNonlinear,qNonlinear,rNonlinear,phiNonlinear,thetaNonlinear,psiNonlinear,uLinear,vLinear,wLinear,pLinear,qLinear,rLinear,phiLinear,thetaLinear,psiLinear,validDomain,physicalConverged,guardReason
0,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.01,79.2035749135921,1.3420998711166e-20,11.2602717955202,-2.21604767649638e-18,-6.97392413270947e-12,-3.31154791239665e-18,-2.22673211702343e-20,0.141222346794759,-8.64426611143899e-21,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.02,79.2035749136061,9.6228881108785e-19,11.2602717955097,-1.00278872774795e-17,-1.38458152806138e-11,-4.72978128591185e-18,-5.65234224479169e-20,0.141222346794655,-2.62576272259139e-20,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.03,79.2035749136207,2.91986067174861e-18,11.2602717954939,-7.55269074683347e-18,-2.0610640862913e-11,-7.13185702552129e-18,-1.33183270622011e-19,0.141222346794483,-7.75971969681203e-20,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.04,79.203574913636,7.90965272382705e-18,11.260271795473,-8.57910372027618e-18,-2.72635781843869e-11,-7.03399497128978e-18,-2.43878917423238e-19,0.141222346794243,-1.45380525580466e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.05,79.203574913652,1.33029951939044e-17,11.2602717954471,-9.66934115734045e-18,-3.38000208881601e-11,-8.26627350947633e-18,-3.19684904109896e-19,0.141222346793937,-2.20114645262985e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.06,79.2035749136686,1.92801466213154e-17,11.2602717954163,-1.12953574477998e-17,-4.02155613673766e-11,-9.91022288137795e-18,-4.61529921489603e-19,0.141222346793567,-3.16501807808572e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.07,79.2035749136858,2.4956278832798e-17,11.2602717953808,-1.13178531439427e-17,-4.65060226730957e-11,-1.03428553535915e-17,-5.79056687232738e-19,0.141222346793133,-4.20923744441557e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.08,79.2035749137036,3.33270779112314e-17,11.2602717953406,-1.34594226398796e-17,-5.26674287516679e-11,-1.1938040579267e-17,-7.06926727047613e-19,0.141222346792637,-5.2525109818215e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.09,79.203574913722,4.19602390751784e-17,11.260271795296,-1.08953100035498e-17,-5.86960072582863e-11,-1.22722972402135e-17,-8.37747799031328e-19,0.14122234679208,-6.45312368450015e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.1,79.2035715191774,-6.7459035175193e-06,11.2602746918878,-0.00122091298085497,-1.62119372565577e-07,-0.00100539713966911,-9.60493316315065e-19,0.141222346791463,-7.77298882745539e-19,79.2035749135788,-6.74912482717918e-06,11.2602717955253,-0.00122103510802648,0,-0.00100547248685823,0,0.141222346794795,0,1,1,NONE
0.11,79.2035651557184,0.00128646782145907,11.2602800526953,-0.00360536061770867,-4.27231401677765e-07,-0.00298120868763853,-2.71202255535884e-05,0.141222343410744,-2.02216875850719e-05,79.2035749135788,0.00128654913604811,11.2602717955253,-0.00360571121243248,-5.807851396927e-19,-0.00298142550480666,-2.71228390259329e-05,0.141222346794795,-2.02231860670158e-05,1,1,NONE
0.12,79.2035591170705,0.00385401602762296,11.2602851749948,-0.00593412956834461,-5.61633723951752e-07,-0.00492226256060223,-8.05873752140484e-05,0.141222335964492,-6.02241737433342e-05,79.2035749135788,0.00385426577708071,11.2602717955253,-0.00593469369406165,-1.71717632006228e-18,-0.00492261213148739,-8.0595005359442e-05,0.141222346794795,-6.02285548059052e-05,1,1,NONE
0.13,79.2035532295762,0.00767013159496985,11.2602903891593,-0.00820854353878326,-4.88684280943213e-07,-0.00682874195052347,-0.000159802058637592,0.141222323080134,-0.000119657305488163,79.2035749135788,0.00767062853428416,11.2602717955253,-0.00820930698336138,-3.38849867727953e-18,-0.00682921600227335,-0.000159816951428706,0.141222346794795,-0.000119665868025247,1,1,NONE
0.14,79.2035472465266,0.0127091449086103,11.2602961582308,-0.0104299011466908,-1.3804302260862e-07,-0.00870083237834317,-0.000264178257808942,0.141222302731301,-0.000198172791640225,79.2035749135788,0.0127099629652875,11.2602717955253,-0.0104308504142109,-5.5737486211394e-18,-0.00870142307085766,-0.000264202510219954,0.141222346794795,-0.000198186753990785,1,1,NONE
0.15,79.2035408540086,0.0189454869842213,11.260303065856,-0.012599476299843,5.54441641061212e-07,-0.0105387217135791,-0.000393143081208391,0.141222272271344,-0.000295424226476559,79.2035749135788,0.0189466956405064,11.2602717955253,-0.0126005986073225,-8.25162730037825e-18,-0.0105394216340199,-0.000393178649558557,0.141222346794795,-0.000295444730974274,1,1,NONE
0.16,79.203533676561,0.0263536925695723,11.2603118047123,-0.0147185185712389,1.64685360926133e-06,-0.0123426001918106,-0.000546136521724045,0.141222228464334,-0.000411067113558098,79.2035749135788,0.0263553573284472,11.2602717955253,-0.0147198018476904,-1.14005736899884e-17,-0.0123434023535039,-0.000546185230227203,0.141222346794795,-0.000411095231037735,1,1,NONE
0.17,79.2035252826408,0.0349084032237341,11.2603231654112,-0.0167882535706039,3.19133654582091e-06,-0.0141126604300527,-0.000722611218276932,0.141222167513708,-0.000544758889708979,79.2035749135788,0.0349105861731919,11.2602717955253,-0.0167896864562063,-1.4998797272883e-17,-0.0141135582750674,-0.000722674767858163,0.141222346794795,-0.000544795624024253,1,1,NONE
0.18,79.2035151899027,0.0445843703752976,11.2603380258724,-0.018809883312047,5.23422750215397e-06,-0.0158490974400249,-0.00092203222112361,0.141222085088743,-0.000696158949121082,79.2035749135788,0.0445871308621546,11.2602717955253,-0.018811455155561,-1.90243102892461e-17,-0.0158500848447658,-0.000922112198537943,0.141222346794795,-0.00069620524172706,1,1,NONE
0.19,79.2035028702929,0.0553564583606763,11.2603573411553,-0.0207845865776758,7.81619620451286e-06,-0.0175521086393235,-0.00114387676079834,0.141221976349002,-0.000864928667557408,79.2035749135788,0.0553598537822459,11.2602717955253,-0.0207862874305433,-2.3454959527894e-17,-0.0175531799225288,-0.00114397464806386,0.141222346794795,-0.000864985402209273,1,1,NONE
