check,passed,message
parameters and inertia,1,
mass/inertia/geometry audit,1,
nacelle endpoint thrust direction,1,
collective thrust monotonicity,1,
left/right symmetry,1,
NUAA Eq12 Eq13 Eq16 closure,1,
NUAA Eq17 wing velocity chain,1,
rotor force/moment chain audit,1,
steady first-harmonic flapping,1,
NUAA public-formula reference,1,
aerodynamic component audit,1,
control architecture closure,1,
berger13 PR1 interface and parity,1,
berger13 PR1 linearization,1,
berger13 PR2 formal trim,1,
berger13 PR3 actuator and independent wing,1,
berger13 PR4 research workflow,1,
generic trim PR5A provenance,1,
generic trim PR5B frozen design,1,
general trim mode framework,1,
open-loop pitch allocation,1,
trim credibility diagnostics,1,
wing near-normal blend continuity,1,
wing V^2 scaling,1,
rotor grid convergence,1,
linearization finite values,1,
