parameter,factor,spectralAbscissaPerSecond,maxAttitudeDeviationRad,maxAngularRateRadPerSecond,maxBetaDiffRad,primaryLoadMetric,primaryMetricDefinition,conclusionClass
omegaN,0.5,0.0399324342593561,NaN,NaN,NaN,5.65705590943212,"Frobenius norm of command B columns 9:10",HIGHLY_ASSUMPTION_DEPENDENT
omegaN,1,0.0399324342593561,NaN,NaN,NaN,22.6282236377285,"Frobenius norm of command B columns 9:10",HIGHLY_ASSUMPTION_DEPENDENT
omegaN,1.5,0.0399324342593561,NaN,NaN,NaN,50.913503184889,"Frobenius norm of command B columns 9:10",HIGHLY_ASSUMPTION_DEPENDENT
zeta,0.625,0.0399324342593561,NaN,NaN,NaN,5.65685424949238,"Frobenius norm of nacelle-rate A subblock",HIGHLY_ASSUMPTION_DEPENDENT
zeta,1,0.0399324342593561,NaN,NaN,NaN,9.05096679918781,"Frobenius norm of nacelle-rate A subblock",HIGHLY_ASSUMPTION_DEPENDENT
zeta,1.375,0.0399324342593561,NaN,NaN,NaN,12.4450793488832,"Frobenius norm of nacelle-rate A subblock",HIGHLY_ASSUMPTION_DEPENDENT
lateralCyclicScale,0.5,0.0399324342593561,NaN,NaN,NaN,1.27473459544577,"2-norm of lateralCyclic B column",HIGHLY_ASSUMPTION_DEPENDENT
lateralCyclicScale,1,0.0399324342593561,NaN,NaN,NaN,2.54946916960325,"2-norm of lateralCyclic B column",HIGHLY_ASSUMPTION_DEPENDENT
lateralCyclicScale,1.5,0.0399324342593561,NaN,NaN,NaN,3.82420370119713,"2-norm of lateralCyclic B column",HIGHLY_ASSUMPTION_DEPENDENT
leftOmegaN,0.5,NaN,0.123402277051561,0.100006460216102,0.0149158006813215,3443.19754963948,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
leftOmegaN,1,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
leftOmegaN,1.5,NaN,0.0597025354084431,0.0444863267207803,0.0051144349159733,1212.07356179228,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
leftZeta,0.5,NaN,0.0620985930851502,0.0708957657269352,0.0123189539326178,2625.80760546786,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
leftZeta,1,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
leftZeta,1.5,NaN,0.0619101872948183,0.0481477999458842,0.00717825115228699,1596.56366991163,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
rateScale,0.5,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",CANNOT_RELIABLY_DETERMINE
rateScale,1,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",CANNOT_RELIABLY_DETERMINE
rateScale,1.5,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",CANNOT_RELIABLY_DETERMINE
accelLim,0.5,NaN,0.0551466728698386,0.0461775433931306,0.00874217270899741,2096.60914613637,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
accelLim,1,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
accelLim,1.5,NaN,0.059511552978876,0.0444868676793662,0.00322842124798678,806.794627775586,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
torqueLim,0.5,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",CANNOT_RELIABLY_DETERMINE
torqueLim,1,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",CANNOT_RELIABLY_DETERMINE
torqueLim,1.5,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",CANNOT_RELIABLY_DETERMINE
movingMassLeft,0.5,NaN,0.250161938977866,0.163745866657197,0.0176553573443035,3235.79690676117,"hypot(peak roll moment,peak yaw moment) [N m]",TREND_ROBUST
movingMassLeft,1,NaN,0.250181091501368,0.163771161319082,0.0176553573443035,3235.98879990226,"hypot(peak roll moment,peak yaw moment) [N m]",TREND_ROBUST
movingMassLeft,1.5,NaN,0.250200725339009,0.163796465667701,0.0176553573443035,3236.17614998728,"hypot(peak roll moment,peak yaw moment) [N m]",TREND_ROBUST
nacelleInertia,0.5,NaN,0.0584692617845842,0.0444278574561822,0,6.48324065039733e-11,"hypot(peak roll moment,peak yaw moment) [N m]",TREND_ROBUST
nacelleInertia,1,NaN,0.0586313930292321,0.0445533033462716,0,7.03427203638134e-11,"hypot(peak roll moment,peak yaw moment) [N m]",TREND_ROBUST
nacelleInertia,1.5,NaN,0.0587933093475056,0.0446788492665265,0,6.49396137513708e-11,"hypot(peak roll moment,peak yaw moment) [N m]",TREND_ROBUST
leftDelay,0.5,NaN,0.0559279036066923,0.0439558407379396,0.00701622359301718,1750.77374162976,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
leftDelay,1,NaN,0.0753169525663198,0.0737034941035449,0.0139781604649803,3250.45617941258,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
leftDelay,1.5,NaN,0.112813016896337,0.109051776529433,0.0201098531143453,4745.21861715412,"hypot(peak roll moment,peak yaw moment) [N m]",HIGHLY_ASSUMPTION_DEPENDENT
wakeArea,0.5,NaN,NaN,NaN,NaN,308097.412902585,"norm(d[F;M]/d betaDiff)",TREND_ROBUST
wakeArea,1,NaN,NaN,NaN,NaN,300495.309526169,"norm(d[F;M]/d betaDiff)",TREND_ROBUST
wakeArea,1.5,NaN,NaN,NaN,NaN,292905.263124361,"norm(d[F;M]/d betaDiff)",TREND_ROBUST
