figureId,title,pngPath,svgPath,rawDataPath,notes
F01_trim_operating_points,Trim operating points,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F01_trim_operating_points.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F01_trim_operating_points.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F01_trim_operating_points.csv,"Failures are retained and excluded from modal conclusions."
F02_trim_controls,Trim controls,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F02_trim_controls.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F02_trim_controls.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F02_trim_controls.csv,"Only credible points are shown."
F03_symmetric_differential_coordinates,Symmetric/differential coordinates,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F03_symmetric_differential_coordinates.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F03_symmetric_differential_coordinates.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F03_symmetric_differential_coordinates.csv,"Solid: symmetric; dashed: differential."
F04_independent_wing_wake_regions,Independent wing wakes,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F04_independent_wing_wake_regions.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F04_independent_wing_wake_regions.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F04_independent_wing_wake_regions.csv,"Geometry proxy only; loads use independent region models."
F05_actuator_response,Actuator response,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F05_actuator_response.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F05_actuator_response.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F05_actuator_response.csv,"Prescribed one-way command-actuator boundary."
F06_bandwidth_damping_sensitivity,Bandwidth and damping sensitivity,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F06_bandwidth_damping_sensitivity.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F06_bandwidth_damping_sensitivity.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F06_bandwidth_damping_sensitivity.csv,"Flight-response metrics remain in the data table."
F07_stability_derivatives,Stability derivatives,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F07_stability_derivatives.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F07_stability_derivatives.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F07_stability_derivatives.csv,"Different physical units are not compared directly."
F08_control_derivatives,Control derivatives,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F08_control_derivatives.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F08_control_derivatives.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F08_control_derivatives.csv,"Input names and units use the command contract."
F09_all_eigenvalues,All eigenvalues,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F09_all_eigenvalues.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F09_all_eigenvalues.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F09_all_eigenvalues.csv,"The kinematic heading integrator is not stability-qualified."
F10_low_frequency_eigenvalues,Low-frequency eigenvalues,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F10_low_frequency_eigenvalues.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F10_low_frequency_eigenvalues.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F10_low_frequency_eigenvalues.csv,"Natural frequency below 3 rad/s."
F11_modal_damping,Modal damping,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F11_modal_damping.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F11_modal_damping.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F11_modal_damping.csv,"Heading integrator excluded."
F12_modal_frequency,Modal frequency,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F12_modal_frequency.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F12_modal_frequency.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F12_modal_frequency.csv,"Prescribed actuator roots reflect placeholder omegaN and zeta."
F13_participation_factors,Participation factors,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F13_participation_factors.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F13_participation_factors.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F13_participation_factors.csv,"Representative point B45_V035."
F14_mode_tracking,Mode tracking,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F14_mode_tracking.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F14_mode_tracking.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F14_mode_tracking.csv,"No cross-angle or cross-failure-gap assignment is performed."
F15_linear_nonlinear_comparison,Linear/nonlinear comparison,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F15_linear_nonlinear_comparison.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F15_linear_nonlinear_comparison.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F15_linear_nonlinear_comparison.csv,"Internal local consistency, not validation."
F16_left_right_rate_mismatch,Rate mismatch,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F16_left_right_rate_mismatch.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F16_left_right_rate_mismatch.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F16_left_right_rate_mismatch.csv,"Valid-prefix guard is archived."
F17_single_side_delay,Single-side delay,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F17_single_side_delay.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F17_single_side_delay.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F17_single_side_delay.csv,"Left command delay: 0.30 s."
F18_single_side_kinematic_lock,Kinematic lock,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F18_single_side_kinematic_lock.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F18_single_side_kinematic_lock.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F18_single_side_kinematic_lock.csv,"No constraint torque or mechanical-jam load is claimed."
F19_parameter_sensitivity,Parameter sensitivity,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F19_parameter_sensitivity.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F19_parameter_sensitivity.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F19_parameter_sensitivity.csv,"Each parameter uses one physical metric; cross-unit magnitudes are not plotted."
F20_capability_limitations,Capability limitations,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F20_capability_limitations.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F20_capability_limitations.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F20_capability_limitations.csv,"This is a research credibility gate, not a flight envelope."
F21_asynchronous_lateral_directional_loads,Asynchronous lateral/directional loads,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F21_asynchronous_lateral_directional_loads.png,E:\tiltrotor-berger13-pr4\results\berger13_final\figures\F21_asynchronous_lateral_directional_loads.svg,E:\tiltrotor-berger13-pr4\results\berger13_final\raw_data\F21_asynchronous_lateral_directional_loads.csv,"Quantitative claims use valid-prefix peaks only."
