stateName,peakAbsoluteError,rmsError,peakTimeDifferenceSeconds,caseName,amplitudeRad
u,2.79463527874668e-05,1.16831374097192e-05,0,linear_nonlinear_betaSym,0.000872664625997165
v,1.03194854178612e-13,3.85559574679822e-14,-0.75,linear_nonlinear_betaSym,0.000872664625997165
p,2.39971663638915e-15,9.96466079494744e-16,-2.55,linear_nonlinear_betaSym,0.000872664625997165
q,3.96686834480675e-07,1.3723168325871e-07,0,linear_nonlinear_betaSym,0.000872664625997165
r,2.13678668779412e-15,1.40723602420622e-15,-1.2,linear_nonlinear_betaSym,0.000872664625997165
phi,2.3485545273557e-15,1.52687816909833e-15,-1.3,linear_nonlinear_betaSym,0.000872664625997165
theta,3.25790330379938e-07,1.01765938705482e-07,0,linear_nonlinear_betaSym,0.000872664625997165
psi,4.98431256957112e-15,2.20506852864488e-15,-0.6,linear_nonlinear_betaSym,0.000872664625997165
betaSym,2.22044604925031e-16,7.60430484379765e-17,0,linear_nonlinear_betaSym,0.000872664625997165
betaDiff,0,0,0,linear_nonlinear_betaSym,0.000872664625997165
u,0.00237962281858017,0.000858399360834807,0,linear_nonlinear_betaDiff,0.000872664625997165
v,4.01808336283338e-05,1.47503106547205e-05,0,linear_nonlinear_betaDiff,0.000872664625997165
p,3.69034260246613e-07,1.73840775604576e-07,0,linear_nonlinear_betaDiff,0.000872664625997165
q,0.000101955143124157,3.19716860990951e-05,0,linear_nonlinear_betaDiff,0.000872664625997165
r,5.90047701574861e-07,1.60011772480015e-07,0,linear_nonlinear_betaDiff,0.000872664625997165
phi,1.64702063397415e-07,7.55681540243872e-08,0,linear_nonlinear_betaDiff,0.000872664625997165
theta,9.0440670690084e-05,3.00269335948397e-05,0,linear_nonlinear_betaDiff,0.000872664625997165
psi,9.21750645515446e-07,2.60799078213144e-07,0,linear_nonlinear_betaDiff,0.000872664625997165
betaSym,0,0,0,linear_nonlinear_betaDiff,0.000872664625997165
betaDiff,2.22044604925031e-16,7.60430484379765e-17,0,linear_nonlinear_betaDiff,0.000872664625997165
u,2.59195545737612e-06,1.31908859443167e-06,4,linear_nonlinear_lateralCyclic,0.000349065850398866
v,1.37958337483902e-09,5.57306165651733e-10,0,linear_nonlinear_lateralCyclic,0.000349065850398866
p,4.96314778215975e-12,3.38169407185832e-12,0,linear_nonlinear_lateralCyclic,0.000349065850398866
q,4.46269703318182e-08,3.33934450663644e-08,-1.85,linear_nonlinear_lateralCyclic,0.000349065850398866
r,1.93964276335324e-11,1.2883740752187e-11,0,linear_nonlinear_lateralCyclic,0.000349065850398866
phi,6.53314364141688e-12,4.05279832850193e-12,0,linear_nonlinear_lateralCyclic,0.000349065850398866
theta,1.02978328031522e-07,5.79194822486694e-08,0.35,linear_nonlinear_lateralCyclic,0.000349065850398866
psi,3.10474363503666e-11,1.43011207606617e-11,0,linear_nonlinear_lateralCyclic,0.000349065850398866
betaSym,0,0,0,linear_nonlinear_lateralCyclic,0.000349065850398866
betaDiff,0,0,0,linear_nonlinear_lateralCyclic,0.000349065850398866
u,2.70022297854666e-08,1.59073267658937e-08,3.6,linear_nonlinear_aileron,0.000872664625997165
v,1.27527861968485e-09,4.8411583298966e-10,0,linear_nonlinear_aileron,0.000872664625997165
p,6.34872177344894e-12,3.28442497302384e-12,0,linear_nonlinear_aileron,0.000872664625997165
q,4.91817905137198e-09,1.68210745776892e-09,0,linear_nonlinear_aileron,0.000872664625997165
r,2.34822502968076e-11,1.0880252619561e-11,0,linear_nonlinear_aileron,0.000872664625997165
phi,1.51062468740568e-12,6.90130876737434e-13,0,linear_nonlinear_aileron,0.000872664625997165
theta,8.49515235934462e-10,4.47889244226684e-10,0.35,linear_nonlinear_aileron,0.000872664625997165
psi,3.17115849198131e-11,1.14416188714238e-11,0,linear_nonlinear_aileron,0.000872664625997165
betaSym,0,0,0,linear_nonlinear_aileron,0.000872664625997165
betaDiff,0,0,0,linear_nonlinear_aileron,0.000872664625997165
u,2.05189464708155e-06,8.92827009944175e-07,4,linear_nonlinear_rudder,0.000872664625997165
v,4.58943175997428e-09,1.73762821823698e-09,0,linear_nonlinear_rudder,0.000872664625997165
p,1.83243113011034e-11,8.81277660512266e-12,0,linear_nonlinear_rudder,0.000872664625997165
q,8.33488416517433e-09,4.67349408748589e-09,-1.4,linear_nonlinear_rudder,0.000872664625997165
r,9.54474585441534e-11,4.51402292479835e-11,0,linear_nonlinear_rudder,0.000872664625997165
phi,2.28575246736054e-11,8.59086691182131e-12,0,linear_nonlinear_rudder,0.000872664625997165
theta,1.73559988048133e-08,9.09538844502594e-09,4,linear_nonlinear_rudder,0.000872664625997165
psi,1.33574727071307e-10,4.87801836930529e-11,0,linear_nonlinear_rudder,0.000872664625997165
betaSym,0,0,0,linear_nonlinear_rudder,0.000872664625997165
betaDiff,0,0,0,linear_nonlinear_rudder,0.000872664625997165
