pointId,betaMDeg,speedMps,derivativeName,value,outputName,inputName,units,differenceStep,limitActive,maximumMatrixStepVariation,parameterSource
B45_V035,45,35,Xu,-0.119668753889382,u,u,(m/s^2)/(m/s),0.05,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Xw,0.228051388692056,u,w,(m/s^2)/(m/s),0.05,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Zu,0.00771533404782531,w,u,(m/s^2)/(m/s),0.05,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Zw,-0.339968389373692,w,w,(m/s^2)/(m/s),0.05,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Mu,0.00348288670346545,q,u,(rad/s^2)/(m/s),0.05,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Mw,-0.0353656422688004,q,w,(rad/s^2)/(m/s),0.05,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Mq,-0.507805428585136,q,q,(rad/s^2)/(rad/s),0.001,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Yv,-0.104334041077369,v,v,(m/s^2)/(m/s),0.05,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Yp,12.922812013196,v,p,(m/s^2)/(rad/s),0.001,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Yr,-32.4628668490973,v,r,(m/s^2)/(rad/s),0.001,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Lv,-0.0128843052811733,p,v,(rad/s^2)/(m/s),0.05,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Lp,-1.69289333962285,p,p,(rad/s^2)/(rad/s),0.001,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Lr,-1.13731306820489,p,r,(rad/s^2)/(rad/s),0.001,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Nv,0.0132879860562542,r,v,(rad/s^2)/(m/s),0.05,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Np,-0.445157477185772,r,p,(rad/s^2)/(rad/s),0.001,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
B45_V035,45,35,Nr,-0.463478255790402,r,r,(rad/s^2)/(rad/s),0.001,0,2.8499193605971e-06,NUMERICAL_THREE_STEP_INTERNAL
