localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,timeConstantSeconds,doublingTimeSeconds,halvingTimeSeconds,dominantState,dominantStateParticipation,betaSymParticipation,betaDiffParticipation,rigidBodyParticipation,stable,pointId,betaMDeg,speedMps
1,spiral-like,0,0,-0,0,0,NaN,NaN,NaN,psi,1,0,0,1,0,B15_V010,15,10
2,roll-like,-1.78705459837072,0,1,1.78705459837072,0,0.559579993197584,NaN,0.387871294582659,p,0.944809144839253,0,0,1,1,B15_V010,15,10
3,dutch-roll-like,-0.0349035589564678,0.392653319012613,0.0885424121517665,0.39420158213717,0.0624927166422962,28.6503734833234,NaN,19.8589256019551,v,0.436102664624877,0,0,1,1,B15_V010,15,10
4,dutch-roll-like,-0.0349035589564678,-0.392653319012613,0.0885424121517665,0.39420158213717,0.0624927166422962,28.6503734833234,NaN,19.8589256019551,v,0.436102664624877,0,0,1,1,B15_V010,15,10
5,spiral-like,0.105512755965404,0,-1,0.105512755965404,0,9.47752706154207,6.56932116138847,NaN,r,0.570762639099515,0,0,1,0,B15_V010,15,10
6,short-period-like,-0.286909674078778,0.417074889466288,0.56675775742259,0.506229813921806,0.0663795302980655,3.4854175036476,NaN,2.41590731572761,q,0.401589811401952,0,0,1,1,B15_V010,15,10
7,short-period-like,-0.286909674078778,-0.417074889466288,0.56675775742259,0.506229813921806,0.0663795302980655,3.4854175036476,NaN,2.41590731572761,q,0.401589811401952,0,0,1,1,B15_V010,15,10
8,longitudinal aperiodic,0.228446180367758,0,-1,0.228446180367758,0,4.37739864326107,3.03418152776334,NaN,theta,0.451646612856332,0,0,1,0,B15_V010,15,10
9,longitudinal aperiodic,-0.0490464033801025,0,1,0.0490464033801025,0,20.3888548615919,NaN,14.1324772621584,u,0.473002078178989,0,0,1,1,B15_V010,15,10
10,symmetric nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B15_V010,15,10
11,symmetric nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B15_V010,15,10
12,differential nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiffDot,0.5,0,1,0,1,B15_V010,15,10
13,differential nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiffDot,0.5,0,1,0,1,B15_V010,15,10
1,spiral-like,0,0,-0,0,0,NaN,NaN,NaN,psi,1,0,0,1,0,B15_V020,15,20
2,roll-like,-2.34657414497128,0,1,2.34657414497128,0,0.426153165517061,NaN,0.295386865164847,p,0.981437700634573,0,0,1,1,B15_V020,15,20
3,dutch-roll-like,-0.0645326441584508,0.505957537186511,0.126520614323791,0.510056361197388,0.0805256430378346,15.4960332563569,NaN,10.7410317615069,v,0.468041701216365,0,0,1,1,B15_V020,15,20
4,dutch-roll-like,-0.0645326441584508,-0.505957537186511,0.126520614323791,0.510056361197388,0.0805256430378346,15.4960332563569,NaN,10.7410317615069,v,0.468041701216365,0,0,1,1,B15_V020,15,20
5,short-period-like,-0.401553807125402,0.698392670051163,0.498450621283159,0.805603985589754,0.11115264565779,2.4903262831915,NaN,1.72616264186852,q,0.460107471826045,0,0,1,1,B15_V020,15,20
6,short-period-like,-0.401553807125402,-0.698392670051163,0.498450621283159,0.805603985589754,0.11115264565779,2.4903262831915,NaN,1.72616264186852,q,0.460107471826046,0,0,1,1,B15_V020,15,20
7,spiral-like,0.0801928555583732,0,-1,0.0801928555583732,0,12.4699387874034,8.6435029122438,NaN,phi,0.739580583893533,0,0,1,0,B15_V020,15,20
8,longitudinal aperiodic,-0.000311118344310467,0,1,0.000311118344310467,0,3214.21098526448,NaN,2227.92128216088,u,0.514783580070374,0,0,1,1,B15_V020,15,20
9,longitudinal aperiodic,0.0963053426987721,0,-1,0.0963053426987721,0,10.3836399100706,7.19739072761518,NaN,theta,0.552514216292852,0,0,1,0,B15_V020,15,20
10,symmetric nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B15_V020,15,20
11,symmetric nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B15_V020,15,20
12,differential nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiff,0.5,0,1,0,1,B15_V020,15,20
13,differential nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiff,0.5,0,1,0,1,B15_V020,15,20
1,spiral-like,0,0,-0,0,0,NaN,NaN,NaN,psi,1,0,0,1,0,B15_V030,15,30
2,roll-like,-2.79489906157509,0,1,2.79489906157509,0,0.357794674501211,NaN,0.248004369849878,p,0.982239284917352,0,0,1,1,B15_V030,15,30
3,dutch-roll-like,-0.0599790931636124,0.676750725289596,0.0882819979029243,0.679403441113396,0.107708223170865,16.6724761455158,NaN,11.5564798332173,v,0.494210503620952,0,0,1,1,B15_V030,15,30
4,dutch-roll-like,-0.0599790931636124,-0.676750725289596,0.0882819979029243,0.679403441113396,0.107708223170865,16.6724761455158,NaN,11.5564798332173,v,0.494210503620952,0,0,1,1,B15_V030,15,30
