time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive
0,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.27373675443232e-13,0,0,0
0.1,32.5081027706178,-9.32999895422059e-19,12.9700907574957,-1.23340115696652e-16,2.16026496867919e-11,-1.03496105737255e-17,0,0.379626967629885,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,5.08123686332786e-13,1.45814244955317e-11,-6.35212469326791e-12,0
0.2,32.508102770629,-6.01195973096944e-17,12.9700907575672,-8.25528390876189e-17,4.20021696531237e-11,-1.67495966985254e-17,-8.92601114406575e-18,0.379626967633095,-1.80097819560791e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,7.81022511720988e-13,-5.81859238870632e-11,-7.2789219196312e-12,0
0.3,32.5081027706134,-2.91613448883592e-16,12.9700907576973,-2.46916785559228e-16,6.10347793631027e-11,-3.59797466170288e-17,-3.4718913255152e-17,0.379626967638281,-4.79785115729522e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.83927850118596e-12,2.91751054708731e-11,7.14991762839353e-12,0
0.4,32.5081027705727,-4.5456380093104e-16,12.9700907578787,-2.4732399656202e-16,7.85700327327726e-11,-5.27781543307478e-17,-5.22135908351379e-17,0.379626967645298,-7.65117778697536e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.13014897382231e-12,1.64502270366345e-11,-1.87643648709851e-13,0
0.5,32.5081027705086,-6.13126468640353e-16,12.9700907581043,-3.2487816299276e-16,9.45096389440262e-11,-7.9162593781606e-17,-7.4394114125324e-17,0.379626967653992,-1.32668679403204e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.66041957118566e-12,1.00824628057233e-13,6.80153153407595e-13,0
0.6,32.508102770423,-8.65559286512059e-16,12.9700907583666,-3.65506138866425e-16,1.0878592999467e-10,-8.56696625152439e-17,-1.0997793897672e-16,0.379626967664198,-2.17073942649586e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-6.1755259426501e-12,2.92325504337632e-11,8.69780598684084e-12,0
0.7,32.5081027703178,-1.09637923175993e-15,12.9700907586587,-2.00089452707773e-16,1.21359964593114e-10,-6.55667956305309e-17,-1.41220820295084e-16,0.379626967675748,-2.9723673359265e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.42738383996419e-12,1.10154085117932e-13,6.67615435809565e-12,0
0.8,32.5081027701948,-1.29438867497071e-15,12.9700907589736,-7.57015567946079e-17,1.32219584871221e-10,-4.65552255272554e-17,-1.63482549639163e-16,0.379626967688469,-3.59774340198687e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.91888603266229e-12,1.4648221406036e-11,2.10432952947151e-11,0
0.9,32.5081027700559,-1.40864731019324e-15,12.9700907593047,-3.31658408898517e-17,1.41377137592492e-10,-2.33484274177038e-17,-1.67708136332381e-16,0.379626967702192,-3.83731730832423e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-9.04973036309614e-12,-1.44531978691564e-11,-2.27622000878205e-11,0
1,32.5081027699029,-1.49646602854856e-15,12.9700907596459,-7.43788920019617e-17,0.000221059971680342,-4.23838076982084e-17,-1.77188445740116e-16,0.379626967716745,-4.37098268178934e-17,0.785398163397448,0.785398163397448,0,0.0261799387799149,0.785398163397448,0,-1.01078754114313e-11,-1.44419376799958e-11,-8.21568618419107e-12,1
1.1,32.5075956430382,2.04634360819569e-05,12.9721764299221,0.00109584443457546,0.000617370858401702,-3.55898111790259e-05,-1.90826298472785e-16,0.379670618426017,-4.935070198425e-17,0.785398163397448,0.790634151153431,0,0.0785398163397448,0.78801615727544,0.0026179938779915,4.56978174668209,747.481934647829,-116.824778690415,1
1.2,32.5069814126775,0.00475301587637254,12.9793624790811,0.00822731633374348,0.000776137003620847,-0.000402185788879464,0.000314433532345698,0.379748069215165,-1.38520644725266e-05,0.785398163397448,0.801106126665397,0,0.122173047639603,0.793252145031423,0.00785398163397449,26.3773193119236,2095.60666420273,-415.840679592032,0
1.3,32.5068956328366,0.026361298713554,12.9928240330249,0.0241089202738234,0.000670175789037398,-0.00146703856251826,0.00169504939344546,0.379824293639051,-9.58697570619504e-05,0.785398163397448,0.815138573851432,0.0261799387799149,0.137085140768643,0.80026836862444,0.0148702052269917,96.3004783721947,3713.6752900395,-877.341771476218,1
1.4,32.5076327211212,0.0811245350538424,13.0135472256901,0.0478383607303991,0.000272057337941381,-0.00349977688792505,0.00505760786427274,0.379885610679075,-0.000339306679769045,0.790634151153431,0.829062447595358,0.0785398163397448,0.129047220979196,0.809848299374395,0.0192141482209633,245.967374056207,4311.14222990597,-1307.37275720948,1
1.5,32.5100695992691,0.180401249730253,13.0419837337923,0.0721325897588826,-0.000731815297708056,-0.00636276595638211,0.0108600850988137,0.379883609281382,-0.000850557665226829,0.801106126665397,0.841325832894088,0.122173047639603,0.11000126283188,0.821215979779742,0.0201098531143453,493.918874018172,3883.15232930267,-1574.4719385496,0
1.6,32.5151622125755,0.325256916159835,13.0763099141082,0.0916449022770693,-0.00250974394849218,-0.00971857803726253,0.0188422444936158,0.379755813531808,-0.00170675079589522,0.815138573851432,0.851313022214902,0.137085140768643,0.087425219117043,0.833225798033167,0.0180872241817351,827.82576128748,2752.25928086276,-1649.34106401177,1
1.7,32.5239082481748,0.509304684098946,13.1127096547857,0.103803040359287,-0.00495400626722207,-0.0131882521886668,0.0283147468754281,0.379426748886371,-0.00294588920137197,0.829062447595358,0.858966065417442,0.129047220979196,0.0656142911430446,0.8440142565064,0.0149518089110419,1218.13427891809,1522.03500428127,-1572.6301032379,0
1.8,32.5368703273543,0.723148467405781,13.1469701897229,0.109051776532951,-0.00784704536467046,-0.0164616235232531,0.0385150256632619,0.378848673613168,-0.00456857870230517,0.841325832894088,0.864523722061547,0.11000126283188,0.0467138422568866,0.852924777477817,0.0115989445837295,1630.68021400701,430.511065730181,-1384.74786386864,0
1.9,32.5543682279775,0.957293133114507,13.1757645625281,0.108651265189423,-0.0109982192586592,-0.019300281827545,0.048802907869966,0.377993182423834,-0.006546472457999,0.851313022214902,0.868351535649864,0.087425219117043,0.031504174208091,0.859832278932383,0.00851925671748133,2037.17276191846,-427.635927270236,-1118.28881018405,0
2,32.5765523670784,1.20307802050187,13.1969049912867,0.104082114269882,-0.0142496632377522,-0.0215339884052851,0.0586993697437139,0.376846631996144,-0.00882870785388046,0.858966065417442,0.870838866723799,0.0656142911430446,0.0199658659539453,0.86490246607062,0.00593640065317841,2417.13176510479,-1038.65009213703,-801.528805892829,0
2.1,32.6034579198049,1.4530695586043,13.2092908208689,0.0967308835158842,-0.0174771671107839,-0.0230565018539043,0.0678832942782588,0.375406034270417,-0.0113483107456703,0.864523722061547,0.872342606350536,0.0467138422568866,0.0116658779038951,0.868433164206041,0.00390944214449473,2757.68581062364,-1429.46986382772,-459.230897896432,0
2.2,32.6350475828524,1.70114711890072,13.2127099692302,0.087749597372615,-0.0205877884416318,-0.0238183421241413,0.0761681352310756,0.373675800991142,-0.0140284206132261,0.868351535649864,0.873161647619731,0.031504174208091,0.00600597498334026,0.870756591634798,0.00240505598493346,3052.35988173807,-1643.40716450199,-112.098869089934,0
2.3,32.6712450021335,1.94242327827732,13.207599323784,0.078016475349762,-0.0235156817033378,-0.0238165864670685,0.0834716209120703,0.371665373938032,-0.0167878909209699,0.870838866723799,0.873530292188793,0.0199658659539453,0.00237093714657086,0.872184579456296,0.00134571273249728,3299.53295115671,-1726.37477659992,223.810583997503,0
2.4,32.7119589290456,2.17308471906904,13.194822465141,0.0681509550926061,-0.0262172549707486,-0.0230832743591831,0.0897858122911005,0.369387594153545,-0.019545891009336,0.872342606350536,0.87362226261943,0.0116658779038951,0.000207585512165837,0.872982434484983,0.000639828134446796,3500.93894404139,-1719.78357743215,537.160345327271,0
2.5,32.7570985432884,2.39020669842458,13.175489652018,0.0585539844546394,-0.0286664140781451,-0.0216741562002693,0.0951511358534788,0.366857608568954,-0.0222253462149392,0.873161647619731,0.873559767504476,0.00600597498334026,-0.000941271188726366,0.873360707562104,0.000199059942372237,3660.38848893571,-1657.50894197763,820.870984788694,0
2.6,32.80658127455,2.59157250634753,13.1508247622948,0.0494563402759211,-0.030850347776217,-0.0196590019776994,0.0996357584618756,0.364092129471403,-0.0247552513992369,0.873530292188793,0.873424149743058,0.00237093714657086,-0.00143024223224894,0.873477220965925,-5.30712228677954e-05,3782.7714733232,-1565.23556245318,1071.32826989255,0
2.7,32.8603350069192,2.77551475583551,13.1220736628469,0.0409653328529049,-0.0327660602289604,-0.0171140326703442,0.103320371175356,0.361108907745654,-0.0270720210537979,0.87362226261943,0.873266131371593,0.000207585512165837,-0.00151974326972571,0.873444196995512,-0.000178065623918255,3873.33538757747,-1461.09306541809,1287.4863742205,0
2.8,32.9182966037577,2.94078549315625,13.0904447653887,0.0331051003594984,-0.0344176787093782,-0.0141165185418978,0.1062877693489,0.357926328516329,-0.0291200935858848,0.873559767504476,0.873114668399298,-0.000941271188726366,-0.00139120938454123,0.873337217951887,-0.000222549552589102,3937.20269689436,-1356.89138159844,1470.03069639706,0
2.9,32.980408400192,3.08645581055273,13.057072456463,0.0258487129658782,-0.0358144541485265,-0.0107412763307001,0.108616331227837,0.354563076046305,-0.0308520080880541,0.873424149743058,0.872984062768978,-0.00143024223224894,-0.00116410444314613,0.873204106256018,-0.000220043487039689,3979.07889216214,-1259.5306279915,1620.68726252954,0
3,33.0466138795783,3.21184203738717,13.0229956852485,0.0191420872128615,-0.03696931973723,-0.00705866417084213,0.110376450912148,0.351037840950565,-0.032228142184859,0.873266131371593,0.872879348725099,-0.00151974326972571,-0.000911905041770251,0.873072740048346,-0.000193391323247027,4003.10270840858,-1172.34101400001,1741.70500319291,0
