parameter,factor,actuatorModeRealPerSecond,actuatorModeImagRadPerSecond,actuatorModeDampingRatio,actuatorModeFrequencyHz,dutchModeRealPerSecond,dutchModeImagRadPerSecond,shortPeriodRealPerSecond,shortPeriodImagRadPerSecond,spiralModeRealPerSecond,spectralAbscissaDiagnosticPerSecond,validMaxBetaDiffRad,validPeakRollMomentNm,validPeakYawMomentNm,validPeakAttitudeRad,validRecoveryTimeSeconds,firstEnvelopeViolationTime,forceDerivativeNormNPerRad,momentDerivativeNormNmPerRad,targetLimitActivated,classificationMetric,classificationMetricDefinition,conclusionClass,classificationReason
omegaN,0.5,-1.6,1.19999999999982,0.800000000000044,0.190985931710245,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0,7.27620832518619e-11,4.36408287490043e-11,0.00870000096363954,NaN,NaN,1879.28663646119,300489.432973884,1,0.00870000096363954,valid-prefix peak attitude deviation [rad],MAGNITUDE_SENSITIVE,common valid-prefix metric changes by 5% to 50%
omegaN,1,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,1,0.0122103753697724,valid-prefix peak attitude deviation [rad],MAGNITUDE_SENSITIVE,common valid-prefix metric changes by 5% to 50%
omegaN,1.5,-4.8,3.59999999999945,0.800000000000044,0.572957795130735,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0,7.27620832518619e-11,4.36408287490043e-11,0.0134123956799121,NaN,NaN,1879.28663646119,300489.432973884,1,0.0134123956799121,valid-prefix peak attitude deviation [rad],MAGNITUDE_SENSITIVE,common valid-prefix metric changes by 5% to 50%
zeta,0.5,-1.6,3.66606055596443,0.400000000000022,0.583471659155961,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0,7.27620832518619e-11,4.36408287490043e-11,0.0140352812388916,NaN,NaN,1879.28663646119,300489.432973884,1,0.0140352812388916,valid-prefix peak attitude deviation [rad],MAGNITUDE_SENSITIVE,common valid-prefix metric changes by 5% to 50%
zeta,1,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,1,0.0122103753697724,valid-prefix peak attitude deviation [rad],MAGNITUDE_SENSITIVE,common valid-prefix metric changes by 5% to 50%
zeta,1.5,-2.14670016771535,0,1,0,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0,7.27620832518619e-11,4.36408287490043e-11,0.0106476490679685,NaN,NaN,1879.28663646119,300489.432973884,1,0.0106476490679685,valid-prefix peak attitude deviation [rad],MAGNITUDE_SENSITIVE,common valid-prefix metric changes by 5% to 50%
lateralCyclicScale,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.60882262699229,6.79384619128958,0.000452252584721984,NaN,NaN,1879.28663646119,300489.432973884,1,0.000452252584721984,valid-prefix peak attitude deviation [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
lateralCyclicScale,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.2175166948019,13.5875942150148,0.000904503977936597,NaN,NaN,1879.28663646119,300489.432973884,1,0.000904503977936597,valid-prefix peak attitude deviation [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
lateralCyclicScale,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22.8259536419918,20.3811459006623,0.00135675298766615,NaN,NaN,1879.28663646119,300489.432973884,1,0.00135675298766615,valid-prefix peak attitude deviation [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
leftOmegaN,0.5,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0.00361684703123633,687.162296398907,545.795177355979,0.0300886644343277,NaN,NaN,1879.28663646119,300489.432973884,1,0.00361684703123633,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
