time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive
0,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.27373675443232e-13,0,0,0
0.1,32.5081027706178,-9.32999895422059e-19,12.9700907574957,-1.23340115696652e-16,2.16026496867919e-11,-1.03496105737255e-17,0,0.379626967629885,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,5.08123686332786e-13,1.45814244955317e-11,-6.35212469326791e-12,0
0.2,32.508102770629,-6.01195973096944e-17,12.9700907575672,-8.25528390876189e-17,4.20021696531237e-11,-1.67495966985254e-17,-8.92601114406575e-18,0.379626967633095,-1.80097819560791e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,7.81022511720988e-13,-5.81859238870632e-11,-7.2789219196312e-12,0
0.3,32.5081027706134,-2.91613448883592e-16,12.9700907576973,-2.46916785559228e-16,6.10347793631027e-11,-3.59797466170288e-17,-3.4718913255152e-17,0.379626967638281,-4.79785115729522e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.83927850118596e-12,2.91751054708731e-11,7.14991762839353e-12,0
0.4,32.5081027705727,-4.5456380093104e-16,12.9700907578787,-2.4732399656202e-16,7.85700327327726e-11,-5.27781543307478e-17,-5.22135908351379e-17,0.379626967645298,-7.65117778697536e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.13014897382231e-12,1.64502270366345e-11,-1.87643648709851e-13,0
0.5,32.5081027705086,-6.13126468640353e-16,12.9700907581043,-3.2487816299276e-16,9.45096389440262e-11,-7.9162593781606e-17,-7.4394114125324e-17,0.379626967653992,-1.32668679403204e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.66041957118566e-12,1.00824628057233e-13,6.80153153407595e-13,0
0.6,32.508102770423,-8.65559286512059e-16,12.9700907583666,-3.65506138866425e-16,1.0878592999467e-10,-8.56696625152439e-17,-1.0997793897672e-16,0.379626967664198,-2.17073942649586e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-6.1755259426501e-12,2.92325504337632e-11,8.69780598684084e-12,0
0.7,32.5081027703178,-1.09637923175993e-15,12.9700907586587,-2.00089452707773e-16,1.21359964593114e-10,-6.55667956305309e-17,-1.41220820295084e-16,0.379626967675748,-2.9723673359265e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.42738383996419e-12,1.10154085117932e-13,6.67615435809565e-12,0
0.8,32.5081027701948,-1.29438867497071e-15,12.9700907589736,-7.57015567946079e-17,1.32219584871221e-10,-4.65552255272554e-17,-1.63482549639163e-16,0.379626967688469,-3.59774340198687e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.91888603266229e-12,1.4648221406036e-11,2.10432952947151e-11,0
0.9,32.5081027700559,-1.40864731019324e-15,12.9700907593047,-3.31658408898517e-17,1.41377137592492e-10,-2.33484274177038e-17,-1.67708136332381e-16,0.379626967702192,-3.83731730832423e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-9.04973036309614e-12,-1.44531978691564e-11,-2.27622000878205e-11,0
1,32.508101363923,0.00055049785009062,12.9700881444561,7.46376720381868e-05,3.99084251413764e-07,2.71191212080461e-05,-1.77188445740116e-16,0.379626967716745,-4.37098268178934e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,65.7013016352672,23.1962769298094,21.4545745444796,0
1.1,32.5080974547162,0.00165634726953176,12.97008559697,0.000192663922960867,1.17243193642914e-06,7.4118335553646e-05,1.61933412360822e-05,0.379627046918029,5.63244321773596e-06,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,65.8732720814533,18.4922950661119,19.0043265465579,0
1.2,32.5080925019583,0.00276396544692359,12.9700854555816,0.000286543634250487,1.91155753794864e-06,0.000115891285086029,4.4608129618073e-05,0.379627201666759,1.60041248473135e-05,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,66.7174880675471,14.6093277905457,17.1064563450915,0
1.3,32.5080865594973,0.00386993175324634,12.9700874769559,0.00036048852083531,2.61034495082385e-06,0.000153621002654399,8.2881585844549e-05,0.379627427890114,3.06234194524392e-05,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,68.1060883970427,11.3995292789113,15.657357730032,0
1.4,32.5080796851178,0.0049703832899348,12.9700914143493,0.000417952702625627,3.26363089858868e-06,0.000188267730837921,0.000129072208525755,0.379627720889597,4.91127809045445e-05,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,69.9346663100972,8.74209905628137,14.5716198237752,0
1.5,32.5080719399738,0.0060611372318123,12.9700970199214,0.000461771292837683,3.86725051582245e-06,0.00022060804727087,0.000181583702800332,0.379628075470843,7.11870952506251e-05,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,72.1180068736576,6.53835700119725,13.7787558935628,0
1.6,32.5080633878641,0.00713779637313425,12.9701040472958,0.00049427374405065,4.41804116135534e-06,0.000251266961199571,0.000239102769051835,0.379628486061075,9.66358250913165e-05,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,74.5865975987671,4.70771212564211,13.2205293601326,0
1.7,32.5080540944255,0.00819584055307915,12.9701122541659,0.000517376533014896,4.91381681044825e-06,0.00028074426435454,0.000300548230297517,0.379628946816757,0.000125308265540454,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,77.2837718609617,3.18436287063775,12.8487682485913,0
1.8,32.5080441262965,0.00923070612698632,12.9701214048047,0.000532658933588771,5.35332169387118e-06,0.000309436185532391,0.000365029434679835,0.379629451722766,0.000157101355989775,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,80.1633702137924,1.91459613106255,12.6235790712801,0
1.9,32.5080335502886,0.0102378552349873,12.9701312723874,0.000541424946615424,5.736169389608e-06,0.000337653207019165,0.000431812244204249,0.379629994683689,0.000191949593435658,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,83.1878255644721,0.854576348651996,12.5118872915168,0
2,32.5080224325902,0.0112128362831919,12.9701416410684,0.000544753898629146,6.06277191575756e-06,0.00036563474444789,0.000500291227539683,0.379630569607412,0.000229816676145052,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,86.3265952667816,-0.0314642491561479,12.4862447434128,0
2.1,32.5080108380227,0.0121513367801388,12.9701523077762,0.000543541765521563,6.334262247246e-06,0.000393561263566267,0.000569966925690104,0.379631170480992,0.000270688574306061,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,89.5548771682447,-0.772707031834265,12.5238552072,0
2.2,32.5079988293607,0.013049229451211,12.9701630837084,0.00053853490434371,6.55241290045641e-06,0.000421564302533122,0.000640427264771105,0.379631791438713,0.00031456777977572,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,92.8525580902914,-1.39295952124191,12.6057782005508,0
2.3,32.507986466725,0.0139026123766674,12.9701737955197,0.000530357571194934,6.71955267956867e-06,0.000449734782546695,0.000711332358261311,0.379632426822254,0.000361468532355106,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,96.2033525829883,-1.91164784916851,12.7162783002605,0
2.4,32.5079738070538,0.0147078437570402,12.9701842862074,0.000519534353394413,6.83848327614517e-06,0.000478129919380864,0.000782402078718524,0.379633071232924,0.000411412857033167,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,99.5940974575353,-2.34462900038246,12.8422932446033,0
2.5,32.5079609036554,0.0154615717965204,12.9701944157029,0.000506508439705443,6.91239710848912e-06,0.000506778990931939,0.000853405891597551,0.379633719576019,0.000464427276854449,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,103.014173869097,-2.70485547718989,12.9729989288291,0
2.6,32.5079478058419,0.0161607601053213,12.9702040611855,0.000491656485115503,6.94479754407737e-06,0.000535688168857536,0.000924154536015613,0.379634367097429,0.000520540090717098,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,106.455033852702,-3.00291909689522,13.09945338449,0
2.7,32.5079345586451,0.0168027089515924,12.9702131171381,0.000475300689752842,6.93942244819009e-06,0.000564844583912986,0.000994493212795795,0.379635009412702,0.000579779125507808,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,109.90981241251,-3.24749578283456,13.2143050936082,0
2.8,32.5079212026108,0.0173850726386642,12.9702214951648,0.000457718599477764,6.90017182867865e-06,0.000594219763123266,0.00106429600191432,0.379635642528866,0.000642169888357394,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,113.373009699603,-3.44570924266214,13.3115536548408,0
2.9,32.5079077736698,0.0179058732413554,12.9702291235962,0.000439151043962525,6.83104019382769e-06,0.000623772551189989,0.00113346128207074,0.37963626285937,0.000707734058132538,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,116.840230623631,-3.60342817884858,13.3863530060145,0
3,32.5078943030803,0.0183635109033331,12.9702359469064,0.00041980855300787,6.73605410252374e-06,0.000653451607494469,0.00120190796652461,0.379636867232572,0.000776488266121219,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,120.307971542976,-3.7255090217979,13.4348491958429,0
3.1,32.5078808174382,0.0187567708741224,12.9702419249671,0.000399876530375213,6.61921525939439e-06,0.000683197552862388,0.00126957240326225,0.37963745289424,0.000848443124676083,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,123.773445559282,-3.81599400149262,13.4540461642216,0
3.2,32.5078673387493,0.0190848274476624,12.9702470321646,0.000379519414100449,6.4844493925591e-06,0.000712944826213944,0.00133640581533449,0.379638017504589,0.000923602469723942,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,127.234439481115,-3.87827259338781,13.441694193028,0
3.3,32.5078538845577,0.0193472449529558,12.9702512564054,0.000358884011050735,6.33556104610083e-06,0.000742623299761259,0.00140237217995645,0.379638559130384,0.00100196278883626,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,130.689196780483,-3.915212924489,13.3961966706987,0
