time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive,analysisGuardValid,bodySpeedMps,alphaRad,sideslipRad
0,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.27373675443232e-13,0,0,1,1,35,0.37962696762878,0
0.025,32.5080933328939,-1.77545743727289e-18,12.970114477287,-9.17107072096546e-20,5.3859165222148e-05,-2.03696583827946e-18,0,0.379627704494925,0,0.785485429860048,0.785398163397448,0.00642281164733914,0,0.785441796628748,-4.36332312998555e-05,-0.0819945826971212,-13.0042535246666,1.66924668688899,0,1,35.000000024201,0.379627697011007,-5.0727355315578e-20
0.05,32.5080699942848,-3.8535252179392e-06,12.970199236768,-3.47069997445024e-05,9.78083021460517e-05,1.26164743906757e-06,-2.25399727415545e-07,0.379629662195051,8.16387641808935e-09,0.785719984658223,0.785398163397448,0.0118359573037166,0,0.785559074027836,-0.00016091063038759,-0.30205077172198,-46.9472237748524,6.76370058421542,0,1,35.0000097570671,0.379630193396883,-1.10100689819411e-07
0.075,32.5080374043308,-2.97601608021076e-05,12.9703544421026,-0.000130274947352011,0.000132175360793494,5.23529892070226e-06,-1.89192338208465e-06,0.379632596810435,7.71519960403204e-08,0.786077869032505,0.785398163397448,0.0163389060254648,0,0.785738016214977,-0.000339852817528241,-0.684783961610483,-97.5001500176201,15.2510796741162,0,1,35.0000370033522,0.379634657165677,-8.50289409672934e-07
0.1,32.5079999348451,-0.000104799423214328,12.9705867059605,-0.000307150246450055,0.00015732258402682,1.34336916258401e-05,-6.77802356515251e-06,0.379636273101271,2.99883950421889e-07,0.786537531805515,0.785398163397448,0.0200248045020274,0,0.785967847601482,-0.000569684204033305,-1.283846018562,-160.861023847586,27.0284959908337,0,1,35.0000882751988,0.379641217497045,-2.99426168272682e-06
0.125,32.5079616762768,-0.000263337210185969,12.9709002027788,-0.00058078384813565,0.000173639029135346,2.73846014793385e-05,-1.70911325633182e-05,0.379640465269796,8.10502184880327e-07,0.787079671929621,0.785398163397448,0.0229805533299895,0,0.786238917663535,-0.000840754266086319,-2.17529988362732,-233.710891170988,41.9390225052579,0,1,35.000168920822,0.379649941833445,-7.52388397850821e-06
0.15,32.5079264399428,-0.000545593387563194,12.9712969942143,-0.000962282478703485,0.000181533636400266,4.85929638707526e-05,-3.53513595294919e-05,0.379644957546553,1.78420412685968e-06,0.78768708357615,0.785398163397448,0.0252869296206647,0,0.786542623486799,-0.00114446008935065,-3.45185323390936,-313.171848390672,59.7852481921231,0,1,35.0002832479184,0.379660844490758,-1.55882563498322e-05
0.175,32.5078977643954,-0.000996361444003046,12.971777325209,-0.00145900166659342,0.000181428897361589,7.85108806776027e-05,-6.42910570443848e-05,0.379649544616445,3.43617553001085e-06,0.788344504819131,0.785398163397448,0.0270187479539766,0,0.78687133410829,-0.00147317071084141,-5.21787473047847,-396.766963362889,80.340339904262,0,1,35.0004346405573,0.379673894446511,-2.84671163192661e-05
0.2,32.5078789245885,-0.00166387058025982,12.9723398914627,-0.00207508348507142,0.000173755151548032,0.000118514198317435,-0.000106768765498352,0.379654031902213,6.01981840254507e-06,0.789038470777564,0.785398163397448,0.0282450525195412,0,0.787218317087506,-0.00182015369005778,-7.58512025202337,-482.382280938023,103.357048136023,0,1,35.0006256687478,0.379689022340924,-4.75383096471956e-05
0.225,32.5078729427991,-0.00259878032851873,12.9729820794232,-0.00281194209295357,0.000158945521328871,0.000169884561351364,-0.000165696131351426,0.379658235723165,9.82443415561289e-06,0.789757171911212,0.785398163397448,0.0290293340575237,0,0.78757766765433,-0.00217950425688207,-10.6691005492228,-568.231014507745,128.575022067597,0,1,35.0008581902197,0.379706126731151,-7.42490460314691e-05
0.25,32.5078826005044,-0.00385329775557301,12.973700180166,-0.0036687002497719,0.000137431479473777,0.000233796029967685,-0.000243976484039273,0.379661983346608,1.51724954294764e-05,0.790490318014566,0.785398163397448,0.0294297659282425,0,0.787944240706007,-0.00254607730855905,-14.5860258832049,-652.819977041347,155.726737123875,0,1,35.0011334442317,0.379725079643396,-0.000110090656621055
0.275,32.5079104506137,-0.00548040743872314,12.9744895787356,-0.00464258001728195,0.000109639032285142,0.000311305502440575,-0.000344453844825138,0.379665112948618,2.24166175081791e-05,0.79122900832043,0.785398163397448,0.0294994543022037,0,0.788313585858939,-0.0029154224614909,-19.450267371454,-734.918265997278,184.542285055447,1,1,35.0014521374285,0.379745731470821,-0.000156576574011792
0.3,32.5079588296134,-0.00753320467134334,12.9753449206648,-0.00572925084722756,7.59854922384101e-05,0.00040334630997406,-0.000469871228235535,0.379667473499593,3.19363215225903e-05,0.791965608007366,0.785398163397448,0.0292866980730901,0,0.788681885702407,-0.00328372230495866,-25.3722789046248,-813.528184912602,214.75323148333,1,1,35.0018145219249,0.379767915267211,-0.000215223262919191
0.325,32.5080298693114,-0.01006432272024,12.9762602574738,-0.00692313820522267,3.68768074622965e-05,0.000510724455356798,-0.000622837182052962,0.379668924588732,4.41346660916447e-05,0.792693631302597,0.785398163397448,0.0288352546572554,0,0.789045897350023,-0.00364773395257428,-32.4569275764448,-887.858359269288,246.095708091502,0,1,35.0022204659123,0.379791450487402,-0.000287533839995109
0.35,32.5081255079686,-0.0131254453901034,12.9772291729915,-0.0082176958004713,-7.29458928105099e-06,0.000634117052256681,-0.000805799594540448,0.379669336200093,5.94348110944696e-05,0.793407631282788,0.785398163397448,0.0281846083566656,0,0.789402897340118,-0.0040047339426697,-40.8021845509627,-957.298984461576,278.312875322283,0,1,35.0026695171596,0.379816146225406,-0.000374984133460746
0.375,32.5082475006831,-0.016766896628148,12.9782448923354,-0.00960564438761318,-5.61514525282881e-05,0.000774072591994819,-0.00102102587715594,0.379668588451388,7.82765664293414e-05,0.794103096398164,0.785398163397448,0.0273702384303153,0,0.789750629897806,-0.00435246650035787,-50.4981321496102,-1021.39912851744,311.156865675518,0,1,35.0031609598323,0.379841804000269,-0.000479010946713842
0.4,32.508397428956,-0.0210372994058941,12.9793003753488,-0.0110791799859951,-0.000109332959128393,0.000931012722028254,-0.00127058870711988,0.379666571305227,0.000101112969509591,0.794776353679657,0.785398163397448,0.0264238844442971,0,0.790087258538553,-0.00468909514110455,-61.626246652515,-1079.84600094275,344.390296722432,0,1,35.003693865083,0.379868220137995,-0.000601002304312172
0.425,32.5085767094092,-0.025983296630429,12.9803883962204,-0.0126301542279694,-0.000166495549187276,0.00110523526749122,-0.00155635658657194,0.379663184261061,0.000128406927553554,0.795424478533065,0.785398163397448,0.0253738068553613,0,0.790411320965257,-0.00501315756780829,-74.2589198576744,-1132.44609106754,377.787425976314,1,1,35.004267135879,0.379895187795601,-0.000742289473328293
0.45,32.5087866016649,-0.0316493273532042,12.9815016109255,-0.0142502294054969,-0.000227313415603623,0.00129691826596915,-0.00187998854352575,0.379658336034804,0.000160627954187724,0.79604521097766,0.785398163397448,0.0242450411294075,0,0.790721687187554,-0.00532352379010576,-88.459185815627,-1179.10807400485,411.135006153243,0,1,35.0048795465285,0.379922498670565,-0.000904140567694279
0.475,32.5090282154177,-0.0380774520519834,12.9826326140167,-0.0159310106367513,-0.000291478683970536,0.00150612481784312,-0.00224293236431182,0.379651944231872,0.000198249024292261,0.796636878148335,0.785398163397448,0.023059644007333,0,0.791017520772892,-0.00561935737544328,-104.280622347704,-1219.82737936855,444.232888508851,0,1,35.005529777361,0.379949944435876,-0.00108775555756796
0.5,32.5093025167482,-0.0453072212547094,12.9837739861762,-0.0176641574244267,-0.000358701323184238,0.0017328085813828,-0.00264642580765611,0.379643935018299,0.000241743566210531,0.797198322849349,0.785398163397448,0.0218369308084298,0,0.791298243123399,-0.00590007972595025,-121.767399958148,-1254.67231678533,476.894413351356,0,1,35.0062164449952,0.379977317937596,-0.00129426251977389
0.525,32.5096103337391,-0.053375582248305,12.9849183338171,-0.0194414767273042,-0.000428708825246255,0.0019768197643688,-0.00309150030699504,0.379634242793641,0.00029158260628805,0.797728837923283,0.785398163397448,0.0205937029084266,0,0.791563500660366,-0.00616533726291729,-140.954453561715,-1283.77165266276,508.946620063077,0,1,35.0069381286087,0.380004414188421,-0.00152471497887317
0.55,32.5099523614612,-0.0623168190677152,12.9860583218959,-0.0212549995182182,-0.000501245690576146,0.00223791148325987,-0.00357898672013803,0.379622809868532,0.000348232077097234,0.798228106180147,0.785398163397448,0.0193444647475961,0,0.791813134788798,-0.00641497139134944,-161.867755070178,-1307.30353431903,540.23030364536,0,1,35.0076933925972,0.380031031187373,-0.0017800902013063
0.575,32.5103291663992,-0.0721625213888773,12.9871867009736,-0.0230970426563485,-0.000576072752758628,0.00251574637747337,-0.00410952273404867,0.37960958614905,0.000412150297560806,0.798696145618028,0.785398163397448,0.0181016299163179,0,0.792047154507738,-0.00664899111028994,-184.524667314688,-1325.48566018807,570.599940629666,0,1,35.0084808059856,0.380056970592401,-0.0020612883172745
0.6,32.5107411903899,-0.0829415783527079,12.9882963294437,-0.0249602577608992,-0.000652966374108423,0.00280990338076026,-0.00468356157744676,0.37959452882945,0.000483785630443816,0.7991332596576,0.785398163397448,0.0168757160332201,0,0.792265711527524,-0.00686754813007601,-208.93436203168,-1338.56659816553,599.923503915375,0,1,35.0092989589248,0.38008203826949,-0.00236913215654435
0.625,32.5111887541413,-0.0946801937251996,12.9893801917295,-0.026837668637591,-0.000731717540812704,0.0031198845643439,-0.00530138173527481,0.379577602094325,0.000563574320290779,0.799539992107663,0.785398163397448,0.0156755282765672,0,0.792469077752556,-0.00707091435510754,-235.098286712378,-1346.81815806566,628.082183499081,0,1,35.0101464765828,0.380106044738855,-0.00270436769516357
0.65,32.5116720604021,-0.107401919151431,12.9904314131472,-0.0287226986796349,-0.000812130883758788,0.0034451219777773,-0.00596309739697958,0.379558776830856,0.00065193851279935,0.799917086577073,0.785398163397448,0.0145083315548536,0,0.792657624987261,-0.00725946158981239,-263.010667017354,-1350.52872846479,654.970027986328,0,1,35.0110220307127,0.380128805535987,-0.0030676650201639
0.675,32.512191196843,-0.121127702589176,12.9914432720328,-0.0306091895414055,-0.000894023648518348,0.00378498442359657,-0.0066686694051977,0.379538030351477,0.000749284454812117,0.800265450049536,0.785398163397448,0.0133800114094421,0,0.792831806723492,-0.00743364332604401,-292.659033194852,-1349.99749278036,680.493520091088,0,1,35.0119243491536,0.380150141502757,-0.00345961972871075
0.7,32.5127461387113,-0.135875949311591,12.9924092096405,-0.0324914122661986,-0.000977224635376157,0.0041387841109921,-0.00741791650297623,0.379515346127057,0.000856000872546064,0.800586120341293,0.785398163397448,0.0122952238322958,0,0.792992141869371,-0.00759397847192222,-324.024760523356,-1345.52944416106,704.571097938282,0,1,35.0128522234999,0.380169879021427,-0.00388075468685881
0.725,32.5133367513132,-0.151662593149066,12.9933228382393,-0.0343640719393627,-0.00106157312779096,0.00450578314201821,-0.00821052670628041,0.379490713530486,0.000972457524341989,0.800880237167316,0.785398163397448,0.0112575342570248,0,0.793139200282382,-0.00774103688493388,-357.08361523293,-1337.43112357241,727.132632800369,0,1,35.0138045151504,0.380187850202344,-0.00433152208111291
0.75,32.5139627923724,-0.168501175898848,12.9941779477644,-0.0362223068348041,-0.00114691782528265,0.00488519979141657,-0.0090460686544194,0.379464127590422,0.00109900392308377,0.801149016548978,0.785398163397448,0.0102695460431334,0,0.793273589973213,-0.00787542657576484,-391.806298655286,-1326.00701025888,748.118872874275,0,1,35.0147801599299,0.380203893034235,-0.00481230570340246
