time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive
0,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.27373675443232e-13,0,0,0
0.1,32.5081027706178,-9.32999895422059e-19,12.9700907574957,-1.23340115696652e-16,2.16026496867919e-11,-1.03496105737255e-17,0,0.379626967629885,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,5.08123686332786e-13,1.45814244955317e-11,-6.35212469326791e-12,0
0.2,32.508102770629,-6.01195973096944e-17,12.9700907575672,-8.25528390876189e-17,4.20021696531237e-11,-1.67495966985254e-17,-8.92601114406575e-18,0.379626967633095,-1.80097819560791e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,7.81022511720988e-13,-5.81859238870632e-11,-7.2789219196312e-12,0
0.3,32.5081027706134,-2.91613448883592e-16,12.9700907576973,-2.46916785559228e-16,6.10347793631027e-11,-3.59797466170288e-17,-3.4718913255152e-17,0.379626967638281,-4.79785115729522e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.83927850118596e-12,2.91751054708731e-11,7.14991762839353e-12,0
0.4,32.5081027705727,-4.5456380093104e-16,12.9700907578787,-2.4732399656202e-16,7.85700327327726e-11,-5.27781543307478e-17,-5.22135908351379e-17,0.379626967645298,-7.65117778697536e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.13014897382231e-12,1.64502270366345e-11,-1.87643648709851e-13,0
0.5,32.5081027705086,-6.13126468640353e-16,12.9700907581043,-3.2487816299276e-16,9.45096389440262e-11,-7.9162593781606e-17,-7.4394114125324e-17,0.379626967653992,-1.32668679403204e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.66041957118566e-12,1.00824628057233e-13,6.80153153407595e-13,0
0.6,32.508102770423,-8.65559286512059e-16,12.9700907583666,-3.65506138866425e-16,1.0878592999467e-10,-8.56696625152439e-17,-1.0997793897672e-16,0.379626967664198,-2.17073942649586e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-6.1755259426501e-12,2.92325504337632e-11,8.69780598684084e-12,0
0.7,32.5081027703178,-1.09637923175993e-15,12.9700907586587,-2.00089452707773e-16,1.21359964593114e-10,-6.55667956305309e-17,-1.41220820295084e-16,0.379626967675748,-2.9723673359265e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.42738383996419e-12,1.10154085117932e-13,6.67615435809565e-12,0
0.8,32.5081027701948,-1.29438867497071e-15,12.9700907589736,-7.57015567946079e-17,1.32219584871221e-10,-4.65552255272554e-17,-1.63482549639163e-16,0.379626967688469,-3.59774340198687e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.91888603266229e-12,1.4648221406036e-11,2.10432952947151e-11,0
0.9,32.5081027700559,-1.40864731019324e-15,12.9700907593047,-3.31658408898517e-17,1.41377137592492e-10,-2.33484274177038e-17,-1.67708136332381e-16,0.379626967702192,-3.83731730832423e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-9.04973036309614e-12,-1.44531978691564e-11,-2.27622000878205e-11,0
1,32.5081027699029,-1.49646602854856e-15,12.9700907596459,-7.43788920019617e-17,0.000442119794493608,-4.23838076982084e-17,-1.77188445740116e-16,0.379626967716745,-4.37098268178934e-17,0.785398163397448,0.785398163397448,0.0261799387799149,0.0261799387799149,0.785398163397448,0,-8.91416124525776e-12,2.92138079516841e-11,-9.39731459795409e-13,1
1.1,32.5070884907612,-1.52019399673556e-15,12.974262092794,6.57447917255626e-18,0.00123455867050723,-7.56737766974798e-17,-1.78082519199923e-16,0.379714269132868,-4.82450655620586e-17,0.790634151153431,0.790634151153431,0.0785398163397448,0.0785398163397448,0.790634151153431,0,-8.29372581363863e-12,1.46387509466579e-11,-8.12534724606481e-12,1
1.2,32.5058597083688,-1.34854258625801e-15,12.9886300198954,2.15465819315754e-17,0.00148834100743494,-9.34319376727265e-17,-1.76707137820118e-16,0.379869079806355,-5.73231929308841e-17,0.801106126665397,0.801106126665397,0.130899693899575,0.106465084371654,0.801106126665397,0,-9.84298696601175e-12,-1.44856799325671e-11,-1.52234887229693e-11,1
1.3,32.5057568567399,-1.84239688489391e-05,13.0151804794986,-0.00101023194926394,0.00093563830286948,1.79680358938739e-05,-1.83161974944011e-16,0.380014842982182,-6.93264190232797e-17,0.816814089933346,0.812792851336751,0.170867733770245,0.109598299444834,0.814803470635049,-0.00201061929829749,-3.33347001187262,-561.320190343728,69.9954610670248,0
1.4,32.5080785761216,-0.00374655449562797,13.0528996031235,-0.00641393328555621,-0.000544761019053112,0.000195665448509956,-0.000256132233088777,0.380059322931944,7.33487005273755e-06,0.835293286987612,0.823720098078495,0.180034063375379,0.100465503618564,0.829506692533053,-0.00578659445455837,-20.0559991727355,-1503.85409423677,226.673488565648,1
1.5,32.5139935535204,-0.0194926852937011,13.0983642359774,-0.0174036347570187,-0.00284223075581011,0.000694192178976286,-0.00130526122205835,0.379910230946309,4.77263558987678e-05,0.853045787305157,0.833261728514628,0.16151647957747,0.0867731601609784,0.843153757909893,-0.00989202939526446,-71.2369546942122,-2372.79479466431,438.39025121573,0
1.6,32.5244316949949,-0.0564060001157692,13.1470788459152,-0.0326710419843202,-0.00574765933906071,0.00162943879682037,-0.00366934234575202,0.379496097147757,0.000163545083616931,0.86785964572587,0.841273257282246,0.126655412803917,0.0723744901651227,0.854566451504058,-0.0132931942218122,-178.170710452492,-2915.12995450293,670.561019724982,1
1.7,32.5401383112489,-0.121650799277793,13.1944894472912,-0.0499178167138945,-0.00905476613189146,0.00305633071032534,-0.00766428240284971,0.378767349325814,0.000408238793931624,0.878629787997495,0.847837538228686,0.0854384360358259,0.0590450485671077,0.863233663113091,-0.0153961248844044,-353.278218052872,-3035.72800284108,892.707599228242,0
1.8,32.5616556974666,-0.219233422162092,13.2364718310955,-0.066675592314781,-0.0125779444003939,0.00496037389670286,-0.0133478962043279,0.37769549394206,0.000839887667960518,0.885158526792406,0.853130227969923,0.0455556422907507,0.0474691153884252,0.869144377381164,-0.0160141494112419,-597.68113360734,-2756.0844206785,1074.96184595119,0
1.9,32.5892819235633,-0.349708554771547,13.2696551329234,-0.0808515945225469,-0.0161607038136487,0.00725195659555287,-0.0205389355458851,0.376270828757424,0.00151305896589965,0.887894577396629,0.857351250273854,0.012071167459904,0.0377816267263442,0.872622913835241,-0.0152716635613874,-902.096447803689,-2168.79950240714,1189.49175867741,0
2,32.6230479846931,-0.510493306534709,13.2916430915882,-0.091018550284233,-0.019677369374375,0.00977325558972246,-0.0288780963736224,0.374499238647046,0.00246987589740304,0.887666017016384,0.860692091428394,-0.0124396308071485,0.0298610955855809,0.874179054222389,-0.0134869627939949,-1249.67219674985,-1398.22499852407,1215.55513766745,0
2.1,32.6627352510602,-0.696562254971484,13.3011405733993,-0.0964999975684169,-0.0230312678437277,0.0123201838762704,-0.0379063368890861,0.372398435734884,0.00373231564768932,0.88544585600866,0.863322115546688,-0.0274541063455215,0.0234840510077789,0.874383985777674,-0.0110618702309859,-1619.58319075943,-570.402700689433,1144.2932688635,0
2.2,32.7079329003859,-0.901331299901698,13.2979648608581,-0.0973086709428682,-0.0261517817302022,0.0146739282848839,-0.0471419484508697,0.369993993900098,0.00529761563968627,0.882172120887407,0.865384623239162,-0.0339222994197634,0.0184032759541503,0.873778372063285,-0.00839374882412286,-1990.51415540903,207.460414504515,980.471632544094,1
2.3,32.7581194213923,-1.11756394418674,13.2829290037354,-0.0939932700258363,-0.0289913823469754,0.0166330819492099,-0.0561440886529466,0.367315591995023,0.00713767957552733,0.878629892743767,0.866997606913234,-0.0336684859734667,0.0143847619587836,0.872813749828501,-0.0058161429152665,-2343.47303003169,858.601373415222,740.58139691779,0
2.4,32.8127468289904,-1.33816556389254,13.2576140835963,-0.087443318558549,-0.0315227383128684,0.0180384950228372,-0.0645563139113924,0.364393876597971,0.00920219544441172,0.875391855554215,0.868256515109641,-0.0288625000077647,0.0112228194079939,0.871824185331928,-0.0035676702222871,-2663.6593287922,1340.47316754451,448.443430613694,0
2.5,32.8713096487048,-1.55677644962165,13.2240766029032,-0.0786933915018542,-0.0337355678769344,0.0187867529733254,-0.0721286300502756,0.361258227468488,0.0114243251062012,0.872806952189014,0.86923764186749,-0.0216114151837012,0.0087440558063165,0.871022297028252,-0.00178465516076198,-2941.34308977155,1642.28664583513,130.10690405524,0
2.6,32.933388947101,-1.76812732135055,13.1845503737744,-0.068756715520605,-0.0356330180063672,0.0188322504942239,-0.0787203436092667,0.357935501806019,0.0137275092728755,0.871023430048603,0.870001467723018,-0.0136895441704831,0.0068060384206467,0.87051244888581,-0.000510981162792412,-3171.87694704029,1778.37872761828,-190.45377534979,0
2.7,32.9986702810966,-1.96816953487426,13.1411953599715,-0.0585053503470037,-0.0372277133601276,0.0181805767062241,-0.0842883254456895,0.354449634050709,0.0160320848489971,0.870032183102508,0.870595658536506,-0.00639997811320456,0.00529372942693575,0.870313920819507,0.000281737716998909,-3355.06227202765,1779.592402502,-494.074877574341,0
2.8,33.0669404871757,-2.15402601569713,13.0959251842361,-0.0486020019625411,-0.0385379105595653,0.0168769334830889,-0.0888662215545331,0.350821842509656,0.0182608244794979,0.869717980328798,0.871057624781267,-0.000544941247340816,0.00411527605593717,0.870387802555033,0.000669822226234573,-3494.12519151288,1684.5938681297,-767.51106148814,0
2.9,33.1380708727344,-2.32382423524221,13.050320658941,-0.0394789387855775,-0.039584257596898,0.0149929768968927,-0.0925399221633629,0.347071160957662,0.0203429696421255,0.869909026799985,0.871416640337671,0.00352551982555871,0.00319791902054064,0.870662833568828,0.000753806768843013,-3594.54336794948,1532.51170290388,-1003.28340341152,0
