time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive
0,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.27373675443232e-13,0,0,0
0.1,32.5081027706178,-9.32999895422059e-19,12.9700907574957,-1.23340115696652e-16,2.16026496867919e-11,-1.03496105737255e-17,0,0.379626967629885,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,5.08123686332786e-13,1.45814244955317e-11,-6.35212469326791e-12,0
0.2,32.508102770629,-6.01195973096944e-17,12.9700907575672,-8.25528390876189e-17,4.20021696531237e-11,-1.67495966985254e-17,-8.92601114406575e-18,0.379626967633095,-1.80097819560791e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,7.81022511720988e-13,-5.81859238870632e-11,-7.2789219196312e-12,0
0.3,32.5081027706134,-2.91613448883592e-16,12.9700907576973,-2.46916785559228e-16,6.10347793631027e-11,-3.59797466170288e-17,-3.4718913255152e-17,0.379626967638281,-4.79785115729522e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.83927850118596e-12,2.91751054708731e-11,7.14991762839353e-12,0
0.4,32.5081027705727,-4.5456380093104e-16,12.9700907578787,-2.4732399656202e-16,7.85700327327726e-11,-5.27781543307478e-17,-5.22135908351379e-17,0.379626967645298,-7.65117778697536e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.13014897382231e-12,1.64502270366345e-11,-1.87643648709851e-13,0
0.5,32.5081027705086,-6.13126468640353e-16,12.9700907581043,-3.2487816299276e-16,9.45096389440262e-11,-7.9162593781606e-17,-7.4394114125324e-17,0.379626967653992,-1.32668679403204e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.66041957118566e-12,1.00824628057233e-13,6.80153153407595e-13,0
0.6,32.508102770423,-8.65559286512059e-16,12.9700907583666,-3.65506138866425e-16,1.0878592999467e-10,-8.56696625152439e-17,-1.0997793897672e-16,0.379626967664198,-2.17073942649586e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-6.1755259426501e-12,2.92325504337632e-11,8.69780598684084e-12,0
0.7,32.5081027703178,-1.09637923175993e-15,12.9700907586587,-2.00089452707773e-16,1.21359964593114e-10,-6.55667956305309e-17,-1.41220820295084e-16,0.379626967675748,-2.9723673359265e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.42738383996419e-12,1.10154085117932e-13,6.67615435809565e-12,0
0.8,32.5081027701948,-1.29438867497071e-15,12.9700907589736,-7.57015567946079e-17,1.32219584871221e-10,-4.65552255272554e-17,-1.63482549639163e-16,0.379626967688469,-3.59774340198687e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.91888603266229e-12,1.4648221406036e-11,2.10432952947151e-11,0
0.9,32.5081027700559,-1.40864731019324e-15,12.9700907593047,-3.31658408898517e-17,1.41377137592492e-10,-2.33484274177038e-17,-1.67708136332381e-16,0.379626967702192,-3.83731730832423e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-9.04973036309614e-12,-1.44531978691564e-11,-2.27622000878205e-11,0
1,32.5081027560336,0.000122223953077287,12.9700907541123,6.45896979852559e-06,-3.99546035378109e-09,-7.01164737155794e-05,-1.77188445740116e-16,0.379626967716745,-4.37098268178934e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,14.5694987280474,4.58605129088054,-61.4251354125337,0
1.1,32.5081027269136,0.000833119813173054,12.9700907134374,3.19258566258378e-05,-1.3683061452379e-08,-0.000204166334287555,-3.90471395674447e-06,0.379626966853231,-1.49300380337969e-05,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,13.8674716690965,6.3175004323491,-58.8135271017298,0
1.2,32.5081026719882,0.00199415185669226,12.9700906309437,6.59256192966651e-05,-2.6110094939053e-08,-0.000332251400141045,-9.98999548120747e-06,0.379626964749796,-4.39683429900541e-05,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,12.7636861252492,7.56922288041466,-56.2063227032552,0
1.3,32.5081025542859,0.0035892241976058,12.9700904851239,0.000105996990059078,-4.25206856539509e-08,-0.000454378361473403,-1.7300891407632e-05,0.379626960878818,-8.64758480876093e-05,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,11.321103552929,8.41836674884607,-53.5674703353173,0
1.4,32.5081023265958,0.00560015811356984,12.9700902442376,0.000150076194433264,-6.40695600154768e-08,-0.000570478604262573,-2.51051625924073e-05,0.379626954581384,-0.000141809441264425,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,9.59172543927305,8.92926884288082,-50.8710398495773,0
1.5,32.5081019339755,0.00800679073804081,12.9700898672709,0.000196431258109084,-9.16946572532359e-08,-0.000680429927719449,-3.28546679218187e-05,0.379626945115007,-0.000209315147403077,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,7.6186546600698,9.1558147009983,-48.0995147299526,0
1.6,32.5081013161146,0.0107870921200724,12.970089305846,0.000243608397874786,-1.26025471004311e-07,-0.000784074579126447,-4.01534296385997e-05,0.3796269316991,-0.000288323430025609,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,5.43777777156324,9.14336196762083,-45.2423699411361,0
1.7,32.5081004095937,0.0139172981696813,12.9700885067586,0.000290388259000966,-1.67323397994998e-07,-0.000881234220983539,-4.67311627611844e-05,0.379626913558145,-0.000378146252816086,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,3.07913677996269,8.93030640509962,-42.2948835489684,0
1.8,32.5080991500526,0.0173720572210115,12.9700874148747,0.00033575016803108,-2.15450675068828e-07,-0.000971722333325187,-5.242127456585e-05,0.379626889962067,-0.000478075600812272,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,0.568046515670481,8.54935549402633,-39.2571395642594,0
1.9,32.5080974742671,0.0211245881211216,12.9700859761677,0.000378842902868772,-2.6986460489493e-07,-0.00105535446270041,-5.71425227273497e-05,0.379626860263152,-0.000587383209765539,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.07399642109747,8.02856282005907,-36.1331873401838,0
2,32.5080953221216,0.0251468478975166,12.9700841407165,0.000418960754752103,-3.29633790952405e-07,-0.0011319566548635,-6.08836701250923e-05,0.379626823928776,-0.000705321292002172,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-4.82857548999399,7.39216682656378,-32.9303292971986,0
2.1,32.5080926384592,0.0294097071794369,12.9700818655166,0.000455523880107057,-3.93473080466759e-07,-0.0012013723476183,-6.36905965424942e-05,0.379626780569246,-0.000831124079767645,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.67975596504498,6.66126963890688,-29.6585140200384,0
2.2,32.5080893747832,0.0338831316519747,12.9700791169901,0.000488062123319949,-4.59793888350203e-07,-0.00126346795097687,-6.56554274452953e-05,0.379626729960119,-0.000964010033837109,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-10.6136013297545,5.85438522606259,-26.329816078167,0
2.3,32.5080854907859,0.0385363679128818,12.9700758731018,0.000516201641490586,-5.26766570971338e-07,-0.00131813730176014,-6.69073217531045e-05,0.379626672058537,-0.00110318458722546,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-13.617783583715,4.98788088460429,-22.9579874425292,0
2.4,32.5080809556779,0.0433381321830807,12.9700721250191,0.000539653785200905,-5.92391550439639e-07,-0.00136530514729637,-6.76046273207711e-05,0.379626607013233,-0.00124784331202359,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-16.6812704592385,4.07633171481566,-19.5580682465765,0
2.5,32.5080757492967,0.0482568003963541,12.9700678782697,0.000558205790165677,-6.54575968791936e-07,-0.0014049297865749,-6.79281674230351e-05,0.379626535168086,-0.00139717541245466,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-19.7940755971289,3.13280422118197,-16.1460469838263,0
2.6,32.508069862972,0.0532605982637789,12.9700631533767,0.000571712917340708,-7.11212779596622e-07,-0.00143700497594626,-6.80754661006327e-05,0.379626457059252,-0.00155036745978197,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-22.9470602279205,2.16908226931504,-12.7385621492332,0
2.7,32.5080633001348,0.0583177899760325,12.9700579859649,0.000580091746900914,-7.60259363913897e-07,-0.00146156118930205,-6.8255756589611e-05,0.379626373406086,-0.00170660729519461,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-26.1317769489044,1.19584626292321,-9.35263888739972,0
2.8,32.5080560766581,0.0633968642731485,12.9700524263535,0.000583314387187133,-7.99812985769031e-07,-0.0014786663088492,-6.86856467004039e-05,0.379626285096262,-0.00186508803564494,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-29.3403478611143,0.22281445541117,-6.00545547733016,0
2.9,32.5080482209254,0.0684667166777208,12.9700465386607,0.000581403405420143,-8.28180674855486e-07,-0.00148842581148933,-6.95853391541581e-05,0.379626193165614,-0.00202501212513507,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-32.5653707012211,-0.741146283260258,-2.71413551138156,0
3,32.5080397736271,0.0734968267547335,12.9700403994638,0.000574427324505676,-8.43941435405929e-07,-0.00149098250691354,-7.11753245152576e-05,0.379626098773394,-0.00218559538040982,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-35.7998477265697,-1.68793422986386,0.504437543300494,0
3.1,32.5080307872929,0.0784574293297062,12.9700340960656,0.0005624965610678,-8.45999022762351e-07,-0.00148651587640367,-7.36734802948104e-05,0.379626003173734,-0.00234607098562296,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-39.0371330320203,-2.61014616386091,3.63378604018749,0
3.2,32.5080213255721,0.0833196786670294,12.9700277244288,0.000545759705156154,-8.33623894822544e-07,-0.00147524105564827,-7.7292522709406e-05,0.379625907684185,-0.00250569339547293,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-42.2708947326145,-3.50102625697192,6.65798620726634,0
