time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive
0,32.5081027705783,0,12.9700907574897,0,0,0,0,0.37962696762878,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.27373675443232e-13,0,0,0
0.1,32.5081027706178,-9.32999895422059e-19,12.9700907574957,-1.23340115696652e-16,2.16026496867919e-11,-1.03496105737255e-17,0,0.379626967629885,0,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,5.08123686332786e-13,1.45814244955317e-11,-6.35212469326791e-12,0
0.2,32.508102770629,-6.01195973096944e-17,12.9700907575672,-8.25528390876189e-17,4.20021696531237e-11,-1.67495966985254e-17,-8.92601114406575e-18,0.379626967633095,-1.80097819560791e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,7.81022511720988e-13,-5.81859238870632e-11,-7.2789219196312e-12,0
0.3,32.5081027706134,-2.91613448883592e-16,12.9700907576973,-2.46916785559228e-16,6.10347793631027e-11,-3.59797466170288e-17,-3.4718913255152e-17,0.379626967638281,-4.79785115729522e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.83927850118596e-12,2.91751054708731e-11,7.14991762839353e-12,0
0.4,32.5081027705727,-4.5456380093104e-16,12.9700907578787,-2.4732399656202e-16,7.85700327327726e-11,-5.27781543307478e-17,-5.22135908351379e-17,0.379626967645298,-7.65117778697536e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.13014897382231e-12,1.64502270366345e-11,-1.87643648709851e-13,0
0.5,32.5081027705086,-6.13126468640353e-16,12.9700907581043,-3.2487816299276e-16,9.45096389440262e-11,-7.9162593781606e-17,-7.4394114125324e-17,0.379626967653992,-1.32668679403204e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.66041957118566e-12,1.00824628057233e-13,6.80153153407595e-13,0
0.6,32.508102770423,-8.65559286512059e-16,12.9700907583666,-3.65506138866425e-16,1.0878592999467e-10,-8.56696625152439e-17,-1.0997793897672e-16,0.379626967664198,-2.17073942649586e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-6.1755259426501e-12,2.92325504337632e-11,8.69780598684084e-12,0
0.7,32.5081027703178,-1.09637923175993e-15,12.9700907586587,-2.00089452707773e-16,1.21359964593114e-10,-6.55667956305309e-17,-1.41220820295084e-16,0.379626967675748,-2.9723673359265e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.42738383996419e-12,1.10154085117932e-13,6.67615435809565e-12,0
0.8,32.5081027701948,-1.29438867497071e-15,12.9700907589736,-7.57015567946079e-17,1.32219584871221e-10,-4.65552255272554e-17,-1.63482549639163e-16,0.379626967688469,-3.59774340198687e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-7.91888603266229e-12,1.4648221406036e-11,2.10432952947151e-11,0
0.9,32.5081027700559,-1.40864731019324e-15,12.9700907593047,-3.31658408898517e-17,1.41377137592492e-10,-2.33484274177038e-17,-1.67708136332381e-16,0.379626967702192,-3.83731730832423e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-9.04973036309614e-12,-1.44531978691564e-11,-2.27622000878205e-11,0
1,32.5081027699029,-1.49646602854856e-15,12.9700907596459,-7.43788920019617e-17,1.48867075341742e-10,-4.23838076982084e-17,-1.77188445740116e-16,0.379626967716745,-4.37098268178934e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.05057817132094e-11,1.4661892830134e-11,-9.3972568128763e-13,0
1.1,32.5081027697375,-1.55902782634131e-15,12.9700907599913,-3.32649719217698e-17,9.43190124772181e-05,-5.19832701173406e-17,-1.82204492283879e-16,0.379626967731966,-4.83067906479947e-17,0.785398163397448,0.785398163397448,0.00558505360638186,0.00558505360638186,0.785398163397448,0,-1.03608507560662e-11,1.02060646298888e-13,-8.22518558811477e-12,0
1.2,32.5079255310863,-1.57327871370249e-15,12.9708836007901,8.57641450222883e-18,0.000250260944791453,-4.51903364730923e-17,-1.87986210052102e-16,0.379642573838812,-5.48978552910052e-17,0.78633645240332,0.78633645240332,0.0158883604994351,0.0158883604994351,0.78633645240332,0,-1.07236059087032e-11,9.68830599438177e-14,-9.74795415297518e-13,0
1.3,32.5076753708167,-1.58483241620384e-15,12.9736796962035,8.65919357594053e-18,0.000364140925692533,-5.55204631351278e-17,-1.88955042132007e-16,0.379674222672355,-5.98867792500947e-17,0.788458808518089,0.788458808518089,0.0274582181474778,0.0274582181474778,0.788458808518089,0,-1.04369139202159e-11,-1.44587745584499e-11,-2.27791473490835e-11,0
1.4,32.5075997454267,-1.52759733651579e-15,12.9794319355133,7.29014243814509e-18,0.0003559965919094,-9.8201051422896e-17,-1.95542659530251e-16,0.379713146996402,-6.86976058089206e-17,0.79175663182438,0.79175663182438,0.0383538345870604,0.0383538345870604,0.79175663182438,0,-9.08889720584639e-12,1.4634024434939e-11,-8.05549818712186e-12,0
1.5,32.5080371865058,-1.27172887420516e-15,12.9887338652613,1.3057653680473e-16,0.000167376754861472,-9.7533934462683e-17,-1.94983646407118e-16,0.379743700999121,-8.01692330126883e-17,0.796090036544699,0.796090036544699,0.047643670584404,0.047643670584404,0.796090036544699,0,-1.05415624771282e-11,-4.3620899772909e-11,-1.60529405286369e-11,0
1.6,32.5093786538216,-1.05544470014263e-15,13.0018136131383,6.67106591101306e-18,-0.000241876495252381,-1.26167932293012e-16,-1.98995047278957e-16,0.379745380158096,-9.28438980930985e-17,0.801266983095849,0.801266983095849,0.0550283116448891,0.0550283116448891,0.801266983095849,0,-1.06478608087256e-11,-3.59405228361576e-12,5.4911924591305e-13,0
1.7,32.5120414201589,-8.31981648715292e-16,13.0185794836627,3.76572993971136e-17,-0.000897050457245333,-1.25218797630609e-16,-2.04351968091323e-16,0.379694487849643,-1.06370625825429e-16,0.807090434875659,0.807090434875659,0.06057154068804,0.06057154068804,0.807090434875659,0,-1.08153994247336e-11,2.24396410882043e-14,-1.99461308672922e-13,0
1.8,32.5164525448308,-5.59240068812566e-16,13.0386879377141,3.77037062607472e-17,-0.00181174271054198,-1.25446373454668e-16,-2.05576012293389e-16,0.379565459619248,-1.19847891366791e-16,0.813383455448656,0.813383455448656,0.0645186554964061,0.0645186554964061,0.813383455448656,0,-1.16894981410593e-11,-5.82048861533463e-11,-3.63855560741987e-11,0
1.9,32.523038726145,-3.71547627038744e-16,13.0616158605547,-8.63070029996481e-17,-0.00299059146064115,-1.51656093954391e-16,-2.25119348386566e-16,0.379331885899928,-1.38005159638901e-16,0.81999994354342,0.81999994354342,0.0671810832767603,0.0671810832767603,0.81999994354342,0,-1.29154859815269e-11,1.45648386008478e-11,-7.08124866138642e-12,0
2,32.5322199481904,-1.0773861043729e-16,13.0867270206123,-4.67797006421306e-18,-0.00443149602533114,-1.57719586735125e-16,-2.3597834365913e-16,0.378967285139666,-1.55013783771752e-16,0.826826663040306,0.826826663040306,0.0688687621222517,0.0688687621222517,0.826826663040306,0,-1.35238147763343e-11,-1.45775023349017e-11,-1.41367388677175e-11,0
2.1,32.544405179505,1.5115616241055e-16,13.1133279976921,4.23987472392215e-17,-0.0061273535946026,-1.31201725292501e-16,-2.47515647751374e-16,0.378445679320394,-1.73637791436008e-16,0.833780512499572,0.833780512499572,0.0698551509186137,0.0698551509186137,0.833780512499572,0,-1.48845943317407e-11,-4.71035767643286e-14,-1.40311244437954e-11,0
2.2,32.5599891034737,4.46645092768013e-16,13.140712228479,-4.22210313403243e-17,-0.00806738000058703,-1.8012004515594e-16,-2.49130028481933e-16,0.37774201802414,-1.89258768349468e-16,0.840803633800888,0.840803633800888,0.0703632369000875,0.0703632369000875,0.840803633800888,0,-1.40624553241969e-11,-5.80842360689633e-14,8.67876744580664e-13,0
2.3,32.5793493630648,7.5309952827495e-16,13.1681927412518,-8.75925418514433e-19,-0.0102380958922579,-1.60923812668569e-16,-2.60378798311002e-16,0.376832489014126,-2.08280442310712e-16,0.847857960605477,0.847857960605477,0.0705640739127537,0.0705640739127537,0.847857960605477,0,-1.50960136953496e-11,-8.75111536081215e-14,-6.24040312578121e-12,0
2.4,32.6028441043591,1.04934878000146e-15,13.1951250969129,1.21644759712716e-16,-0.0126240571755823,-1.56144257413164e-16,-2.67046104942314e-16,0.375694744853989,-2.26013297903366e-16,0.854920103543198,0.854920103543198,0.0705820050377808,0.0705820050377808,0.854920103543198,0,-1.52058899679247e-11,1.44139239389422e-11,1.24656505195809e-12,0
2.5,32.6308097609926,1.50284419062642e-15,13.2209223790451,2.40158891631855e-16,-0.0152083979647852,-1.18251646751265e-16,-2.56738237366714e-16,0.374308067509276,-2.42171138042629e-16,0.861976999723042,0.861976999723042,0.0705027594356325,0.0705027594356325,0.861976999723042,0,-1.74509210999465e-11,-1.47394631218846e-11,1.47191267902647e-12,0
2.6,32.6635590905472,1.88295831770272e-15,13.2450640417501,2.85610648532943e-16,-0.017973240787184,-1.05586746457113e-16,-2.41318595939023e-16,0.372653486637024,-2.543326905647e-16,0.86902246086819,0.86902246086819,0.0703821110287202,0.0703821110287202,0.86902246086819,0,-1.28613239802231e-11,-2.93284979356534e-11,-2.01180281795276e-11,0
2.7,32.7013794948276,2.35891596358536e-15,13.2671002074789,2.41410303874104e-16,-0.0209000154234398,-1.42633440029072e-16,-2.26017323431829e-16,0.370713862454171,-2.67761713670421e-16,0.876054586390695,0.876054586390695,0.0702538318598071,0.0702538318598071,0.876054586390695,0,-1.36404036758123e-11,-1.29872966524312e-11,-5.11316033130671e-12,0
2.8,32.7445316543557,2.89804025520282e-15,13.2866527207252,2.66100896088331e-16,-0.0239697160872745,-1.23501076050757e-16,-2.11163350537763e-16,0.368473940554536,-2.83217617075071e-16,0.883073924248551,0.883073924248551,0.0701363624549125,0.0701363624549125,0.883073924248551,0,-1.30169844852836e-11,1.24356087548934e-11,8.86815088510402e-12,0
