pointId,betaMDeg,speedMps,parameter,codePath,layer,referenceValue,perturbation,output,outputScale,derivative,normalizedSensitivity,fixedStateResidualDerivative,baselineStatus,finiteReal
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,thetaDeg,10,-57.4945196406259,-5.74945196406259,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,collectiveDeg,20,8.7529580985573,0.437647904927865,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,cyclicLongDeg,20,-107.444050905296,-5.37220254526481,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,elevatorDeg,20,0,0,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,minimumMarginProxy,0.2,0.125042258550819,0.625211292754095,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,rotorLeftMyNm,5000,-5525.70066849436,-1.10514013369887,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,rotorRightMyNm,5000,-5525.70066849436,-1.10514013369887,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,wingMyNm,10000,-2327.31163618342,-0.232731163618342,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,fuselageMyNm,2000,-297.471249437428,-0.148735624718714,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,horizontalTailMyNm,10000,13359.2192782876,1.33592192782876,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,verticalTailMyNm,2000,63.375991841686,0.031687995920843,1.94049269272919,CREDIBLE,1
B15_V020,15,20,cgX,mass.baselineCG,GEOMETRY,1,0.05,totalMyNm,1000,-253.588952480259,-0.253588952480259,1.94049269272919,CREDIBLE,1
