variant,pointId,betaMDeg,speedMps,trimStatus,component,FxN,FyN,FzN,MxNm,MyNm,MzNm,rXFromActualCGm,rYFromActualCGm,rZFromActualCGm,armMomentMyNm,intrinsicMomentMyNm,localSpeedMps,localDynamicPressurePa,localAlphaDeg,elevatorDeg,controlAtLimit,finiteReal,note
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,rotorLeft,6034.6822247317,1763.05240736787,-28484.9138360571,146118.218926817,305.004774874657,21471.3437609305,0.164997141252857,-5,-0.728277714259281,305.004774874657,0,10,NaN,NaN,0,0,1,""
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,rotorRight,6034.6822247317,-1763.05240736787,-28484.9138360571,-146118.218926817,305.004774874657,-21471.3437609305,0.164997141252857,5,-0.728277714259281,305.004774874657,0,10,NaN,NaN,0,0,1,""
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,wingLeft,288.127281904471,0,-170.665702589375,-417.296108209035,-24.7237106936461,1002.46401742187,NaN,NaN,NaN,8.33257535680303,-33.0562860504491,NaN,NaN,NaN,0,0,1,""
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,wingRight,288.127281904471,0,-170.665702589375,417.296108209035,-24.7237106936461,-1002.46401742187,NaN,NaN,NaN,8.33257535680303,-33.0562860504491,NaN,NaN,NaN,0,0,1,""
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,wing,576.254563808941,0,-341.331405178751,0,-49.4474213872921,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,""
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,fuselage,-41.5168593571818,-0,-47.0593880465566,0,4.04910518863253,0,0.170882857425966,0,0.0961666554575202,4.04910518863253,0,10,61.25,12.3820209688617,0,0,1,""
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,horizontalTail,16.6983733716146,0,-112.202115959098,0,-561.836839415668,0,-5.02911714257403,0,0.14616665545752,-561.836839415668,0,10,61.25,12.3820209688617,0,0,1,""
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,verticalTail,-3.82881928199242,0,-0.840561066099947,0,-2.77439017412634,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,""
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,TOTAL,12616.9717080048,-1.13686837721616e-12,-57471.2611423647,0,3.96085918552558e-06,3.63797880709171e-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,""
MODEL_A_GENERIC_BASELINE,B15_V010,15,10,CREDIBLE,gravity_or_CG_effect,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,"Gravity is applied through the actual CG in the rigid-body equations, so its explicit moment about that CG is zero."
