scenario,pointId,wingXAC,rotorPivotZ,tailIncidenceDeg,tailCLelevator,status,credible,thetaDeg,elevatorDeg,residualNorm,conditionNumber,minimumMarginFraction,finiteReal,elapsedSeconds,failureReason
nominal,B45_V025,0.1,0.1,-5,2.35,CREDIBLE,1,32.7799323609103,-10.6528586817537,1.01083378367279e-09,74.3970242298648,0.0317152519869959,1,5.2184823,
nominal,B75_V040,0.1,0.1,-5,2.35,FAILED,0,28.4652630614947,-20.0000000013614,3.40378748942446,150.095104186195,-3.4034956618607e-11,1,6.8114483,
nominal,B75_V060,0.1,0.1,-5,2.35,CREDIBLE,1,20.9078275782761,-15.8305318515912,8.77357061223055e-10,100.415342761305,0.104236703710219,1,7.9530743,
low_corner,B45_V025,0.08,0.08,-5.5,2.3,CREDIBLE,1,32.2611007762061,-11.1624637389407,1.01700259248604e-09,72.012169549164,0.0391271317684836,1,5.8299623,
low_corner,B75_V040,0.08,0.08,-5.5,2.3,FAILED,0,28.0009201123176,-20.0000000202448,3.47967254072696,153.211921209418,-5.06119042503677e-10,1,8.260671,
low_corner,B75_V060,0.08,0.08,-5.5,2.3,CREDIBLE,1,21.1117178942932,-16.0714396985148,1.5789143979605e-09,104.16913494283,0.09821400753713,1,7.4066845,
high_corner,B45_V025,0.12,0.12,-4.5,2.4,CREDIBLE,1,33.3375723272842,-10.1070464524594,7.31690593470145e-10,77.5153863452318,0.0237489667530833,1,5.9021952,
high_corner,B75_V040,0.12,0.12,-4.5,2.4,FAILED,0,28.9630206496879,-20.0000000512531,3.32525324617982,147.41921283757,-1.2813266874443e-09,1,7.9405419,
high_corner,B75_V060,0.12,0.12,-4.5,2.4,CREDIBLE,1,20.7080195924459,-15.6116524776536,8.97025728410035e-10,97.0280784739547,0.109708688058659,1,8.4603763,
mixed_a,B45_V025,0.12,0.08,-5.5,2.4,CREDIBLE,1,32.7038454152867,-10.7389841097708,4.58705871974257e-10,71.6676775500729,0.0328022083530477,1,5.4191943,
mixed_a,B75_V040,0.12,0.08,-5.5,2.4,FAILED,0,29.4861549935286,-20.0000000406098,3.30267355748896,151.460531479131,-1.01524386820907e-09,1,8.0754728,
mixed_a,B75_V060,0.12,0.08,-5.5,2.4,CREDIBLE,1,20.7739523668176,-14.0099704972826,1.56949683229191e-09,97.8826587082912,0.149750737567936,1,9.4784901,
mixed_b,B45_V025,0.08,0.12,-4.5,2.3,CREDIBLE,1,32.8726876977326,-10.5510388949032,8.32117272622971e-10,77.6341810379715,0.030390175746677,1,5.2712457,
mixed_b,B75_V040,0.08,0.12,-4.5,2.3,FAILED,0,27.4524064208685,-20.0000000012793,3.5061582961205,148.758873433499,-3.19816700301212e-11,1,7.9051095,
mixed_b,B75_V060,0.08,0.12,-4.5,2.3,CREDIBLE,1,21.0428890420752,-17.7331075086243,1.89932725216522e-09,103.216936095472,0.0566723122843922,1,9.5531554,
effective_low,B45_V025,0.1,0.1,-5,2.3,CREDIBLE,1,32.725701134807,-10.702855787788,9.83973728389131e-10,74.849383473671,0.0324899837884717,1,4.9624929,
effective_low,B75_V040,0.1,0.1,-5,2.3,FAILED,0,28.1509919879362,-20.0000000185995,3.43588561131627,151.467434653566,-4.64988109362991e-10,1,7.9566176,
effective_low,B75_V060,0.1,0.1,-5,2.3,CREDIBLE,1,20.9070154505678,-16.1711785808786,1.85901520184175e-09,101.706056608825,0.0957205354780358,1,9.5314767,
effective_high,B45_V025,0.1,0.1,-5,2.4,CREDIBLE,1,32.8337253626163,-10.6032635426495,2.05168105246802e-09,73.9513038575888,0.0309467805340525,1,5.3325492,
effective_high,B75_V040,0.1,0.1,-5,2.4,FAILED,0,28.7808473063963,-20.0000000179258,3.37167138450912,148.772349613483,-4.48144925450232e-10,1,8.7238247,
effective_high,B75_V060,0.1,0.1,-5,2.4,CREDIBLE,1,20.9086062465617,-15.5039406415108,1.62107776796842e-09,99.1887394505855,0.11240148396223,1,10.2538394,
