localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,headingIntegrator,stable,analysisStatus,analysisMessage,variant,pointId
1,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
2,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-2.34657414497128,0,1,2.34657414497128,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
3,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0645326441584507,0.50595753718651,0.12652061432379,0.510056361197388,0.0805256430378346,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
4,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0645326441584507,-0.50595753718651,0.12652061432379,0.510056361197388,0.0805256430378346,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
5,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.401553807125411,0.69839267005115,0.498450621283175,0.805603985589747,0.111152645657788,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
6,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.401553807125411,-0.69839267005115,0.498450621283175,0.805603985589747,0.111152645657788,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
7,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0.080192855558373,0,-1,0.080192855558373,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
8,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.000311118344311874,0,1,0.000311118344311874,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
9,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0.0963053426987928,0,-1,0.0963053426987928,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
10,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
11,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
12,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
13,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B15_V020
1,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
2,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-2.02076256047343,0,1,2.02076256047343,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
3,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0835719264873785,0.771942446478787,0.107632936369402,0.776453094251331,0.12285845613955,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
4,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0835719264873785,-0.771942446478787,0.107632936369402,0.776453094251331,0.12285845613955,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
5,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.466884312172122,1.09948933963842,0.390857940472729,1.19451151896119,0.174989163280298,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
6,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.466884312172122,-1.09948933963842,0.390857940472729,1.19451151896119,0.174989163280298,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
7,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0727992230424362,0,1,0.0727992230424362,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
8,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0.0399324342593311,0,-1,0.0399324342593311,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
9,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.073606381763301,0,1,0.073606381763301,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
10,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
11,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
12,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
13,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
1,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
2,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.545327250073881,1.60140329689518,0.322353151494113,1.69170751874545,0.254871250584526,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
3,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.545327250073881,-1.60140329689518,0.322353151494113,1.69170751874545,0.254871250584526,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
4,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-1.67586321484035,0,1,1.67586321484035,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
5,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0833895826988077,0,1,0.0833895826988077,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
6,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-1.00563442109611,3.05576637333406,0.312601281226699,3.21698752209151,0.48634032325011,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
