variant,pointId,derivativeName,value,rowIndex,columnIndex,maximumRelativeStepVariation,finiteReal
MODEL_A,B15_V020,Xu,1.57637464993362e-05,1,1,3.81177490856473e-06,1
MODEL_A,B15_V020,Xw,0.0900724648230577,1,3,3.81177490856473e-06,1
MODEL_A,B15_V020,Zu,-0.0566736495458099,3,1,3.81177490856473e-06,1
MODEL_A,B15_V020,Zw,-0.406759334147136,3,3,3.81177490856473e-06,1
MODEL_A,B15_V020,Mw,-0.0232757305496642,5,3,3.81177490856473e-06,1
MODEL_A,B15_V020,Mq,-0.300369819495705,5,5,3.81177490856473e-06,1
MODEL_A,B15_V020,Yv,-0.0373212807537976,2,2,3.81177490856473e-06,1
MODEL_A,B15_V020,Lp,-2.34405734149239,4,4,3.81177490856473e-06,1
MODEL_A,B15_V020,Nr,-0.0140679554836221,6,6,3.81177490856473e-06,1
MODEL_A,B15_V020,Lv,-0.0132107508742914,4,2,3.81177490856473e-06,1
MODEL_A,B15_V020,Nv,0.00840646045081583,6,2,3.81177490856473e-06,1
MODEL_A,B45_V035,Xu,-0.119668753889382,1,1,2.9610534688198e-06,1
MODEL_A,B45_V035,Xw,0.228051388692056,1,3,2.9610534688198e-06,1
MODEL_A,B45_V035,Zu,0.00771533404781318,3,1,2.9610534688198e-06,1
MODEL_A,B45_V035,Zw,-0.339968389373692,3,3,2.9610534688198e-06,1
MODEL_A,B45_V035,Mw,-0.0353656422688005,5,3,2.9610534688198e-06,1
MODEL_A,B45_V035,Mq,-0.50780542858514,5,5,2.9610534688198e-06,1
MODEL_A,B45_V035,Yv,-0.104334041077369,2,2,2.9610534688198e-06,1
MODEL_A,B45_V035,Lp,-1.69289333962285,4,4,2.9610534688198e-06,1
MODEL_A,B45_V035,Nr,-0.463478255790402,6,6,2.9610534688198e-06,1
MODEL_A,B45_V035,Lv,-0.0128843052811733,4,2,2.9610534688198e-06,1
MODEL_A,B45_V035,Nv,0.0132879860562542,6,2,2.9610534688198e-06,1
MODEL_A,B75_V080,Xu,-0.371752735497234,1,1,2.90877994957707e-06,1
MODEL_A,B75_V080,Xw,0.221672064414509,1,3,2.90877994957707e-06,1
MODEL_A,B75_V080,Zu,-0.0684117532848662,3,1,2.90877994957707e-06,1
MODEL_A,B75_V080,Zw,-0.704069606181207,3,3,2.90877994957707e-06,1
MODEL_A,B75_V080,Mw,-0.116200668073456,5,3,2.90877994957707e-06,1
MODEL_A,B75_V080,Mq,-1.28607459418064,5,5,2.90877994957707e-06,1
MODEL_A,B75_V080,Yv,-0.162524541771668,2,2,2.90877994957707e-06,1
MODEL_A,B75_V080,Lp,-1.39031552606826,4,4,2.90877994957707e-06,1
MODEL_A,B75_V080,Nr,-1.297067229847,6,6,2.90877994957707e-06,1
MODEL_A,B75_V080,Lv,-0.00977474849503672,4,2,2.90877994957707e-06,1
MODEL_A,B75_V080,Nv,0.0371221958846883,6,2,2.90877994957707e-06,1
MODEL_C2,B15_V020,Xu,0.00474481965151123,1,1,3.99785651713852e-06,1
MODEL_C2,B15_V020,Xw,0.110210376389068,1,3,3.99785651713852e-06,1
MODEL_C2,B15_V020,Zu,-0.0675345106859701,3,1,3.99785651713852e-06,1
MODEL_C2,B15_V020,Zw,-0.392607063953243,3,3,3.99785651713852e-06,1
MODEL_C2,B15_V020,Mw,-0.0217926831500404,5,3,3.99785651713852e-06,1
MODEL_C2,B15_V020,Mq,-0.301673994814681,5,5,3.99785651713852e-06,1
MODEL_C2,B15_V020,Yv,-0.0351516541824543,2,2,3.99785651713852e-06,1
MODEL_C2,B15_V020,Lp,-2.35431832652239,4,4,3.99785651713852e-06,1
MODEL_C2,B15_V020,Nr,-2.24918498736715e-05,6,6,3.99785651713852e-06,1
MODEL_C2,B15_V020,Lv,-0.0131693903600374,4,2,3.99785651713852e-06,1
MODEL_C2,B15_V020,Nv,0.00806253529336112,6,2,3.99785651713852e-06,1
MODEL_C2,B45_V035,Xu,-0.125317507635397,1,1,2.98148286518754e-06,1
MODEL_C2,B45_V035,Xw,0.266967174706982,1,3,2.98148286518754e-06,1
MODEL_C2,B45_V035,Zu,0.012496002806353,3,1,2.98148286518754e-06,1
MODEL_C2,B45_V035,Zw,-0.326652469544545,3,3,2.98148286518754e-06,1
MODEL_C2,B45_V035,Mw,-0.0307169998897479,5,3,2.98148286518754e-06,1
MODEL_C2,B45_V035,Mq,-0.480165810571913,5,5,2.98148286518754e-06,1
MODEL_C2,B45_V035,Yv,-0.0913018635106336,2,2,2.98148286518754e-06,1
MODEL_C2,B45_V035,Lp,-1.74031124453764,4,4,2.98148286518754e-06,1
MODEL_C2,B45_V035,Nr,-0.507703724056403,6,6,2.98148286518754e-06,1
MODEL_C2,B45_V035,Lv,-0.00995795257393624,4,2,2.98148286518754e-06,1
MODEL_C2,B45_V035,Nv,0.0136907081547239,6,2,2.98148286518754e-06,1
MODEL_C2,B75_V080,Xu,-0.37151782570889,1,1,2.89526908594961e-06,1
MODEL_C2,B75_V080,Xw,0.220370022605211,1,3,2.89526908594961e-06,1
MODEL_C2,B75_V080,Zu,-0.0701459004693849,3,1,2.89526908594961e-06,1
MODEL_C2,B75_V080,Zw,-0.713350705322482,3,3,2.89526908594961e-06,1
MODEL_C2,B75_V080,Mw,-0.10460163205586,5,3,2.89526908594961e-06,1
MODEL_C2,B75_V080,Mq,-1.2934435022022,5,5,2.89526908594961e-06,1
MODEL_C2,B75_V080,Yv,-0.162315853081507,2,2,2.89526908594961e-06,1
MODEL_C2,B75_V080,Lp,-1.41887070419577,4,4,2.89526908594961e-06,1
MODEL_C2,B75_V080,Nr,-1.29763585109064,6,6,2.89526908594961e-06,1
MODEL_C2,B75_V080,Lv,-0.00974769049561579,4,2,2.89526908594961e-06,1
MODEL_C2,B75_V080,Nv,0.0362943235212113,6,2,2.89526908594961e-06,1
