codePath,subscripts,valueSI,unitSI,sourceClass,claimClass,roleClass,sourceFile,pdfPage,printedPage,sourceTitle,reportNumber,authors,publicationYear,locator,originalValue,originalUnit,conversion,configuration,manualReview,applyToModel,note
mass.m,[],5896.70081,kg,REFERENCE,XV15_DIRECT,MASS,NASA_TM_X_62407.pdf,11,5,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.1.1, aircraft weights",13000,lb,13000 lb * 0.45359237 kg/lb,"design gross weight",0,1,One documented weight state; not basic or research-mission empty.
mass.I0,[1 1],57486.6810093,kg m^2,REFERENCE,XV15_DIRECT,INERTIA,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.1.3, roll inertia table",42400,slug ft^2,value * 1.3558179483314004 kg m^2/(slug ft^2),"13000 lb, helicopter configuration",0,1,Diagonal only; cross inertia is not reported in this table.
mass.KI,[1 1],1639.96697591,kg m^2/rad,REFERENCE,XV15_DERIVED,INERTIA,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.1.3 endpoint difference, roll",helicopter 42400; airplane 40500,slug ft^2,(I_helicopter-I_airplane)*1.3558179483314004/(pi/2),"linear interpolation imposed by current low-order inertia law",1,1,Derived endpoint slope; not evidence that the real variation is linear.
mass.I0,[2 2],19388.1966611,kg m^2,REFERENCE,XV15_DIRECT,INERTIA,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.1.3, pitch inertia table",14300,slug ft^2,value * 1.3558179483314004 kg m^2/(slug ft^2),"13000 lb, helicopter configuration",0,1,Diagonal only; cross inertia is not reported in this table.
mass.KI,[2 2],949.454565002,kg m^2/rad,REFERENCE,XV15_DERIVED,INERTIA,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.1.3 endpoint difference, pitch",helicopter 14300; airplane 13200,slug ft^2,(I_helicopter-I_airplane)*1.3558179483314004/(pi/2),"linear interpolation imposed by current low-order inertia law",1,1,Derived endpoint slope; not evidence that the real variation is linear.
mass.I0,[3 3],67112.9884424,kg m^2,REFERENCE,XV15_DIRECT,INERTIA,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.1.3, yaw inertia table",49500,slug ft^2,value * 1.3558179483314004 kg m^2/(slug ft^2),"13000 lb, helicopter configuration",0,1,Diagonal only; cross inertia is not reported in this table.
mass.KI,[3 3],-690.512410911,kg m^2/rad,REFERENCE,XV15_DERIVED,INERTIA,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.1.3 endpoint difference, yaw",helicopter 49500; airplane 50300,slug ft^2,(I_helicopter-I_airplane)*1.3558179483314004/(pi/2),"linear interpolation imposed by current low-order inertia law",1,1,Derived endpoint slope; not evidence that the real variation is linear.
rotor.R,[],3.81,m,REFERENCE,XV15_DIRECT,GEOMETRY,NASA_TM_X_62407.pdf,20,17,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.7, 25 ft rotor diameter",25,ft diameter,25 ft * 0.3048 / 2,"XV-15 nominal rotor",0,1,
rotor.Nb,[],3,1,REFERENCE,XV15_DIRECT,GEOMETRY,NASA_TM_X_62407.pdf,20,17,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.7, number of blades per rotor",3,count,identity,"XV-15 nominal rotor",0,1,
rotor.Omega,[],59.1666616426,rad/s,REFERENCE,XV15_DIRECT,ROTOR_AERO,NASA_TM_X_62407.pdf,22,19,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.8, hover/helicopter nominal rpm",565,rpm,565 rpm * 2*pi/60,"hover/helicopter reference only",1,1,The current scalar interface cannot also represent the documented 458 rpm airplane value; the overlay therefore uses the hover value.
