betaM_deg,implementation,success,errorIdentifier,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,thrust_N,torque_Nm,inducedVelocity_mps,beta0_deg,beta1c_deg,beta1s_deg,inducedIterations,flapResidualNorm
0,CURRENT_PRODUCTION,1,,-0.368736817368899,2473.90269583091,-33517.1426619348,169441.140331547,0.276552613026674,-11835.9661341624,33608.3190075643,11834.1224500755,17.3890699561468,2.2010777071885,0.00072185035192548,-4.22902616171582,NaN,3.56112488207122e-10
0,NUAA_PUBLIC_FORMULA_REFERENCE,1,,-0.36873681736874,-2473.90269583091,-33517.1426619348,165730.286287801,0.276552613026555,-11835.9661341624,33608.3190075643,11834.1224500755,17.3890699561468,2.2010777071885,0.000721850351925187,-4.22902616171582,8,3.56112542956591e-10
15,CURRENT_PRODUCTION,1,,8674.50205373335,2475.18876610772,-32375.0605854749,166731.335571728,0.267526477699903,32422.0959790988,33608.318657979,11834.1217028568,17.3890698789991,2.20303967677115,0.000698293172143958,-4.23155959925997,NaN,3.55705773826265e-10
15,NUAA_PUBLIC_FORMULA_REFERENCE,1,,8674.50205373335,-2475.18876610772,-32375.0605854749,163145.062440542,0.267526477700812,31461.15698976,33608.318657979,11834.1217028568,17.3890698789991,2.20303967677115,0.000698293172143777,-4.23155959925997,8,3.55705735574065e-10
45,CURRENT_PRODUCTION,1,,23699.799318767,2477.43988266066,-23700.1714878164,128182.702867783,0.197372443972199,111444.872976651,33608.3166087402,11834.117202073,17.3890693724838,2.21794216971852,0.000515181654208781,-4.23599437713021,NaN,3.55085969997136e-10
45,NUAA_PUBLIC_FORMULA_REFERENCE,1,,23699.799318767,-2477.43988266066,-23700.1714878164,125554.981056266,0.197372443974018,108817.151165134,33608.3166087402,11834.117202073,17.3890693724838,2.21794216971852,0.000515181654210693,-4.23599437713021,8,3.55086079693746e-10
75,CURRENT_PRODUCTION,1,,32374.6442621788,2478.79063663471,-8674.86073060111,55286.3472651075,0.0731292581558591,160606.073521576,33608.3145004898,11834.1125496462,17.389068841469,2.24375343274883,0.000190882781720064,-4.23865558681211,NaN,3.54853642044388e-10
75,NUAA_PUBLIC_FORMULA_REFERENCE,1,,32374.6442621788,-2478.79063663471,-8674.86073060111,54324.0099267332,0.0731292581549496,157014.581680742,33608.3145004898,11834.1125496462,17.389068841469,2.24375343274883,0.000190882781718006,-4.23865558681211,8,3.54853674546192e-10
90,CURRENT_PRODUCTION,1,,33516.7063331112,2478.99663112084,-2.69638668641942e-12,11834.1117109662,4.83060247484321e-13,169442.779138897,33608.3141208295,11834.1117109662,17.3890687454569,2.25865521678871,1.33988525788031e-15,-4.23906144190687,NaN,3.54908003367233e-10
90,NUAA_PUBLIC_FORMULA_REFERENCE,1,,33516.7063331112,-2478.99663112084,-1.30879179206396e-12,11834.1117109662,-5.57635923282275e-13,165724.284192215,33608.3141208295,11834.1117109662,17.3890687454569,2.25865521678871,-1.52609200381115e-15,-4.23906144190687,8,3.54908068401883e-10
